Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train N BCE Loss,train N BCELogits Loss,train N MSE Loss,train N MAE Loss,train N SSIM Loss,train N 0 White MAE Loss,train N 0 Black MAE Loss,train N H White MAE Loss,train N H Black MAE Loss,train N I White MAE Loss,train N I Black MAE Loss,train N J White MAE Loss,train N J Black MAE Loss,train N K White MAE Loss,train N K Black MAE Loss,train N L White MAE Loss,train N L Black MAE Loss,train N M White MAE Loss,train N M Black MAE Loss,train N N White MAE Loss,train N N Black MAE Loss,test N BCE Loss,test N BCELogits Loss,test N MSE Loss,test N MAE Loss,test N SSIM Loss,test N 0 White MAE Loss,test N 0 Black MAE Loss,test N H White MAE Loss,test N H Black MAE Loss,test N I White MAE Loss,test N I Black MAE Loss,test N J White MAE Loss,test N J Black MAE Loss,test N K White MAE Loss,test N K Black MAE Loss,test N L White MAE Loss,test N L Black MAE Loss,test N M White MAE Loss,test N M Black MAE Loss,test N N White MAE Loss,test N N Black MAE Loss
NeuralNetwork,0.0001,8.0,40.0,1.0,0.0,0.0001385467393057687,0.0003216951553310667,2.369626724560346e-05,5.0099164114466736e-05,0.000694048809145941,3.3917916672570364e-05,0.0,3.4871940234942094e-05,0.0008291118379150118,3.437159050788198e-05,0.000835062563419342,3.521920713995184e-05,0.0008298295949186597,3.331184520253113e-05,0.0008278073476893561,3.372136436934982e-05,0.0008512524089642934,3.423948905297688e-05,0.0008525080446686064,3.4331403938787327e-05,0.0008519412683589117,0.0006363118688265482,0.0014986942211786907,0.00010806830444683631,0.00023047534438471,0.0032608658047886692,0.0001580982469022274,0.0,0.00015491445859273275,0.003844208021958669,0.00015976266004145146,0.00391533449292183,0.00016205081095298132,0.0039200226465861,0.00015684557147324085,0.003914161026477814,0.00016339866754909357,0.0038830491403738657,0.00015959576703608035,0.003935693204402924,0.00016233629236618677,0.0038674935698509217
NeuralNetwork,0.0001,8.0,40.0,True,1.0,0.0001344642069722925,0.00032118609441178183,2.3164062960339444e-05,4.851987718471459e-05,0.0007493474183277054,2.745073288679123e-05,0.0,4.102777623172317e-05,0.0008042356797627041,3.529335039534739e-05,0.0008276168256998063,3.3561586003218375e-05,0.0008317895233631134,3.2988190650939944e-05,0.0008240359170096261,3.16212053543755e-05,0.0008512610835688455,3.1935969101531165e-05,0.000851120799779892,2.8582459448703697e-05,0.0008581597357988358,0.000615450677772363,0.001495292161901792,0.0001052471265817682,0.00021922031107048193,0.0035287102254670044,0.0001281571729729573,0.0,0.0001667146881421407,0.003772385170062383,0.0001627085419992606,0.0038864222665627797,0.00015044640749692917,0.0039281594256560005,0.0001379864135136207,0.0039336855212847395,0.0001663900911808014,0.0038619987666606904,0.00015069746101895967,0.003943296025196711,0.00013597983246048292,0.003919598956902822
NeuralNetwork,0.0001,8.0,40.0,True,2.0,0.00013159702398947307,0.0003209016418882779,2.2670200892857144e-05,4.78527442153011e-05,0.0007592268217697598,2.1003535948693752e-05,0.0,5.363538595182555e-05,0.0007543644202607019,3.7636740931442804e-05,0.0008178206426756723,3.2939625504825796e-05,0.0008344388966049467,3.358542120882443e-05,0.0008216151169368199,3.0446401797235013e-05,0.0008518180676868984,3.0132815507905822e-05,0.0008514871554715293,2.282947867310473e-05,0.0008662780480725424,0.0005979085341095925,0.0014924800644318262,0.0001023167201007406,0.00021048188209533692,0.003587743467781408,9.832442738115788e-05,0.0,0.000192479711646835,0.003645618756612142,0.00017158025875687599,0.0038454373677571613,0.00014328428854544958,0.003936166316270829,0.00011974050042529901,0.003963247934977213,0.00017601467358569305,0.0038252231975396474,0.00014397469349205493,0.003957474728425344,0.00010963577466706435,0.0039858711262543995
NeuralNetwork,0.0001,8.0,40.0,True,3.0,0.00012965086581451552,0.0003206484019756317,2.214084379374981e-05,4.7468753265483036e-05,0.0007557856348013254,1.5951556685779776e-05,0.0,6.960750823574407e-05,0.0006812954055411475,3.945783246308565e-05,0.0008074158536536353,3.265080906982933e-05,0.0008363846157278333,3.397676295467786e-05,0.0008206387715680259,2.9636044720453874e-05,0.0008520470666033882,2.8594839386641978e-05,0.0008539974689483643,1.827800047716924e-05,0.0008729049137660435,0.0005816922212640445,0.001489521935582161,9.836220027257999e-05,0.00020253118127584458,0.003583676492905383,7.499309722334147e-05,0.0,0.000220494174088041,0.0034431005517641705,0.00017846159947415192,0.00379742756485939,0.00013940944336354733,0.003940120587746302,0.00010458201480408509,0.003988395382960638,0.0001845892673979203,0.003779859592517217,0.00013643450414141018,0.0039767734706401825,8.848385574916998e-05,0.004037272185087204
NeuralNetwork,0.0001,8.0,40.0,True,4.0,0.0001276086749775069,0.0003202751811061587,2.1591401725475277e-05,4.6656586761985505e-05,0.0007530486320521988,1.3899749943188259e-05,0.0,7.634670473635196e-05,0.0006255172725234713,3.903972517166819e-05,0.0007985478000981467,3.2058471281613625e-05,0.0008349512304578508,3.368358593434095e-05,0.0008218928639377866,2.8640244688306536e-05,0.0008529458727155412,2.77553651747959e-05,0.000854539977652686,1.6620141520564046e-05,0.0008748612233570644,0.0005666686221957207,0.0014867638548215231,9.439707888911167e-05,0.0001959051781644424,0.0035763647717184607,6.567235104739665e-05,0.0,0.000227828494583567,0.0032560696204503377,0.0001770037536819776,0.0037479678789774577,0.0001370614239325126,0.003929391503334045,9.8496504748861e-05,0.003992661088705063,0.0001842901265869538,0.003746046374241511,0.00012962122758229574,0.003986259798208872,8.054367111374935e-05,0.0040478299061457316
NeuralNetwork,0.0001,8.0,40.0,True,5.0,0.00012452337624771254,0.0003197109326720238,2.0852713246962854e-05,4.531080568475383e-05,0.0007484329323412893,1.2821182774912033e-05,0.0,7.715706846543721e-05,0.000572876791868891,3.753796752010073e-05,0.0007850552243845804,3.109913252826248e-05,0.0008290790021419526,3.301709491227354e-05,0.0008255631795951299,2.7418908263955796e-05,0.0008541737816163472,2.7123120214257922e-05,0.0008530096816165107,1.6012807775821003e-05,0.0008750161954334804,0.0005485622833172481,0.0014834094792604447,8.963045353690783e-05,0.00018837004899978637,0.0035615874242827536,6.089038991679748e-05,0.0,0.00022367434576153755,0.0030396526058514913,0.00017175682199498018,0.0036683323482672374,0.00013465710605184238,0.0038988550504048666,9.591583317766586e-05,0.003988202412923177,0.00017880556794504324,0.0037288996080557506,0.00012208936580767235,0.003990933795770009,7.737265744556983e-05,0.004044436911741892
NeuralNetwork,0.0001,8.0,40.0,True,6.0,0.00011938427175794329,0.00031870175153017046,1.9596124600086894e-05,4.287481840167727e-05,0.0007412807736756408,1.2228652069877302e-05,0.0,7.166189939848015e-05,0.0005033841622727258,3.483437799981662e-05,0.000758461600967816,2.9483830024089132e-05,0.0008084888969148909,3.143358709556716e-05,0.0008318241153444563,2.5809556245803832e-05,0.0008557512291840144,2.634543925523758e-05,0.0008517213697944369,1.6040556199316468e-05,0.0008738990340914045,0.0005254865934451421,0.001478543629248937,8.314789738506079e-05,0.00017799531730512778,0.003534023240126812,5.856311569611231e-05,0.0,0.00021121067305405935,0.002723147471745809,0.00016316001613934835,0.0035171163578828174,0.0001318096648901701,0.003818924476703008,9.518286678940057e-05,0.0039719382921854654,0.00016658649158974488,0.0037426871558030447,0.00011197551308820645,0.003994231919447581,7.716147229075432e-05,0.004031190276145935
NeuralNetwork,0.0001,8.0,40.0,True,7.0,0.00011227902557168689,0.0003171760056700025,1.7623688160840954e-05,3.9461557753384115e-05,0.0007349942552956154,1.261266048199364e-05,0.0,6.0989667794534136e-05,0.00040612295269966127,3.2027228735387324e-05,0.0007025775100503649,2.7918895440442222e-05,0.000750273306454931,2.8977469940270695e-05,0.0008366485791546958,2.4273328017443417e-05,0.0008554587938955851,2.564526429133756e-05,0.0008510621530669077,1.6891319371227707e-05,0.0008725294045039586,0.0004995680103699366,0.0014725892494122188,7.546403600523869e-05,0.0001669466185073058,0.0035003002410024324,6.0859372994552055e-05,0.0,0.00020026129980882008,0.0022812123099962872,0.00015824981965124608,0.003234469642241796,0.00013091328243414562,0.003588818262020747,9.703893059243758e-05,0.003923885524272919,0.00015013669617474078,0.003771681586901347,0.00010231006114433208,0.003986229747533798,8.08687104533116e-05,0.004010848204294841
NeuralNetwork,0.0001,8.0,40.0,True,8.0,0.00010623497489307608,0.0003156536923987525,1.579669603545751e-05,3.6297196389309e-05,0.0007362481650571012,1.318503636866808e-05,0.0,5.054400368992771e-05,0.00031092017889022827,3.08820212792073e-05,0.0006306290626525879,2.7590594254434108e-05,0.0006670874676534108,2.6582377696675914e-05,0.0008380303425448281,2.2806351937885794e-05,0.0008517191346202578,2.4723715614527465e-05,0.0008510184075151171,1.750460859122021e-05,0.0008728773466178349,0.00047872141003608705,0.0014671210199594497,6.970346439629793e-05,0.0001574826737244924,0.0034952733483434736,6.334900778407852e-05,0.0,0.00019712972765167553,0.0018649491171042125,0.00015944324744244416,0.0029008470475673674,0.00013219087074200312,0.003189462174971898,9.682772991557916e-05,0.0038527655104796093,0.00013563063306113083,0.003784389545520147,9.54466328645746e-05,0.003978422035773596,8.350164474298556e-05,0.004005396614472071
NeuralNetwork,0.0001,8.0,40.0,True,9.0,0.00010254246049693653,0.0003146113295640264,1.4730562855090415e-05,3.4183689526149205e-05,0.0007415055366660138,1.341067420850907e-05,0.0,4.3140202095466e-05,0.00024969716157232014,3.1017236012433255e-05,0.000572667909520013,2.804513621543135e-05,0.0005986054560967854,2.4919137026050262e-05,0.0008374788931437902,2.1616688796452114e-05,0.0008467473621879305,2.369813820613282e-05,0.0008521862328052521,1.756509134013738e-05,0.0008734629622527532,0.00046585056309898695,0.0014632829775412877,6.649186058590809e-05,0.00015049114202459653,0.003510637969680138,6.399175617843866e-05,0.0,0.00019470502932866413,0.0016093287616968156,0.00016130002525945505,0.0026279506584008534,0.00013417072283724945,0.002824678768714269,9.519398057212432e-05,0.0037833072245121004,0.00012633393829067547,0.0037871864934762318,9.14020308603843e-05,0.003977895528078079,8.36225226521492e-05,0.00401221364736557
