Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train VAE BCE Loss,train VAE BCELogits Loss,train VAE MSE Loss,train VAE MAE Loss,train VAE SSIM Loss,train VAE 0 White MAE Loss,train VAE 0 Black MAE Loss,train VAE H White MAE Loss,train VAE H Black MAE Loss,train VAE I White MAE Loss,train VAE I Black MAE Loss,train VAE J White MAE Loss,train VAE J Black MAE Loss,train VAE K White MAE Loss,train VAE K Black MAE Loss,train VAE L White MAE Loss,train VAE L Black MAE Loss,train VAE M White MAE Loss,train VAE M Black MAE Loss,train VAE N White MAE Loss,train VAE N Black MAE Loss,test VAE BCE Loss,test VAE BCELogits Loss,test VAE MSE Loss,test VAE MAE Loss,test VAE SSIM Loss,test VAE 0 White MAE Loss,test VAE 0 Black MAE Loss,test VAE H White MAE Loss,test VAE H Black MAE Loss,test VAE I White MAE Loss,test VAE I Black MAE Loss,test VAE J White MAE Loss,test VAE J Black MAE Loss,test VAE K White MAE Loss,test VAE K Black MAE Loss,test VAE L White MAE Loss,test VAE L Black MAE Loss,test VAE M White MAE Loss,test VAE M Black MAE Loss,test VAE N White MAE Loss,test VAE N Black MAE Loss
VariationalAutoencoder,0.0001,8.0,40.0,1.0,0.0,0.0001379348470696381,0.0003215435892343521,2.3318283326391665e-05,5.197790783963033e-05,0.0007869648727857339,9.923543049288647e-06,0.0,5.398297881973641e-05,0.0007926217147282192,5.278678477874824e-05,0.0008003186966691698,3.320838524294751e-05,0.0008247196674346924,3.893651467348848e-05,0.0008116321904318673,3.403289509671075e-05,0.0008444411414010184,2.4750339798629283e-05,0.0008602520184857505,1.3160426169633865e-05,0.0008670495024749211,0.0006327322994669278,0.0014892527212699254,0.00010499660857021809,0.00021059176263709862,0.003741225478639564,7.767070395251116e-05,0.0,0.0002229205798357725,0.003695753465096156,0.00018811312814553577,0.0038396738469600677,0.00012560644342253605,0.003944054494301478,6.310661556199192e-05,0.004037202149629593,0.0001342260589202245,0.003920675565799077,0.00011587586098661025,0.00397797574599584,0.00011321792844682932,0.003902602940797806
VariationalAutoencoder,0.0001,8.0,40.0,True,1.0,0.00013587593234011105,0.00032064622001988545,2.3066513572952576e-05,4.806605367256062e-05,0.0007889191358897955,2.232247664194022e-05,0.0,7.591962681284973e-05,0.0007027512682335717,3.0005789761032377e-05,0.0008415006633315767,3.7819925429565565e-05,0.0008235474250146321,2.8071855194866657e-05,0.0008335425385407039,2.4590631281690937e-05,0.0008570205420255661,3.002442286482879e-05,0.0008431847606386457,2.139537828043103e-05,0.0008654162819896425,0.0006289216379324595,0.001489053045709928,0.0001054427974546949,0.00020393637629846731,0.0037406892627257935,5.788336663196484e-05,0.0,0.00023450880932311216,0.0036485100785891215,0.00012078521152337392,0.003985541810592016,0.0001284465193748474,0.00395751471320788,9.613609872758389e-05,0.0040117713312308,0.0001357496405641238,0.003862523039182027,0.00014718302215139072,0.003943828493356704,9.22402444606026e-05,0.003959942360719045
VariationalAutoencoder,0.0001,8.0,40.0,True,2.0,0.00013200556859374046,0.0003210027835198811,2.2679429301725968e-05,4.8377507898424355e-05,0.0007894137340828066,1.4432286843657493e-05,0.0,7.257595259164061e-05,0.0006408370499100004,3.968138646866594e-05,0.000833240949681827,3.329957170145852e-05,0.0008352767143930708,3.7034743997667515e-05,0.0008200142000402723,3.085217904299498e-05,0.0008477528712579183,3.0986578868968145e-05,0.0008592663598912103,2.08500207268766e-05,0.0008568329470498221,0.00061741570631663,0.0014938871065775553,0.00010418060701340437,0.00021335069711009663,0.0037204367205089187,0.00010503422624121109,0.0,0.0002120318201680978,0.0035924315452575684,0.00016049185457328957,0.003790844480196635,0.00013920039248963196,0.003962535411119461,0.0001509845412025849,0.003899076084295909,0.00015250765718519688,0.0039338278273741405,0.00012337223161011933,0.0039925210177898405,0.00016609486192464828,0.003836098313331604
VariationalAutoencoder,0.0001,8.0,40.0,True,3.0,0.00013307475351861546,0.00032074834619249615,2.286999952048063e-05,4.689683472471578e-05,0.0007877043756968645,1.6632922259824617e-05,0.0,7.112071450267519e-05,0.000654316959636552,3.6990366476987086e-05,0.0008344442184482301,3.758722783199378e-05,0.000834953784942627,3.073971851595811e-05,0.0008356790989637375,2.3414844846619028e-05,0.0008632877043315343,2.9974054944302354e-05,0.0008601654853139604,2.3656910551445826e-05,0.0008525134197303227,0.0006062313914299011,0.0014936485638221105,0.00010394693817943335,0.00021242531947791577,0.0037157942941630122,9.658415801823139e-05,0.0,0.0002131253791352113,0.003534563382466634,0.0002066320429245631,0.0038613167901833854,0.00012672000254193943,0.004004568854967753,0.00011950718083729347,0.003968063990275065,0.00019231576782961687,0.0038823438187440234,0.00014586287240187328,0.003967983772357305,9.373137727379799e-05,0.003997768461704254
VariationalAutoencoder,0.0001,8.0,40.0,True,4.0,0.00013199504464864731,0.00032042387340750015,2.2702562689249006e-05,4.537487735173532e-05,0.0007893611495071687,1.2942123326605985e-05,0.0,7.062559016048908e-05,0.0006822207144328526,2.7835700062236615e-05,0.0008457726133721215,3.643972865704979e-05,0.0008234766977173941,3.5949813068977425e-05,0.0008238182004008974,2.475776044385774e-05,0.000857582369021007,2.4460439038063798e-05,0.0008651289556707655,2.4302628090871233e-05,0.00086086206138134,0.0005763620138168335,0.0014885835349559783,9.672074423482021e-05,0.00019888474295536677,0.0037136698332411794,9.067618132879337e-05,0.0,0.0002481165807694197,0.003128019471963247,0.00017372923903167248,0.003860083470741908,0.00013387307214240233,0.004010083278020223,9.896931393692891e-05,0.003994182745615641,0.00019559678621590139,0.0038522280752658843,0.00013001090846955776,0.003988669564326604,9.350428978602091e-05,0.0040124252438545225
VariationalAutoencoder,0.0001,8.0,40.0,True,5.0,0.0001312564659331526,0.00031970835157803126,2.195499005860516e-05,4.488908619220768e-05,0.0007812833642436986,1.688295742496848e-05,0.0,5.4228322447410654e-05,0.0005577585526875087,3.87325616819518e-05,0.0008022230118513108,3.5039521753787996e-05,0.0008401444447892053,3.6367178628487245e-05,0.000802587451679366,2.2269535942801406e-05,0.0008566936744110925,2.5886001198419503e-05,0.0008582045989377158,1.911659658487354e-05,0.0008729464773620878,0.0005423489958047867,0.0014768948157628378,8.568569707373778e-05,0.00017456446463863054,0.003714957372942946,8.886700185636679e-05,0.0,0.0002215201190362374,0.0026092914243539176,0.00015704130443433922,0.003454883148272832,7.894814480096102e-05,0.004038454840580622,9.891457545260588e-05,0.003985834121704101,0.00012095750619967778,0.0038202226161956785,0.00011027814665188392,0.003939953694740931,5.428886506706476e-05,0.004115386555592219
VariationalAutoencoder,0.0001,8.0,40.0,True,6.0,0.00012541133910417556,0.0003187646024993488,2.1031289361417293e-05,4.20202235026019e-05,0.0007835658946786139,1.6540169183697018e-05,0.0,5.809771828353405e-05,0.00048376784792968205,3.297434055379459e-05,0.0007959169468709401,3.0691974929400856e-05,0.0008044153984103884,3.168768848159484e-05,0.0008412592645202365,2.340805118105241e-05,0.0008613711489098413,1.9604444969445466e-05,0.0008637094604117529,2.2369907570204565e-05,0.0008667993758405958,0.0005144888845582803,0.0014743960152069728,7.948032580316067e-05,0.00017315347989400228,0.003695392992846187,7.862189474205176e-05,0.0,0.0002531534681717555,0.002146781732638677,0.00018106233328580857,0.0031740466753641763,0.00015887689466277758,0.003655136376619339,8.90988390892744e-05,0.003961067895094554,0.00011705797320852677,0.003955762833356857,8.777008236696323e-05,0.004023562620083491,9.004612608502309e-05,0.0040625480314095816
VariationalAutoencoder,0.0001,8.0,40.0,True,7.0,0.00012648853340319226,0.000318906589278153,2.112316765955516e-05,4.388783792299884e-05,0.0007749206648350631,1.669379084237984e-05,0.0,5.615952956889357e-05,0.00046991301434380666,4.3618778831192425e-05,0.0006965297673429761,3.253569094730275e-05,0.000799367151090077,2.9879139869340827e-05,0.0008310651672737939,2.3794583311038356e-05,0.0008586608405624117,1.9778755293892963e-05,0.0008629422634840011,2.5604385882616043e-05,0.0008510756705488477,0.000525791198015213,0.001473743716875712,7.94529759635528e-05,0.00017073849836985271,0.0037086703536840515,7.946579717099667e-05,0.0,0.0002622960756222407,0.0020063805083433786,0.0001753124718864759,0.003068629155556361,0.00012109971139580011,0.0039814728001753485,9.464557903508346e-05,0.004011973987023036,9.945289542277654e-05,0.00406811460852623,0.00010251298857231935,0.004004973421494166,9.260947505633037e-05,0.004051492114861806
VariationalAutoencoder,0.0001,8.0,40.0,True,8.0,0.00012573305783527238,0.0003172691645366805,2.0163009009723153e-05,3.769969168518271e-05,0.0007915591118294202,1.807075792125293e-05,0.0,5.133182608655521e-05,0.00042904304074389593,2.799136896750757e-05,0.0007500978452818734,2.5199144147336483e-05,0.000802894468818392,2.0462677015789917e-05,0.0008588646139417376,2.2080073332680123e-05,0.0008724564420325415,2.8201548515685966e-05,0.0008487973894391741,1.8576407871608222e-05,0.0008731027798993246,0.0005518606553475062,0.001475213219722112,8.247774870445331e-05,0.00017451145686209202,0.0036882475275184473,0.00010514177071551482,0.0,0.00023011332377791404,0.0021537351111570995,0.00014440887607634068,0.0031674958765506743,0.0001549242219577233,0.0038608896235624948,9.632197519143423e-05,0.0040236716469128925,0.00014303579616049925,0.0038886291285355886,0.00010987489173809687,0.003922776877880096,7.480198207000891e-05,0.004083057989676794
VariationalAutoencoder,0.0001,8.0,40.0,True,9.0,0.0001262395243559565,0.00031710317624466757,1.9954362817640815e-05,3.806880808302334e-05,0.0007886548564208514,2.1170019837362427e-05,0.0,4.4294180614607675e-05,0.0003667889695082392,3.1913590750523976e-05,0.0007550721721989768,2.8245440418166775e-05,0.0007349553384951182,2.5715758757931844e-05,0.0008523648870842797,2.1195847408047744e-05,0.0008739397461925234,1.806129834481648e-05,0.0008744082280567714,1.8512001926345485e-05,0.0008708558976650238,0.0005415173868338267,0.0014724188794692358,7.885051891207696e-05,0.0001705248529712359,0.003679409202453474,8.152041894694169e-05,0.0,0.00023936815559864045,0.0018377430737018586,0.00012637122223774593,0.0031757834057013195,0.00012901645774642627,0.0037740878760814667,0.0001135137320185701,0.004036338875691096,0.00015306851516167324,0.0038310907781124114,9.926428707937399e-05,0.003973805656035741,0.00010492859097818533,0.003960686425367991
