Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train ResNet BCE Loss,train ResNet BCELogits Loss,train ResNet MSE Loss,train ResNet MAE Loss,train ResNet SSIM Loss,train ResNet 0 White MAE Loss,train ResNet 0 Black MAE Loss,train ResNet H White MAE Loss,train ResNet H Black MAE Loss,train ResNet I White MAE Loss,train ResNet I Black MAE Loss,train ResNet J White MAE Loss,train ResNet J Black MAE Loss,train ResNet K White MAE Loss,train ResNet K Black MAE Loss,train ResNet L White MAE Loss,train ResNet L Black MAE Loss,train ResNet M White MAE Loss,train ResNet M Black MAE Loss,train ResNet N White MAE Loss,train ResNet N Black MAE Loss,test ResNet BCE Loss,test ResNet BCELogits Loss,test ResNet MSE Loss,test ResNet MAE Loss,test ResNet SSIM Loss,test ResNet 0 White MAE Loss,test ResNet 0 Black MAE Loss,test ResNet H White MAE Loss,test ResNet H Black MAE Loss,test ResNet I White MAE Loss,test ResNet I Black MAE Loss,test ResNet J White MAE Loss,test ResNet J Black MAE Loss,test ResNet K White MAE Loss,test ResNet K Black MAE Loss,test ResNet L White MAE Loss,test ResNet L Black MAE Loss,test ResNet M White MAE Loss,test ResNet M Black MAE Loss,test ResNet N White MAE Loss,test ResNet N Black MAE Loss,train ANN BCE Loss,train ANN BCELogits Loss,train ANN MSE Loss,train ANN MAE Loss,train ANN SSIM Loss,train ANN 0 White MAE Loss,train ANN 0 Black MAE Loss,train ANN H White MAE Loss,train ANN H Black MAE Loss,train ANN I White MAE Loss,train ANN I Black MAE Loss,train ANN J White MAE Loss,train ANN J Black MAE Loss,train ANN K White MAE Loss,train ANN K Black MAE Loss,train ANN L White MAE Loss,train ANN L Black MAE Loss,train ANN M White MAE Loss,train ANN M Black MAE Loss,train ANN N White MAE Loss,train ANN N Black MAE Loss
ResidualNeuralNetwork,0.0001,8.0,40.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.007369031508763631,0.0014875203371047974,0.00011758946347981692,0.00023201115739842257,0.002429262374428658,9.725726364801327e-05,0.0,0.00014496827498078346,0.0037616940836111704,0.00012889123366524775,0.003899411608775457,0.00011374459912379582,0.0038826098044713337,0.00011137048713862895,0.003932849814494451,0.00011609068606048823,0.003903262068827947,0.00010295273580898842,0.003936574359734853,9.284151407579581e-05,0.003946630160013834,0.0016531453600951602,0.00031946711242198945,2.6191275433770247e-05,5.064525175839663e-05,0.0005142145885672097,2.4978620266275747e-05,0.0,4.235460822071348e-05,0.0007949022842305047,2.514115933861051e-05,0.000845106371811458,2.1241289297384875e-05,0.00084408771778856,2.1164862638605492e-05,0.00082297825387546,2.660722571558186e-05,0.0008522685617208481,2.1491525694727896e-05,0.000871267808335168,2.0308812548007285e-05,0.0008706210447209222
ResidualNeuralNetwork,0.0001,8.0,40.0,True,1.0,,,,,,,,,,,,,,,,,,,,,,0.008837180336316426,0.0014898007114728291,0.00012852685370792945,0.00023961270538469154,0.0023488641159917583,0.00010022562928497791,0.0,0.00017311923826734225,0.0036531642079353334,0.0001416974390546481,0.0038304567337036134,0.0001163280646627148,0.003878260900576909,0.00011408089194446802,0.0039308503270149234,0.00011957362294197082,0.003939807166655858,0.00010581943206489086,0.003944565604130427,9.90544135371844e-05,0.003954390188058218,0.0019690507224627905,0.000319956083382879,2.872090054942029e-05,5.2074958304209366e-05,0.0004986545471399739,2.3934880404600075e-05,0.0,4.9721911948706424e-05,0.0007761296949216298,2.7377076912671326e-05,0.0008370504315410341,2.2029249729322537e-05,0.0008405156965766634,2.157705436859812e-05,0.0008225733680384499,2.6351201813668013e-05,0.0008472388344151633,2.2372290758149964e-05,0.000872271614415305,2.1606114959078175e-05,0.0008682378700801305
ResidualNeuralNetwork,0.0001,8.0,40.0,True,2.0,,,,,,,,,,,,,,,,,,,,,,0.01096444030602773,0.0014964032918214798,0.00014920295216143132,0.0002574678199986617,0.0021512006256044053,0.00011346527996162574,0.0,0.00018286049986879032,0.0036593285699685414,0.00015797163359820843,0.0037961738804976144,0.0001515872310847044,0.0038177939752737683,0.00013059643097221852,0.0038904825846354167,0.00016170695113639036,0.003825840353965759,0.00012306689750403167,0.0039108907183011375,0.00011032293550670147,0.0040152544776598615,0.002407726219722203,0.00032136498817375727,3.284796673272337e-05,5.615203242216792e-05,0.0004557230717769397,2.9784806870988438e-05,0.0,5.2313320338726044e-05,0.0007762730121612549,3.0769454315304753e-05,0.0008291684091091156,3.0070776119828224e-05,0.0008089493960142136,2.4817795825323887e-05,0.0008197970688343048,3.048127650150231e-05,0.0008487271943262645,2.5188671757600138e-05,0.0008410891251904624,2.405150860015835e-05,0.0008590587547847203
ResidualNeuralNetwork,0.0001,8.0,40.0,True,3.0,,,,,,,,,,,,,,,,,,,,,,0.01191030244032542,0.00149817888935407,0.00015458767302334309,0.00026275329291820527,0.0021479869706345967,0.00011520260013639927,0.0,0.00017651719972491264,0.003696262339750926,0.00016146010408798854,0.003784003605445226,0.00014849894990523655,0.0037823515633742017,0.00013788055318097274,0.003836766878763835,0.00015484803977111977,0.0038433201611042024,0.00013954754297931988,0.003821718692779541,0.0001225945462162296,0.00396597683429718,0.0026233954089028497,0.0003216809460094997,3.3968700362103324e-05,5.7032677744116104e-05,0.00045578692108011606,3.092986132417406e-05,0.0,4.743433424404689e-05,0.0007914691631283079,3.21083702147007e-05,0.0008179906223501478,2.9037151086543287e-05,0.0008137302739279611,2.7252663858234883e-05,0.0008055697062185832,3.2552298424499375e-05,0.0008445773805890764,2.7514159280274596e-05,0.0008518991725785392,2.5521506488855395e-05,0.0008651603013277054
ResidualNeuralNetwork,0.0001,8.0,40.0,True,4.0,,,,,,,,,,,,,,,,,,,,,,0.013458731770515441,0.0015056701997915904,0.0001707457471638918,0.0002825568119684855,0.002092749358760536,0.0001754574477672577,0.0,0.0001338701229542494,0.003853917121887207,0.00015234619689484438,0.003860785315434138,0.00015547404376169046,0.003817679484685262,0.00016589247000714142,0.0037913883725802103,0.00015991032123565673,0.0038896394272645313,0.00016728979535400866,0.0038107119500637053,0.00017621445779999098,0.0038607741395632424,0.0029464966484478543,0.0003230508949075426,3.6654634667294364e-05,6.113144169960703e-05,0.000444457102205273,3.579883902732815e-05,0.0,2.9375124722719192e-05,0.000834896309035165,3.345435086105551e-05,0.0008115703506129129,3.50511000890817e-05,0.0007998684687273843,3.57000290283135e-05,0.0007845059569392886,3.5035713309688225e-05,0.0008486823844058173,3.78591740237815e-05,0.0008337092186723437,3.810677278254713e-05,0.000834391638636589
ResidualNeuralNetwork,0.0001,8.0,40.0,True,5.0,,,,,,,,,,,,,,,,,,,,,,0.015268872181574503,0.0015087537467479706,0.00018545727555950483,0.0002926482198139032,0.002013989919225021,0.000148231474061807,0.0,0.00019584357117613155,0.0036319032311439513,0.00019712219946086407,0.003740399330854416,0.00018613063730299473,0.0037029904623826345,0.00016557614629467328,0.0037953066329161327,0.0001995891332626343,0.0037339098751544954,0.00017351840312282245,0.003778464843829473,0.0001464550383388996,0.0040080728630224865,0.003340043979031699,0.0003238809694136892,4.0512621801878725e-05,6.322965158947877e-05,0.00042801461777985136,3.7763686850667e-05,0.0,4.7089182771742344e-05,0.0007876977856670107,3.937961799757821e-05,0.0007978105651480811,3.486351176564183e-05,0.0008072783904416221,3.502460728798594e-05,0.0007868025984082903,4.133768712303468e-05,0.0008366700261831283,3.46370307462556e-05,0.000824446018253054,3.077746368944645e-05,0.0008562563785484859
ResidualNeuralNetwork,0.0001,8.0,40.0,True,6.0,,,,,,,,,,,,,,,,,,,,,,0.01717039744059245,0.0015145165224870047,0.0002027984553327163,0.0003068691740433375,0.0018880953628257287,0.00018125935457646847,0.0,0.00019908078635732333,0.0036376153429349264,0.0001991269023468097,0.0037325325111548105,0.0001970914037277301,0.00367728794614474,0.0001903202539930741,0.0037203192710876464,0.00020182921240727107,0.003715950498978297,0.0001895055640488863,0.003765216221412023,0.00017251092940568925,0.003973661859830221,0.003749938522066389,0.000325127797467368,4.435526539704629e-05,6.626291599656855e-05,0.00040149480887779077,4.7894021762268886e-05,0.0,4.761705973318645e-05,0.0007780381611415319,3.9479020051658155e-05,0.0008102119501147951,3.8804682636899606e-05,0.000793697897877012,3.9294505092714514e-05,0.0007834878883191518,4.404151612626655e-05,0.0008358337517295564,3.679080733231136e-05,0.000838758796453476,3.743512955095087e-05,0.0008514201534645898
ResidualNeuralNetwork,0.0001,8.0,40.0,True,7.0,,,,,,,,,,,,,,,,,,,,,,0.017378618319829304,0.0015144368012746175,0.00020336050850649673,0.0003071748341123263,0.001882058039374391,0.00017836856034894784,0.0,0.00020902569716175397,0.0035879095395406086,0.00020089770356814066,0.003725838412841161,0.00019378983415663242,0.003662078579266866,0.00018888205910722416,0.0037254715959231057,0.00020704022608697414,0.0036902057627836863,0.0001895432360470295,0.0037751021484533948,0.0001709972508251667,0.003975686927636464,0.003792848757335118,0.00032515602984598707,4.452503552394254e-05,6.645943836442062e-05,0.0004006297257294791,4.781643593949931e-05,0.0,5.1830632479063104e-05,0.0007604948111942836,4.041114090276616e-05,0.0008065137479986463,3.79834756521242e-05,0.0007960500461714608,3.9039043310497485e-05,0.0007889198405402047,4.4542148576251096e-05,0.000836439271058355,3.673808116997991e-05,0.0008383801473038537,3.681852415736232e-05,0.0008490084537437983
ResidualNeuralNetwork,0.0001,8.0,40.0,True,8.0,,,,,,,,,,,,,,,,,,,,,,0.01804498036702474,0.0015163360784451166,0.00020940344159801801,0.00031288440028826394,0.0018382773103212684,0.00018233490797380607,0.0,0.00021986782861252625,0.0035359032452106478,0.00020844220804671447,0.0036977382997671763,0.00019988447117308777,0.0036626907686392466,0.00019344089863200983,0.0037270364662011462,0.00021689818240702152,0.0036686241626739504,0.00019544743311901888,0.0037649450202782947,0.0001771532619992892,0.0039553135633468624,0.0039362562554223195,0.00032564356390919004,4.5883781941873685e-05,6.795435079506465e-05,0.0003919474907901391,4.841757805219718e-05,0.0,5.5869529023766515e-05,0.000743948295712471,4.2750639840960504e-05,0.0008011973329952785,3.9070485425846916e-05,0.0007948633283376694,4.0268402413598125e-05,0.0007882596126624516,4.6232189717037335e-05,0.0008327551186084747,3.844647601779018e-05,0.0008360110223293304,3.8045707957020826e-05,0.0008525862757648741
ResidualNeuralNetwork,0.0001,8.0,40.0,True,9.0,,,,,,,,,,,,,,,,,,,,,,0.0186366339524587,0.0015212289988994598,0.00021980667176345984,0.0003266592510044575,0.0018208027369021613,0.00019333084734777609,0.0,0.00020543610056241354,0.0036264069378376005,0.00022704717703163623,0.0036734131475289664,0.00022795734306176504,0.003628315528233846,0.00020459036653240522,0.003697647899389267,0.00023862305097281932,0.003632844736178716,0.00021773429277042547,0.0036998088161150616,0.00019110237869123618,0.0039448810120423635,0.004064213803836278,0.0003267019454921995,4.786992711680276e-05,7.116872418139662e-05,0.00038804236149827214,5.691293627023697e-05,0.0,4.591901919671467e-05,0.0007852318563631602,4.531491680869035e-05,0.0007898853293487004,4.4572619455201285e-05,0.0007812443588461194,4.5262350301657407e-05,0.0007598544870104109,4.9558844018195356e-05,0.0008247453187193189,4.5781665747719154e-05,0.0008230788367135184,4.116469728095191e-05,0.0008511457060064588
