Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train N BCE Loss,train N BCELogits Loss,train N MSE Loss,train N MAE Loss,train N SSIM Loss,train N 0 White MAE Loss,train N 0 Black MAE Loss,train N H White MAE Loss,train N H Black MAE Loss,train N I White MAE Loss,train N I Black MAE Loss,train N J White MAE Loss,train N J Black MAE Loss,train N K White MAE Loss,train N K Black MAE Loss,train N L White MAE Loss,train N L Black MAE Loss,train N M White MAE Loss,train N M Black MAE Loss,train N N White MAE Loss,train N N Black MAE Loss,test N BCE Loss,test N BCELogits Loss,test N MSE Loss,test N MAE Loss,test N SSIM Loss,test N 0 White MAE Loss,test N 0 Black MAE Loss,test N H White MAE Loss,test N H Black MAE Loss,test N I White MAE Loss,test N I Black MAE Loss,test N J White MAE Loss,test N J Black MAE Loss,test N K White MAE Loss,test N K Black MAE Loss,test N L White MAE Loss,test N L Black MAE Loss,test N M White MAE Loss,test N M Black MAE Loss,test N N White MAE Loss,test N N Black MAE Loss
NeuralNetwork,0.0001,8.0,40.0,1.0,0.0,0.00013144529823746,0.0003211490543825286,2.2783724125474693e-05,4.836867031242166e-05,0.0007844023968728335,1.5502812207809518e-05,0.0,9.5246233312147e-05,0.0006675188562699727,3.826529386320284e-05,0.000821896642446518,3.227979676531894e-05,0.0008367226592132024,3.606427593954972e-05,0.0008214666375092098,2.8498986336801734e-05,0.0008548893566642489,2.9885259989116874e-05,0.0008441262479339327,1.8622784409672022e-05,0.000868648716381618,0.0005941833679874738,0.0014913888027270636,0.00010214498421798149,0.00020386117200056711,0.003726387249763205,7.149926386773586e-05,0.0,0.0002667473318676154,0.0035497148831685386,0.0001744521160920461,0.003852482885122299,0.0001383335640033086,0.003940829386313756,0.00010764336523910364,0.004000118623177211,0.0001830140749613444,0.0038428318997224173,0.0001254288712516427,0.003975913176933924,8.370857685804367e-05,0.004016989221175511
NeuralNetwork,0.0001,8.0,40.0,True,1.0,0.00012905166617461613,0.00032006754939045224,2.219828643969127e-05,4.5154280295329436e-05,0.0007899740140065723,1.267824721123491e-05,0.0,7.932334473090513e-05,0.0006328648754528591,3.47912245030914e-05,0.0008235294371843338,3.1275727919169834e-05,0.0008419783519847052,3.2483400510890146e-05,0.0008217449699129377,2.4477680147226367e-05,0.0008555649114506585,2.678472748292344e-05,0.0008547792477267129,1.6975959962499993e-05,0.0008711248636245727,0.0005690760910511017,0.0014865707606077194,9.55206419651707e-05,0.00019460233549276987,0.003731305389251183,6.0561089776456355e-05,0.0,0.00026796351497371994,0.003220479687054952,0.0001706755564858516,0.003810838609933853,0.00013770970205465952,0.003971772144238154,9.872856705139081e-05,0.003989530354738235,0.00017146275689204534,0.003782780965169271,0.000110707253528138,0.0039954066276550295,7.809527839223544e-05,0.004035225758949916
NeuralNetwork,0.0001,8.0,40.0,True,2.0,0.00011261057640825,0.00031747112848928995,1.8254692466663463e-05,3.941453594182219e-05,0.0007938936839671026,1.382406335324049e-05,0.0,5.262032417314393e-05,0.0003645235938685281,3.413552019212927e-05,0.000732884875365666,3.2061704301408356e-05,0.0007469440145151956,2.9889191500842573e-05,0.0008254391806466239,2.4509566303874764e-05,0.0008503095912081854,2.6235594746789763e-05,0.0008465585964066641,1.771410128899983e-05,0.0008732991559164864,0.0005035467445850372,0.0014741763472557068,7.60417819644014e-05,0.0001752120132247607,0.0037088352906658167,6.625431900223097e-05,0.0,0.0002912585313121478,0.001616937667131424,0.00017381017096340656,0.0032317303121089935,0.00015463215919832388,0.0038223616778850556,0.00011414726419995228,0.0038901386161645252,0.00015475273442765077,0.0038135352234045664,0.00011480904649943113,0.003953202068805695,8.426297766466936e-05,0.004031004011631012
NeuralNetwork,0.0001,8.0,40.0,True,3.0,0.00010658884420990943,0.00031619880880628313,1.6560872817145928e-05,3.704146947711706e-05,0.0007912550477680431,1.2250750192574092e-05,0.0,4.241359752735921e-05,0.0002819481971008437,3.5256330323006425e-05,0.0006673051310437066,3.312394422079836e-05,0.0006597638662372316,2.8618797659873963e-05,0.0008346262787069593,2.3203570994415454e-05,0.0008469592779874801,2.5771087634244135e-05,0.0008490145206451416,1.7037048071090663e-05,0.0008743721459593092,0.0004822345760961374,0.0014683040479818979,7.166584643224875e-05,0.000162108289077878,0.0037128556171948236,5.831583014999827e-05,0.0,0.00024513706254462403,0.0013124292095502217,0.00018149719883998235,0.002852186808983485,0.00015962761826813222,0.0036348809798558554,0.00011018544901162386,0.0038685783743858337,0.00014044218696653842,0.0038133392731348674,0.00011036365758627653,0.003974062452713648,8.185698340336481e-05,0.004051683843135834
NeuralNetwork,0.0001,8.0,40.0,True,4.0,0.00010399569624236652,0.0003154754638671875,1.5693282642002617e-05,3.5835207173866887e-05,0.0007892554024565566,1.1058163363486528e-05,0.0,3.631475514599255e-05,0.00026269424706697463,3.5822308356208464e-05,0.0006183107516595296,3.447458148002625e-05,0.0006041990859167916,2.7145641589803355e-05,0.0008337015552180154,2.2214110608079605e-05,0.0008451725223234722,2.4911664825464997e-05,0.0008538208901882171,1.6453606076538562e-05,0.0008744139224290848,0.0004696028617521127,0.0014642825971047083,6.833344232290984e-05,0.0001526892961313327,0.0037214094628967046,5.2016480670621e-05,0.0,0.00020882831886410714,0.001210392142335574,0.00018266655194262664,0.002643157293399175,0.00015982653324802715,0.0034180966516335807,0.00010385355756928524,0.0038465733329455056,0.00013428788321713606,0.003757095585266749,0.00010474054918934902,0.003987438976764679,7.855629858871301e-05,0.004053142170111338
NeuralNetwork,0.0001,8.0,40.0,True,5.0,0.00010202413291803428,0.0003148529146398817,1.5043355857155153e-05,3.462463417755706e-05,0.0007888212841430318,1.0563575363318835e-05,0.0,3.154700555439506e-05,0.0002513784116932324,3.532178566924163e-05,0.0005806026182004384,3.42270392658455e-05,0.000567913321512086,2.6217808148690634e-05,0.0008302574711186545,2.1845644472965173e-05,0.0008430496922561101,2.3822137154638768e-05,0.000857923339520182,1.5766210188823087e-05,0.0008742569812706538,0.0004605453150967757,0.001461297646164894,6.558358824501434e-05,0.0001456654475380977,0.0037271554900623824,4.950460667411486e-05,0.0,0.0001840752549469471,0.0011481871207555136,0.00017694725344578424,0.0025311929484208425,0.00015617809258401395,0.003204925109942754,0.00010035236676534018,0.0038262367248535155,0.00013205513047675292,0.0036977159480253855,0.00010038264251003663,0.003988155970970789,7.527636674543222e-05,0.004047575096289317
NeuralNetwork,0.0001,8.0,40.0,True,6.0,0.00010016158090106078,0.00031432073031153,1.4424816306148256e-05,3.364842850714922e-05,0.0007888621572768021,1.0181419617895569e-05,0.0,2.796931325324944e-05,0.00023577317063297544,3.42988409101963e-05,0.000550857452409608,3.370151722005435e-05,0.0005397602915763855,2.6263160231922354e-05,0.000823606870004109,2.205934641616685e-05,0.0008372722459690911,2.330283501318523e-05,0.0008611668433461871,1.5135817894978183e-05,0.0008743491555963244,0.00045269131660461424,0.0014588768283526103,6.300592795014382e-05,0.0001403053446362416,0.0037320415402833447,4.7497986815869805e-05,0.0,0.0001644142127285401,0.0011115603148937226,0.00016852792662878832,0.0024579604466756183,0.00015217952119807402,0.003003049890200297,9.863864785681168e-05,0.0037895011405150096,0.00013223965652287006,0.0036596464614073437,9.781200593958298e-05,0.003982362399498621,7.204199985911449e-05,0.00404344101746877
NeuralNetwork,0.0001,8.0,40.0,True,7.0,9.840917773544789e-05,0.0003138324511902673,1.3864158453153713e-05,3.27272606747491e-05,0.0007899168886686918,1.0202938158597266e-05,0.0,2.5513876296047655e-05,0.00021694998389908246,3.293424711695739e-05,0.0005253196827002934,3.286742472222873e-05,0.0005147155906472887,2.6467796747705768e-05,0.0008145859198910849,2.243602315762213e-05,0.0008296621697289603,2.3027457895555665e-05,0.0008624857025487082,1.5003322291054896e-05,0.0008744380303791591,0.0004444326584537824,0.0014567258457342783,6.038201196740071e-05,0.0001356155766795079,0.003740621984036369,4.7408036577204865e-05,0.0,0.00014783780400951703,0.0010691593090693156,0.00015859872413178286,0.002402418106794357,0.00014841626398265362,0.0028139221171538035,9.723165227721135e-05,0.00373741015791893,0.0001331712274501721,0.0036223781605561572,9.696930646896362e-05,0.003974612305561702,7.099372645219167e-05,0.004035407056411107
NeuralNetwork,0.0001,8.0,40.0,True,8.0,9.668273186045034e-05,0.00031334635402475086,1.3376215273248297e-05,3.175818627434118e-05,0.0007919787171778951,1.0234170726367406e-05,0.0,2.3868312460503407e-05,0.00020005832027111735,3.142847147371088e-05,0.0005014934710093907,3.193092332886798e-05,0.0004888639386211122,2.6704562229237386e-05,0.0008035857230424881,2.253184959824596e-05,0.0008229803293943405,2.249302508841668e-05,0.000862866107906614,1.476862733917577e-05,0.0008744689502886363,0.0004364919848740101,0.0014546860009431839,5.8045001545300086e-05,0.00013128668069839478,0.0037510492186355383,4.7383698013921576e-05,0.0,0.00013550125683347384,0.0010175226256251336,0.00014891129297514756,0.0023485141495863597,0.0001449539481351773,0.0026485539972782137,9.51960605258743e-05,0.0036820794145266214,0.00013430658727884293,0.003563603510459264,9.622692596167326e-05,0.0039764789243539175,6.961000617593527e-05,0.004028030733267466
NeuralNetwork,0.0001,8.0,40.0,True,9.0,9.524419770709105e-05,0.0003129230280007635,1.3005195484895791e-05,3.0846334993839264e-05,0.0007942348594989694,1.0129584864314113e-05,0.0,2.2532456620995488e-05,0.0001886351965367794,3.0060351959296634e-05,0.0004831074071781976,3.094893348004137e-05,0.0004678938537836075,2.673818131110498e-05,0.0007960738348109382,2.230876956933311e-05,0.0008183080703020096,2.1884548810443707e-05,0.0008617709789957319,1.4406492534492697e-05,0.0008750754807676588,0.00042835489536325135,0.0014527599016825358,5.582555119569103e-05,0.00012710109197845061,0.0037600092281976413,4.6798765348891415e-05,0.0,0.00012598580215126277,0.0009766673048337302,0.00014008066306511562,0.0022788527111212414,0.0001424408672998349,0.0024801415701707205,9.401944310714802e-05,0.0036339146395524343,0.00013364958576858043,0.0035230569541454316,9.494218199203411e-05,0.003976272046566009,6.727768729130427e-05,0.004029262562592824
