labels,0,H,I,J,K,L,M,N
0,1244,0,0,0,0,0,0,0
H,0,1228,0,0,0,0,0,0
I,0,0,1160,0,0,0,0,0
J,0,0,0,1150,0,0,0,0
K,0,0,0,0,1177,0,0,0
L,0,0,0,0,0,1207,0,0
M,0,0,0,0,0,0,1194,0
N,0,0,0,0,0,0,0,1240
