labels,0,H,I,J,K,L,M,N
0,1089,0,0,0,40,115,0,0
H,0,790,261,0,0,177,0,0
I,0,0,552,0,118,490,0,0
J,50,0,149,712,63,176,0,0
K,66,0,279,259,452,0,30,91
L,57,37,190,172,169,574,5,3
M,0,0,309,515,0,143,53,174
N,0,0,0,361,0,0,0,879
