labels,0,H,I,J,K,L,M,N
0,1242,0,0,0,2,0,0,0
H,0,1228,0,0,0,0,0,0
I,0,0,1102,6,42,0,10,0
J,68,0,215,758,8,0,101,0
K,0,0,223,196,546,21,159,32
L,41,0,20,29,73,892,63,89
M,0,0,63,0,0,183,948,0
N,0,0,0,0,28,0,276,936
