0,1,2,3,4,5,6,7
1242,0,0,0,2,0,0,0
0,1228,0,0,0,0,0,0
0,0,782,9,130,0,239,0
21,0,40,805,98,0,186,0
0,0,15,101,699,5,357,0
0,0,0,26,97,569,501,14
0,0,0,0,18,6,1170,0
0,0,0,0,113,0,522,605
