labels,0,H,I,J,K,L,M,N
0,1242,0,0,0,0,2,0,0
H,0,1228,0,0,0,0,0,0
I,0,0,1147,9,4,0,0,0
J,13,0,40,1061,0,0,36,0
K,0,0,30,35,1009,15,88,0
L,0,0,0,1,32,1168,6,0
M,0,0,0,0,109,95,990,0
N,0,0,0,0,0,0,199,1041
