Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train UNET BCE Loss,train UNET BCELogits Loss,train UNET MSE Loss,train UNET MAE Loss,train UNET N White MAE Loss,train UNET N Black MAE Loss,train UNET S White MAE Loss,train UNET S Black MAE Loss,train UNET T White MAE Loss,train UNET T Black MAE Loss,train UNET X White MAE Loss,train UNET X Black MAE Loss,train UNET _ White MAE Loss,train UNET _ Black MAE Loss,test UNET BCE Loss,test UNET BCELogits Loss,test UNET MSE Loss,test UNET MAE Loss,test UNET N White MAE Loss,test UNET N Black MAE Loss,test UNET S White MAE Loss,test UNET S Black MAE Loss,test UNET T White MAE Loss,test UNET T Black MAE Loss,test UNET X White MAE Loss,test UNET X Black MAE Loss,test UNET _ White MAE Loss,test UNET _ Black MAE Loss
UNeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.0007328622424698904,0.0006392729089587846,0.0002186906667089848,0.0005195722827371561,0.000560788573280499,0.00013773711624171214,0.0005528701524528853,6.625831950546275e-05,0.0005532238441657506,0.0004828197133508975,0.0005575705651003074,0.0003357640896846021,0.000525285773521485,0.0,0.0033671211146708555,0.002985782968173237,0.0009966892828731416,0.0023717960846499075,0.002633502648311591,0.0003877051362076645,0.0025119097352777637,0.0003245048131208,0.002574462373301668,0.0018085218825430241,0.002508873272242036,0.0024454582412287876,0.0023851928845891415,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,1.0,0.0006877329310959561,0.0006314475099352813,0.0001981568866662902,0.0004963634631061811,0.0005297779715607429,0.00016505048281420274,0.0005193805357195297,8.306800415413077e-05,0.0005244874568641026,0.000533332039082468,0.0005269128517963173,0.00037705986647593046,0.0005075822300666747,0.0,0.0031370007017123623,0.0029415731909889845,0.0008903928335357761,0.0022450831701170725,0.0024782430450871304,0.0003736041158250293,0.002359359894158705,0.000286123311182238,0.0024325924474488266,0.0019527289477534264,0.00236451119746802,0.0026207579381810793,0.002293742115392625,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,2.0,0.0006450524307646841,0.0006205362049395826,0.000177062104011803,0.00046547556501835824,0.0005007972614463127,0.0001207111940550997,0.0004850562932998986,6.636314475632742e-05,0.0004988114708517439,0.00047828634633529537,0.000496405033731075,0.000343393564545562,0.0004727251606810125,0.0,0.0029449669070213845,0.002895678551691883,0.0007997199236971777,0.0021128487661949496,0.002324038331613601,0.00029346824816937715,0.002215612234559449,0.0002171803945265476,0.002303413999905376,0.0018244933032389708,0.0022470771141772,0.002485718179798726,0.002139013518327437,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,3.0,0.0006134155786262368,0.0006173680413444087,0.00016483307045425045,0.0004533364605710834,0.00047695194935862907,0.00025496935105388054,0.00046471797552391524,0.00012157428658233498,0.00047471103160529125,0.0005867054279281123,0.0004733409280725567,0.00043020764933120854,0.00046090970463508543,0.0,0.0027709048499101364,0.002875938542983817,0.0007317987909107089,0.002043600727177266,0.00220616433605458,0.0006314682885535858,0.0021210914512850205,0.0004062053729903023,0.0021730685758890598,0.0023677395949573635,0.002131360506861465,0.00291802279604306,0.0020946168674612943,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,4.0,0.0005706821811809694,0.0006039830230959663,0.0001438744868229663,0.00041649086938071444,0.0004452314338272794,0.00013876287643157568,0.00043073927135159064,5.661884970420776e-05,0.00045101943041757754,0.0004858413555551411,0.0004418420422109311,0.0003345214292366871,0.0004177671879770942,0.0,0.0025823487425750157,0.00281948188565812,0.0006458643566137589,0.0018858322932285333,0.0020375101821227645,0.0003373582126959315,0.0019679114503680533,0.00011457085796872025,0.0020600851601774587,0.0019213692197259868,0.0020264662661642397,0.002487138569729883,0.0018907543623222496,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,5.0,0.0005371154880909264,0.000596974055079437,0.00012976973445589008,0.0003949561209048865,0.00042133519270349385,0.00015106159601250107,0.0004106835133303208,6.011894570206696e-05,0.0004224972824523391,0.0005190692179286576,0.0004167154712497063,0.0003469118853463638,0.00039678378246543863,0.0,0.002439870961807059,0.0027884563560006004,0.0005833602645112283,0.0017886246150394655,0.0019260650535799422,0.000432217224214062,0.00187321016623539,0.000124252735162681,0.0019426156514845555,0.002079219563202288,0.0018983822573655806,0.002684155912519251,0.0017957128818679906,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,6.0,0.0005082092837824654,0.0005905635032371048,0.00011778843772379214,0.0003747287384583301,0.0003979292439643263,0.00017407667042431484,0.0003882139278550675,6.674859180765332e-05,0.00040028310528983965,0.0005328330309243215,0.0003927424349232183,0.0003744183444591224,0.0003743329941423113,0.0,0.0022938536398065916,0.0027564495989361648,0.0005242196175287354,0.0016901894185528065,0.0018183697694502537,0.0004497402400340674,0.001762848230277967,0.00014650909546411262,0.0018262424558963416,0.0021442236765375675,0.001789255899453313,0.0027589170063066783,0.0016910892987401231,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,7.0,0.0004790063816903415,0.0005840036586288493,0.00010603973566682513,0.0003542659497967949,0.00037386684083553015,0.00017075738656231656,0.00036549254890400767,6.464888866378291e-05,0.0003770847686860118,0.0005549514550725726,0.000370275460163538,0.0003862703103582171,0.0003535839505594053,0.0,0.0021725246366464867,0.0027251828391596958,0.00047398499160442714,0.0015926115542837659,0.00170909140095021,0.0004359745192077925,0.0016600274065005705,0.00010958657184111997,0.0017277782068312543,0.002144550564903883,0.0016824185098492125,0.002818183516556362,0.0015824918851912396,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,8.0,0.0004536529194633916,0.0005762079414331689,9.545157701178703e-05,0.00033089815766984885,0.000350227976102392,0.00013865638935983663,0.0003411219608430271,5.461233404447447e-05,0.00035902436049479357,0.0004921316538216933,0.0003504899312865059,0.0003109094347915238,0.0003241889198835327,0.0,0.0020512297468365365,0.0026956729169161815,0.00042718644224622713,0.001500509632458477,0.00159666785654032,0.00047397510435596204,0.001566342962612896,9.10688449376784e-05,0.0016230177954307892,0.0021270877160366225,0.00159366138326297,0.0027363170992653323,0.0014730854041921269,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,9.0,0.0004261591926096585,0.0005709604031313461,8.571405977894354e-05,0.000313755154930999,0.00032853144359074515,0.0001438754106146306,0.00032009075915395734,5.673170290545955e-05,0.0003378637074781557,0.0005432117901079738,0.0003297418918249742,0.00033560025724117966,0.0003077931240241161,0.0,0.0019231208090512257,0.002672483711122717,0.0003825694603740044,0.0014238377224724248,0.001500867635199109,0.0005896650020431423,0.0014614264170328777,0.0001519045575797183,0.0015296995077493055,0.0023196528917588527,0.0014982948888022944,0.0029163750462562034,0.0014036772948391033,0.0
