Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train D BCE Loss,train G BCE Loss,train D BCELogits Loss,train G BCELogits Loss,train D MSE Loss,train G MSE Loss,train D MAE Loss,train G MAE Loss,test D BCE Loss,test G BCE Loss,test D BCELogits Loss,test G BCELogits Loss,test D MSE Loss,test G MSE Loss,test D MAE Loss,test G MAE Loss
GenerativeAdversarialNetwork,0.0001,8.0,45.0,1.0,0.0,0.00039640213601351427,0.0003165034953795996,0.0007991367433912991,0.0005483113610840872,0.0001089702739387831,7.618709173645935e-05,0.0003073966969055628,0.00016814634967043073,0.0016504196250963512,0.0015491026939835938,0.0036874818352033508,0.0025992176067904105,0.00042489316291029346,0.000381816787727224,0.0013268632146547425,0.0008206771417233929
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,1.0,0.00019008475493870655,0.0002724827741676906,0.0007435383822397402,0.0005383571444174672,3.701949748147852e-05,6.126279056554213e-05,0.0001663668357297738,0.00014780106329211005,0.0008810349980240348,0.0013144287110874488,0.003471992675613307,0.002545874448692274,0.00017533102219209731,0.00029954670360253293,0.0007626437728509963,0.0007157335116428399
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,2.0,0.00014597134328274072,0.0002385830541826644,0.0007352595220036262,0.0005290676561005996,2.4198343590745385e-05,5.013068932085988e-05,0.00013113590183283763,0.0001273549530866011,0.0009292594666750925,0.0011359056774175392,0.0034934818369787442,0.002496290881678743,0.00021732502482222312,0.00023990037774889724,0.0007388834027374316,0.0006101100043680683
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,3.0,0.0001878064236229642,0.00021881399289616998,0.0007499780937667806,0.0005227360281982833,3.589064163981743e-05,4.415049887892371e-05,0.00016508289585216346,0.00011172783222159927,0.0009850606603442498,0.001043718472216864,0.0035101673887960568,0.002465419236968898,0.00022588396128618492,0.0002120384395872272,0.0008007419184318878,0.0005374242487193653
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,4.0,0.0002075681548234266,0.00020780030768515286,0.0007567587245828058,0.0005188916892696905,4.227833967967175e-05,4.0860593098032504e-05,0.0001803105169872068,0.00010220434345967686,0.0009503604481055301,0.0009963700793824107,0.0034949397141078734,0.002447613005368215,0.00019853362965883698,0.00019730709540019247,0.0008062146744638119,0.0004949607189346409
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,5.0,0.00021180130963055594,0.00020077322531903208,0.0007544077952917052,0.0005162453073054311,4.1284038612463405e-05,3.8755854285470236e-05,0.00018509784638078385,9.554151616327846e-05,0.0009668097368576242,0.0009652489573700623,0.0034803043371476466,0.002434871294213541,0.00019266275958445086,0.0001871844859055753,0.0008216104792348993,0.00046419492870006923
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,6.0,0.00021947060794521857,0.00019581577768222985,0.000754424182552533,0.0005142392736239575,4.343835089727232e-05,3.727232771260398e-05,0.00019104957500236698,9.046359404399389e-05,0.0009774980867433849,0.0009427535458930633,0.003490055507084109,0.0024250189088425547,0.00019571475637783793,0.00017966972019687388,0.0008376176064869143,0.00044015401376868194
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,7.0,0.00023161057593687524,0.00019214334433290836,0.0007564001327576342,0.0005126767402710619,4.8827977394157984e-05,3.615645013970506e-05,0.00019897108852381332,8.651601135570084e-05,0.0009812276880696135,0.0009254837560953584,0.0034985973400139957,0.002417220259612461,0.00019793130410542277,0.00017367886765947882,0.00084442434445867,0.00042092753281383394
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,8.0,0.00023938402172047493,0.00018935013974130636,0.0007583812240641714,0.0005114567729662049,5.206926110780464e-05,3.529047327382224e-05,0.00020439179759783885,8.34415925320268e-05,0.0010195672512054443,0.0009119510650634766,0.003515284391319227,0.0024109705814025686,0.00021760205521523577,0.00016876904047885032,0.0008675650043307611,0.00040551050091689486
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,9.0,0.0002325158917678977,0.00018716701921427025,0.0007572355617410089,0.0005105007289233555,4.904627840152648e-05,3.458671974685957e-05,0.0002001946505831901,8.10743010831329e-05,0.0010162484158509932,0.0009011535337136227,0.0035136896859175003,0.0024059615420095578,0.00022026844931848395,0.0001647019255086311,0.0008606340900157233,0.0003932460017924039
