Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train VAE BCE Loss,train VAE BCELogits Loss,train VAE MSE Loss,train VAE MAE Loss,test VAE BCE Loss,test VAE BCELogits Loss,test VAE MSE Loss,test VAE MAE Loss
VariationalAutoencoder,0.0001,8.0,40.0,1.0,0.0,0.0001364282997591155,0.00032119410378592356,2.3228676790105446e-05,5.0903174893132275e-05,0.0006326212237278621,0.0014976317683855693,0.00010630611795932054,0.00023749008153875668
VariationalAutoencoder,0.0001,8.0,40.0,True,1.0,0.00013611318011369023,0.0003208384449992861,2.2965262178331614e-05,4.9376464448869226e-05,0.0006211470812559128,0.001490616798400879,0.00010557035760333141,0.00021316050551831723
VariationalAutoencoder,0.0001,8.0,40.0,True,2.0,0.0001324523107281753,0.00032095440796443397,2.29768904059061e-05,4.81320678123406e-05,0.0006051838397979736,0.001493797575434049,0.00010330687897900741,0.00021752698036531609
VariationalAutoencoder,0.0001,8.0,40.0,True,3.0,0.00013294266536831856,0.00032205831791673386,2.3096397386065552e-05,5.220786136175905e-05,0.0005936017259955406,0.00149288276831309,0.00010144962773968776,0.0002117362494270007
VariationalAutoencoder,0.0001,8.0,40.0,True,4.0,0.00013424868562391827,0.00032138459916625705,2.3369148506649902e-05,4.936486283051116e-05,0.0005765389651060104,0.0014872280259927114,9.646224789321423e-05,0.00019393729356427988
VariationalAutoencoder,0.0001,8.0,40.0,True,5.0,0.0001315783044057233,0.00032060654567820686,2.2848251475287336e-05,4.7176135038690906e-05,0.0005712411676843961,0.0014858338981866837,9.40992341687282e-05,0.00019533135928213597
VariationalAutoencoder,0.0001,8.0,40.0,True,6.0,0.000133123408470835,0.00031929625464337214,2.2575462103954382e-05,4.1919457726180556e-05,0.0005489043891429901,0.0014793137709299723,8.87411879375577e-05,0.00017728743453820545
VariationalAutoencoder,0.0001,8.0,40.0,True,7.0,0.00012567547549094472,0.00031950729233878,2.138559440416949e-05,4.3642015329429085e-05,0.0005463263640801112,0.0014823652803897859,8.757426403462886e-05,0.00019010244868695737
VariationalAutoencoder,0.0001,8.0,40.0,True,8.0,0.0001241643913090229,0.0003182231315544673,2.0733148059142488e-05,4.030865217958178e-05,0.0005276057869195938,0.0014774565895398458,8.238307976474365e-05,0.00017950783173243206
VariationalAutoencoder,0.0001,8.0,40.0,True,9.0,0.00012187740898558071,0.00031843486108950204,1.9893005290733916e-05,4.293717710035188e-05,0.0005201715355118116,0.0014781622836987178,8.025599333147207e-05,0.0001865884599586328
