Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,BCE Loss,BCELogits Loss,MSE Loss,MAE Loss
VAE1,0.0001,8.0,45.0,True,946.0,0.0035471957434648,0.0022682868084817,3.8690818180827976e-05,0.0001123757716619
VAE2,0.0001,8.0,45.0,True,993.0,0.003925879046602,0.002258632542952,2.8910346727513667e-05,9.320855562417012e-05
VAE3,0.0001,8.0,45.0,True,969.0,0.0033738594385063,0.0022723200561115,4.408248764632633e-05,0.0001208583631043
VAE4,0.0001,8.0,45.0,True,996.0,0.0038787932515894,0.002258059926003,2.869106419150185e-05,9.186045155397752e-05
VAE5,0.0001,8.0,45.0,True,972.0,0.0035949484357294,0.0022714265487478,4.2241236558125455e-05,0.0001194898460833
VAE6,0.0001,8.0,45.0,True,960.0,0.0034885822602038,0.0022683889610962,4.004394202112402e-05,0.0001131396436091
