Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train D BCE Loss,train G BCE Loss,train D BCELogits Loss,train G BCELogits Loss,train D MSE Loss,train G MSE Loss,train D MAE Loss,train G MAE Loss,test D BCE Loss,test G BCE Loss,test D BCELogits Loss,test G BCELogits Loss,test D MSE Loss,test G MSE Loss,test D MAE Loss,test G MAE Loss
GenerativeAdversarialNetwork,0.0001,8.0,45.0,1.0,0.0,0.0004348095375893894,0.00030742406925422485,0.0007999280713639169,0.0005465903773783352,0.00012891749648071042,7.305159220958977e-05,0.00029587799889058114,0.00016509333871445565,0.001857502467977176,0.0015018682622309752,0.0037040571746586254,0.002590174007715669,0.0005662032643204215,0.00036500279539786044,0.0013375781804510632,0.0008049130252322311
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,1.0,0.0002380842870136477,0.0002578846166397362,0.0007415081291507196,0.0005346953949195677,6.416191992091361e-05,5.637344244034143e-05,0.00015264029571952203,0.00014011388157577205,0.0012563170876892858,0.0012345219370704028,0.003515803963883118,0.002525903143972721,0.00036900431948637814,0.00027266304073093824,0.0008651724776381967,0.0006741975557129339
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,2.0,0.00011930412881457902,0.00022825566584851864,0.0007213986305535,0.0005259742794653798,1.9732322995714102e-05,4.694703715348822e-05,0.00010665880661769055,0.00011988874836109397,0.0009745319122038547,0.001084818498893354,0.0034676419114166835,0.0024806971445023637,0.00023823524327398096,0.00022404879893896714,0.0006673239030927982,0.0005741659200416421
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,3.0,0.00011692630915307613,0.00021231393367453726,0.0007218572328675468,0.0005205696162509147,2.0029467613388587e-05,4.217014560159647e-05,0.00010345299851219609,0.00010654287076381981,0.000681249366241431,0.001014142947376899,0.0034069385168687353,0.0024552024760336245,0.00014485494942410187,0.0002026369314898485,0.000575432706179109,0.000513884443906868
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,4.0,0.00013264030659937794,0.0002031528925638636,0.0007256091122999988,0.0005171798631508716,2.643659289153117e-05,3.943172085156659e-05,0.00011377450269508876,9.813644694832135e-05,0.0006434009791170276,0.0009743441950600103,0.0033898623484485556,0.002439220371486256,0.00012399782221647179,0.00018993494505027556,0.0005618006740726016,0.0004756943609729503
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,5.0,0.00014974856673867875,0.00019720588331273946,0.0007292333478233564,0.000514827728914122,3.2649588874086855e-05,3.76372831569849e-05,0.0001260938971351099,9.221744264232502e-05,0.0006521990839040504,0.0009468971933208921,0.0033927679811633607,0.002427619395765868,0.00012335525649898458,0.0001808627854165791,0.0005714338061944494,0.0004474400724255064
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,6.0,0.0001675336348078643,0.00019289336275218953,0.000733369203269321,0.0005130368181958674,3.9046640304542296e-05,3.6317714542712805e-05,0.00013775267008179923,8.77014268440699e-05,0.0007036012017501975,0.0009268518513853445,0.003410276751848137,0.0024186483344192026,0.0001391754280658638,0.00017398247881880347,0.0006128141902527719,0.00042551282629276974
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,7.0,0.00018124774379550286,0.00018968533553845798,0.0007357253539915676,0.0005116398845400129,4.4228473924240974e-05,3.532267795659782e-05,0.0001458519331689151,8.41880262380019e-05,0.0007693728186049551,0.0009112603634408435,0.003428461416712347,0.0024114436698409744,0.00016321057934056289,0.00016841812516158483,0.0006610782547566876,0.00040780542031773983
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,8.0,0.00019047391221851031,0.00018725112442057732,0.0007369732760354837,0.0005105623016460243,4.6785835508066365e-05,3.453643585874064e-05,0.00015011388617705785,8.152238020517756e-05,0.0008312784275918637,0.0008992354075113932,0.0034464560214828395,0.0024057501142129957,0.00018376436482810373,0.00016392640910058653,0.0007072253703321301,0.00039393693771002427
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,9.0,0.00018667142506879615,0.00018539755652856955,0.0007357651975276977,0.0005096816872008084,4.504744535829179e-05,3.391717412481411e-05,0.00014842118857041846,7.934858294510134e-05,0.0008784433205922445,0.000890076441584893,0.003458525774613866,0.002401036099068024,0.00020077805848991347,0.00016035444144182984,0.000740260401236936,0.0003824145679578841
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,10.0,0.0001763282720290747,0.00018396800901047947,0.0007352929391629613,0.0005089522934345543,4.066865529734491e-05,3.341375285322776e-05,0.00014440036526908772,7.756747245145937e-05,0.0009191528243838616,0.0008830805806993689,0.00347663883892995,0.00239711287636427,0.0002151217850499183,0.00015746634570682573,0.0007691861323590549,0.00037283340246422486
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,11.0,0.00016677958986187238,0.0001828204790215608,0.0007355835720535237,0.0005083298586770852,3.668774331033712e-05,3.2986652336994595e-05,0.0001397319941347179,7.607042287398542e-05,0.000941654327530531,0.0008778897283961938,0.0034789244333902993,0.002393815689866648,0.0002240896131257591,0.00015515458049639215,0.0007832486580752726,0.00036481714004990437
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,12.0,0.00016593246286448763,0.0001818833124605472,0.0007344052155384156,0.000507784982254563,3.65138520810482e-05,3.261322963912532e-05,0.00013882014147354908,7.478419862024867e-05,0.0009636883653184903,0.0008740100845600824,0.0034799039738733066,0.002390970973848547,0.00023283073737186455,0.00015325081657688574,0.0007966577819308395,0.0003580333864164052
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,13.0,0.00016149737924899696,0.00018109833053501468,0.0007328317975098232,0.0005072965776181285,3.510179635729751e-05,3.228064706785017e-05,0.00013573182561005544,7.366599399606493e-05,0.0009240757369395322,0.0008719160496813696,0.003471346771192251,0.002388528495464685,0.00021483507827392914,0.00015165148384915957,0.0007766386810338722,0.0003522818427790636
