Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train ANN BCE Loss,train ANN BCELogits Loss,train ANN MSE Loss,train ANN MAE Loss,test ANN BCE Loss,test ANN BCELogits Loss,test ANN MSE Loss,test ANN MAE Loss
NeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.0002680117229245744,0.0005365479185253462,6.133537849968656e-05,0.00013825940997452748,0.0013021123859117615,0.0025394290873089675,0.0003031597431725676,0.0006730615061783941
NeuralNetwork,0.0001,8.0,45.0,True,1.0,0.00021823839035959577,0.000521818462086495,4.5310053221299e-05,0.0001047509760066184,0.0010444307289783309,0.0024628442413402053,0.00021796532959308265,0.0005072269518420382
NeuralNetwork,0.0001,8.0,45.0,True,2.0,0.0002015436274022105,0.0005159059142809351,4.0009637887908445e-05,9.108904116558579e-05,0.0009697578238241327,0.0024344066403946788,0.00019309631074374578,0.00044623823285852587
NeuralNetwork,0.0001,8.0,45.0,True,3.0,0.00019363970608724096,0.0005130380633063715,3.743864535642763e-05,8.445461042165113e-05,0.0009340403027504495,0.002420447345049876,0.00018066220547793046,0.00041551770841550525
NeuralNetwork,0.0001,8.0,45.0,True,4.0,0.00018864313788169798,0.0005112777983724589,3.584031256623666e-05,8.035814665719827e-05,0.0009088636194385073,0.002411462226003971,0.00017211310940343629,0.00039503259478874925
NeuralNetwork,0.0001,8.0,45.0,True,5.0,0.00018509374956557692,0.0005100828136073933,3.474287066176895e-05,7.757407957010192e-05,0.0008896722358727605,0.002405124452878844,0.0001657102608455802,0.00038018761753286207
NeuralNetwork,0.0001,8.0,45.0,True,6.0,0.00018238959045744328,0.0005092026008107271,3.391290409867012e-05,7.552192659390905e-05,0.0008751562556380746,0.0024004874739257044,0.00016097706865589575,0.00036920670349642915
NeuralNetwork,0.0001,8.0,45.0,True,7.0,0.00018025286033789746,0.0005085254213559339,3.325519706762705e-05,7.39336726720121e-05,0.0008639216235598678,0.0023969316257620756,0.0001573720302596782,0.0003606465955575307
NeuralNetwork,0.0001,8.0,45.0,True,8.0,0.00017850689409235418,0.0005080013101634311,3.2720025478186955e-05,7.267419821168535e-05,0.0008546590992489701,0.002394124396941947,0.0001544760504983506,0.00035392886625145966
NeuralNetwork,0.0001,8.0,45.0,True,9.0,0.00017699707711160665,0.0005075560425812344,3.226237205883885e-05,7.158636825907263e-05,0.0008469986840613983,0.0023918080629792603,0.0001521482009370372,0.0003484090169270833
NeuralNetwork,0.0001,8.0,45.0,True,10.0,0.000175620386542657,0.0005071533899101607,3.184532028725848e-05,7.061076895245965e-05,0.0008402760111310947,0.002389793688396238,0.00015013075708968085,0.0003436379040937004
NeuralNetwork,0.0001,8.0,45.0,True,11.0,0.00017435236198882852,0.0005067994170433106,3.146261950789115e-05,6.973542614445853e-05,0.0008342318564840833,0.0023880707767774474,0.00014833646750300186,0.00033950405019634173
NeuralNetwork,0.0001,8.0,45.0,True,12.0,0.00017316209659422183,0.0005064732784209547,3.1104108012429464e-05,6.892286100477543e-05,0.0008286800961824333,0.0023865233052451657,0.00014669785522065072,0.000335745818022662
NeuralNetwork,0.0001,8.0,45.0,True,13.0,0.00017203420721938347,0.0005061720018438252,3.076209925175356e-05,6.817796862510979e-05,0.0008234427597537731,0.0023851135991654307,0.00014514207793106822,0.00033231063177750547
NeuralNetwork,0.0001,8.0,45.0,True,14.0,0.00017097311199836012,0.0005058873133517983,3.043954785300715e-05,6.746911416156594e-05,0.0008185038214209695,0.0023837576872147853,0.00014364988830104563,0.00032896438390953736
NeuralNetwork,0.0001,8.0,45.0,True,15.0,0.00016995862809152936,0.0005056206187147978,3.0127102935892552e-05,6.68126497307235e-05,0.0008137769669106921,0.002382487433511506,0.00014220769722131813,0.0003258621074118704
NeuralNetwork,0.0001,8.0,45.0,True,16.0,0.00016897499079331554,0.0005053624390270511,2.9821167235586522e-05,6.618258867141692e-05,0.0008091971559344598,0.0023812535423902597,0.000140789861105523,0.0003228595702903076
NeuralNetwork,0.0001,8.0,45.0,True,17.0,0.00016801351445383137,0.0005051108865403743,2.951946139656951e-05,6.556969306700313e-05,0.0008048877213736001,0.0023800818800176465,0.000139443039800386,0.0003199927133959044
NeuralNetwork,0.0001,8.0,45.0,True,18.0,0.00016709886029402844,0.0005048717449938834,2.923079407359712e-05,6.499546115610477e-05,0.0008007482912555431,0.0023789538902306705,0.00013813929362866865,0.0003172663632053999
NeuralNetwork,0.0001,8.0,45.0,True,19.0,0.0001662244111540504,0.0005046416003749056,2.8953543610649932e-05,6.443639147795757e-05,0.0007966587191107888,0.0023778630127696872,0.00013685500565564857,0.00031462400776785125
NeuralNetwork,0.0001,8.0,45.0,True,20.0,0.0001653459354873616,0.0005044131025149816,2.8670938670474565e-05,6.388851775313324e-05,0.0007927398074348017,0.0023767965019873853,0.0001356134296588178,0.0003120563455722617
NeuralNetwork,0.0001,8.0,45.0,True,21.0,0.00016451336824990347,0.0005041903080644633,2.8403995513434036e-05,6.335515860277366e-05,0.0007889940866134452,0.002375762979939299,0.00013442571807957296,0.0003095648526770514
NeuralNetwork,0.0001,8.0,45.0,True,22.0,0.00016369764012789148,0.0005039795229055811,2.8138608744523597e-05,6.285865572745588e-05,0.0007853515024455088,0.0023747898122799473,0.00013326397809967306,0.00030725568814097713
NeuralNetwork,0.0001,8.0,45.0,True,23.0,0.00016290462523136498,0.0005037705451651725,2.7879334564478893e-05,6.236788638518505e-05,0.0007818297676320346,0.0023738295777038956,0.00013213807353808446,0.00030500408988328847
NeuralNetwork,0.0001,8.0,45.0,True,24.0,0.0001621388621889356,0.0005035631740189627,2.762722479043945e-05,6.188653570140469e-05,0.0007784024068394547,0.0023728841505710435,0.00013104784038831603,0.00030280600460070483
NeuralNetwork,0.0001,8.0,45.0,True,25.0,0.00016139988910477117,0.000503366245735045,2.7381109621004274e-05,6.142984623857586e-05,0.0007750370873595184,0.002371983895511747,0.0001299860272205101,0.000300699013209193
NeuralNetwork,0.0001,8.0,45.0,True,26.0,0.00016066931047529543,0.0005031786758623355,2.7137828584147913e-05,6.099825981010324e-05,0.0007717267334836084,0.0023711434325332163,0.0001289426179239585,0.0002987594255861246
NeuralNetwork,0.0001,8.0,45.0,True,27.0,0.000159958101347129,0.0005029919092867253,2.6899540540825002e-05,6.057237177042948e-05,0.0007686116879091323,0.002370317964433874,0.00012795828610846083,0.0002968458447066493
NeuralNetwork,0.0001,8.0,45.0,True,28.0,0.00015927110158529565,0.0005028056648542297,2.666727471544415e-05,6.015271430388294e-05,0.0007655328174806991,0.0023694902471026536,0.0001269895466243696,0.00029496565086286773
NeuralNetwork,0.0001,8.0,45.0,True,29.0,0.0001585838206694775,0.0005026236377315058,2.643398970686843e-05,5.9748816522305225e-05,0.0007625389492736673,0.002368697392865547,0.00012605151149836725,0.00029318257229133223
NeuralNetwork,0.0001,8.0,45.0,True,30.0,0.00015793270820555982,0.0005024499247337609,2.621170735825104e-05,5.935802754526832e-05,0.0007596537939407541,0.0023679322791549393,0.00012514114661036797,0.00029144190111250246
NeuralNetwork,0.0001,8.0,45.0,True,31.0,0.00015729095415285013,0.0005022803487160777,2.5993895860052496e-05,5.8978605222187915e-05,0.0007567970351603046,0.0023671937813548923,0.0001242489512986357,0.00028977831298450255
NeuralNetwork,0.0001,8.0,45.0,True,32.0,0.0001566766126136574,0.0005021155523161361,2.578256094471785e-05,5.861909462595886e-05,0.0007540575175915124,0.0023664800251055064,0.00012338669888628355,0.0002882216805182163
NeuralNetwork,0.0001,8.0,45.0,True,33.0,0.00015607239261791712,0.0005019538486100272,2.557531782398327e-05,5.8269670428934124e-05,0.0007513753085766199,0.0023657838878391674,0.0001225448301378286,0.0002866934914633913
NeuralNetwork,0.0001,8.0,45.0,True,34.0,0.00015548989176750183,0.0005017958802354304,2.5374681821891238e-05,5.7925196550284436e-05,0.0007487894416605152,0.0023651151162273477,0.00012173338459347779,0.0002852254459318125
NeuralNetwork,0.0001,8.0,45.0,True,35.0,0.00015491714093563048,0.0005016379118608336,2.517908650909794e-05,5.758017542548578e-05,0.0007462273791151227,0.00236443078742837,0.00012092874531850875,0.000283713235795123
NeuralNetwork,0.0001,8.0,45.0,True,36.0,0.00015436442232517542,0.0005014831165097794,2.4988597153492692e-05,5.725143612877057e-05,0.0007437633455924268,0.0023637713876160436,0.0001201528657532338,0.0002823017725029831
NeuralNetwork,0.0001,8.0,45.0,True,37.0,0.00015381657370338542,0.0005013342253924059,2.4797020836499823e-05,5.694378840152144e-05,0.0007413761608255734,0.0023631537860294557,0.00011939861161528893,0.00028101139286029265
NeuralNetwork,0.0001,8.0,45.0,True,38.0,0.00015328950035282864,0.0005011859769127119,2.4614587044619484e-05,5.6633750865401605e-05,0.0007390468000615918,0.0023625245634114967,0.00011865928206803664,0.00027967317018119046
NeuralNetwork,0.0001,8.0,45.0,True,39.0,0.00015277323134825878,0.0005010402588188808,2.443477651982937e-05,5.633974412702164e-05,0.0007367529584176886,0.002361914646700493,0.00011793452566899593,0.0002784202308774744
NeuralNetwork,0.0001,8.0,45.0,True,40.0,0.00015226604964212588,0.0005008944202304851,2.4259017624784352e-05,5.603806590134243e-05,0.0007345760768314578,0.0023613126023010636,0.00011724787734964359,0.0002771515703801089
NeuralNetwork,0.0001,8.0,45.0,True,41.0,0.00015177580746357654,0.0005007529194464259,2.408731286978786e-05,5.5756078495812226e-05,0.0007324264203227541,0.0023607448586877786,0.00011656372427190625,0.00027599459830320104
NeuralNetwork,0.0001,8.0,45.0,True,42.0,0.00015128946127595928,0.0005006117399812066,2.391764648118109e-05,5.5476375466408434e-05,0.0007303870698940829,0.0023601879863619055,0.00011591938962726474,0.0002748545188948793
NeuralNetwork,0.0001,8.0,45.0,True,43.0,0.00015081653014990197,0.0005004743761772094,2.3751963944126655e-05,5.520878214077808e-05,0.0007283739136449946,0.0023596311140360324,0.00011527935429564063,0.00027373419055398907
NeuralNetwork,0.0001,8.0,45.0,True,44.0,0.00015034000426932486,0.0005003361689112578,2.35841802830966e-05,5.494078716659803e-05,0.0007263506827114513,0.0023590774281219864,0.00011463541795247756,0.0002726193681453009
NeuralNetwork,0.0001,8.0,45.0,True,45.0,0.00014989141304537934,0.0005002004117014594,2.3427974141511635e-05,5.467451426057482e-05,0.0007244210291958456,0.002358517181948296,0.00011402448205827916,0.0002714759148891617
NeuralNetwork,0.0001,8.0,45.0,True,46.0,0.00014945600593507772,0.0005000759809807625,2.3274029783322162e-05,5.4442376460669175e-05,0.0007224868772164831,0.0023580139163155225,0.00011340706790768125,0.0002704941017447777
NeuralNetwork,0.0001,8.0,45.0,True,47.0,0.00014902425382657834,0.0004999478149285535,2.3123022480152368e-05,5.4196688042818054e-05,0.0007206075034051571,0.0023574889081079257,0.00011280454320352783,0.0002694343620876096
