Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train ANN BCE Loss,train ANN BCELogits Loss,train ANN MSE Loss,train ANN MAE Loss,test ANN BCE Loss,test ANN BCELogits Loss,test ANN MSE Loss,test ANN MAE Loss
NeuralNetwork,0.0001,10.0,40.0,1.0,0.0,0.0001315569904233728,0.000321224145591259,2.2865948267281055e-05,4.8375665210187434e-05,0.0005956050629417101,0.001491763691107432,0.0001025809207931161,0.00020403748688598475
NeuralNetwork,0.0001,10.0,40.0,True,1.0,0.0001284368336200714,0.000319978514952319,2.207864641344973e-05,4.468911793082952e-05,0.0005631092935800552,0.0014861592402060826,9.408410793791215e-05,0.00019313213415443896
NeuralNetwork,0.0001,10.0,40.0,True,2.0,0.00011264628597668239,0.00031763895281723567,1.8368483454521212e-05,3.977436572313309e-05,0.0005040046758949757,0.0014743121961752574,7.632249034941196e-05,0.0001754648517817259
NeuralNetwork,0.0001,10.0,40.0,True,3.0,0.00010645845904946327,0.00031628161668777465,1.659342586728079e-05,3.7112718980227195e-05,0.00048302110905448596,0.0014684728036324184,7.184563825527827e-05,0.00016162958927452565
NeuralNetwork,0.0001,10.0,40.0,True,4.0,0.00010396863466926983,0.0003155488254768508,1.5719017080430474e-05,3.589496149548462e-05,0.00047073448076844214,0.001464572548866272,6.856782517085472e-05,0.0001528144037971894
NeuralNetwork,0.0001,10.0,40.0,True,5.0,0.00010214139308248247,0.00031492473291499276,1.5099183656275272e-05,3.467897684978587e-05,0.000461493618786335,0.0014615478614966074,6.583254629125198e-05,0.00014594740544756254
NeuralNetwork,0.0001,10.0,40.0,True,6.0,0.00010042573059243815,0.00031437881823096956,1.4515758292483432e-05,3.360385806964976e-05,0.000453637291987737,0.0014590680599212646,6.328277910749118e-05,0.00014021967848141988
NeuralNetwork,0.0001,10.0,40.0,True,7.0,9.87074337899685e-05,0.00031383146664925985,1.3950384787416884e-05,3.249210505081075e-05,0.0004462206115325292,0.0014568433165550233,6.081557755048076e-05,0.00013524753352006275
NeuralNetwork,0.0001,10.0,40.0,True,8.0,9.703759237059526e-05,0.0003133299627474376,1.346362239149e-05,3.143481777182647e-05,0.0004394102841615677,0.0014547885706027348,5.844834571083387e-05,0.00013080846207837263
NeuralNetwork,0.0001,10.0,40.0,True,9.0,9.559523979468005e-05,0.0003129449007766587,1.306985504925251e-05,3.06408286892942e-05,0.00043296789129575094,0.0014532506465911865,5.635921067247788e-05,0.00012769694440066813
NeuralNetwork,0.0001,10.0,40.0,True,10.0,9.436776994594505e-05,0.00031265382255826676,1.2747507675417832e-05,3.000054441924606e-05,0.0004257047859330972,0.001451985165476799,5.442219165464242e-05,0.0001249372415865461
