Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,BCE Loss,BCELogits Loss,MSE Loss,MAE Loss,S S I M Loss,N White M A E Loss,N Black M A E Loss,S White M A E Loss,S Black M A E Loss,T White M A E Loss,T Black M A E Loss,X White M A E Loss,X Black M A E Loss,  White M A E Loss,  Black M A E Loss
VAE1,0.0001,8.0,45.0,True,493.0,0.0030299110232659,0.0022832635063795,5.405437224691019e-05,0.0001443219400426,,,,,,,,,,,
VAE2,0.0001,8.0,45.0,True,491.0,0.003448909933462,0.0022691570737826,3.790466478035885e-05,0.0001143419049071,,,,,,,,,,,
VAE3,0.0001,8.0,45.0,True,497.0,0.0029941562961482,0.0022846516573204,5.585992556510481e-05,0.0001473814694199,,,,,,,,,,,
VAE4,0.0001,8.0,45.0,True,496.0,0.0034846498531365,0.0022693424479766,3.922184776959929e-05,0.0001153379749014,0.0058128216799905,4.2230748928755337e-05,0.0001720280251787,5.40990874452411e-05,4.1010654853574885e-05,9.292444366516557e-05,0.0017458179836753,9.240593128609207e-05,0.0021129124944315,1.8619989343690423e-05,0.0
VAE5,0.0001,8.0,45.0,True,485.0,0.0029898664486483,0.0022868472825056,5.760139920426615e-05,0.0001504939494642,,,,,,,,,,,
VAE6,0.0001,8.0,45.0,True,496.0,0.0029110874769822,0.0022825829263003,5.267984555952204e-05,0.0001410277759504,,,,,,,,,,,
