Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train N BCE Loss,train N BCELogits Loss,train N MSE Loss,train N MAE Loss,train N SSIM Loss,train N N White MAE Loss,train N N Black MAE Loss,train N S White MAE Loss,train N S Black MAE Loss,train N T White MAE Loss,train N T Black MAE Loss,train N X White MAE Loss,train N X Black MAE Loss,train N _ White MAE Loss,train N _ Black MAE Loss,test N BCE Loss,test N BCELogits Loss,test N MSE Loss,test N MAE Loss,test N SSIM Loss,test N N White MAE Loss,test N N Black MAE Loss,test N S White MAE Loss,test N S Black MAE Loss,test N T White MAE Loss,test N T Black MAE Loss,test N X White MAE Loss,test N X Black MAE Loss,test N _ White MAE Loss,test N _ Black MAE Loss
NeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.00032913431806384395,0.0005491269084642518,7.991975228580825e-05,0.00016725294271890688,0.0009117602370549748,9.313407492123524e-05,0.0011120219275636493,8.407610686962816e-05,0.0010646419383766195,9.515828319958278e-05,0.0010919831191111768,9.149706588601166e-05,0.001044515008232343,9.365982283157801e-05,0.0,0.0016158834193487587,0.0026040266519822414,0.0004031058846029845,0.0008149104860593688,0.004118886936360253,0.0004143199455813042,0.00500144861029379,0.0003847597670630089,0.004933923295458908,0.00043868250067129075,0.004953324419897307,0.0004493529504200198,0.005212664604187012,0.0004373747597700395,0.0
NeuralNetwork,0.0001,8.0,45.0,True,1.0,0.0002941489420489802,0.000541864660872282,6.978018987532254e-05,0.00014985103732492082,0.0009725470964288145,8.342889541724942e-05,0.001069630333034176,8.218018513805462e-05,0.0009518770998057651,8.88524612165847e-05,0.0010908492652553755,8.248627647717366e-05,0.001024333775204147,5.79431853847041e-05,0.0,0.0014462234838953558,0.00256947620109942,0.00035238828299180515,0.000735454261302948,0.004389742307299162,0.0003685837131251329,0.004917350205235511,0.0003714635968208313,0.004359607051753398,0.0003843781708171533,0.005015414091026258,0.00040385145811164903,0.005178760432597226,0.000272625576962465,0.0
NeuralNetwork,0.0001,8.0,45.0,True,2.0,0.00022754886481318512,0.0005258382812664515,5.009038388889755e-05,0.00010860311695828914,0.001034687918282047,6.941631637172236e-05,0.0008664962577048659,7.130008321406064e-05,0.0006966820624318084,6.012046192534208e-05,0.001064432759811936,5.5638089213731154e-05,0.0009386144237055611,7.759558784993833e-06,0.0,0.0011129889098353356,0.0024902426971579496,0.00025011753698564926,0.0005392674473846484,0.004662526937436343,0.00031696913658447984,0.00395252007358479,0.0003205411042432365,0.003246752346086802,0.00026412713546423045,0.00473772017460949,0.00022334429734158066,0.005093999628750783,3.4476750465871406e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,3.0,0.000213705244250696,0.0005217205000052234,4.586230491531506e-05,9.893106843904664e-05,0.0010621356287623845,6.747869850008314e-05,0.000785752769429086,6.068794111999861e-05,0.0006606184809677042,5.075829028279955e-05,0.0010396141729586209,5.055314828604058e-05,0.0008946629065387653,5.21254561329386e-06,0.0,0.0010462684451409106,0.002469552575417285,0.0002265020080332486,0.0004956320209323236,0.004781617637446776,0.0003138621507575677,0.0034316736947065628,0.00027950595384873685,0.0030904839623649167,0.00025465808012200604,0.004531482855478923,0.00018819860832871131,0.005007249379307969,2.303927310935731e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,4.0,0.0002074321365420709,0.0005200152207577646,4.387864807866654e-05,9.479546402342558e-05,0.0010741146181624179,6.31884593928278e-05,0.0007568017813073336,5.318772680354568e-05,0.0006480565209273058,4.7777671457300934e-05,0.0010251917768360147,4.953493406830451e-05,0.0008738329307730949,4.578308350434201e-06,0.0,0.0010192680096476332,0.002461994968870151,0.000217884380674962,0.00047857351835418796,0.0048324682856559515,0.0002925001412817517,0.0032965477157688742,0.00024947392865546844,0.0030291878952170316,0.0002487858277071947,0.004455410459506436,0.0001891903907248059,0.0049464069072555445,2.0367326214909554e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,5.0,0.0002029687567862539,0.0005187309495201008,4.230300592123016e-05,9.197169397719145e-05,0.001080954966620864,6.012089871813987e-05,0.0007320496271241386,4.802740648429028e-05,0.0006342494102179844,4.654231599238362e-05,0.0010120218012210816,4.921280189023185e-05,0.0008572145613698625,4.386233110633501e-06,0.0,0.0009987805999300014,0.0024561070421206875,0.00021090072655827744,0.00046619918173963917,0.004864582453520699,0.0002782249225760406,0.003197881410706718,0.00022785953661930635,0.002960930830277737,0.00024407851339886024,0.004395620627973064,0.00019259591522456716,0.004891945131169925,1.9452745481482093e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,6.0,0.00019922482999508594,0.0005176108722095541,4.089400523676062e-05,8.961981077078539e-05,0.0010863160333511007,5.801787695312757e-05,0.0007089357170454576,4.4387105018944753e-05,0.0006178450391620317,4.5868153922320055e-05,0.0010002859519177049,4.895003336780476e-05,0.0008418527092895096,4.256776762458513e-06,0.0,0.000980852722371899,0.0024507428115268922,0.00020437446311584808,0.00045513605359215407,0.004891021452859806,0.00026898901417570295,0.0031072847873159924,0.00021146804844058534,0.0028830597985465573,0.00024050368734125822,0.004340980412825098,0.00019425249793244607,0.00484185961057555,1.8652393804781093e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,7.0,0.0001958631119638119,0.0005165836962085529,3.959592984050432e-05,8.751897799036894e-05,0.001090759382159388,5.64966682153892e-05,0.000687348312444764,4.153064078076509e-05,0.0005996554206323752,4.5495489336088337e-05,0.000989778183219889,4.870704603645037e-05,0.0008261619873766629,4.1966261266858755e-06,0.0,0.0009640960385964352,0.0024456113764325027,0.00019809158530625158,0.0004446307349504915,0.004914382980051959,0.0002630025898135683,0.0030157558573117044,0.00019815447008084952,0.002797907440917297,0.00023786765786836732,0.004290750566518532,0.00019442731713723837,0.0047946718503844065,1.8128838226105432e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,8.0,0.00019254390843152357,0.0005155638703760111,3.8357539418733346e-05,8.536686473136964e-05,0.0010957480184725361,5.513990443511151e-05,0.000665173577169845,3.9095862334307955e-05,0.0005807616720302407,4.5019420330736516e-05,0.000978761927458154,4.82514109010645e-05,0.0008106939394197695,4.023726781041957e-06,0.0,0.0009477011062814005,0.0024404462028599387,0.0001919914458720189,0.0004336080461178186,0.004941389715560216,0.00025798471749953505,0.002923564341083263,0.00018593395984022872,0.0027084253119222775,0.00023426862913857467,0.004241606349465232,0.0001928384339659469,0.004749674092298784,1.725049560549874e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,9.0,0.0001895486545369953,0.0005145943309418918,3.720525240480418e-05,8.337888515220498e-05,0.0010997565377684523,5.401772349028574e-05,0.0006427360834137128,3.6977590475924255e-05,0.000561604883792908,4.4718791411893384e-05,0.0009678132289824781,4.797731588953589e-05,0.0007949816891446589,3.92290577794503e-06,0.0,0.0009322788730357428,0.002435484209900382,0.00018618682270529885,0.00042328744564416274,0.004962778606642136,0.00025376312012942334,0.0028331034213491956,0.0001754501260489038,0.002617776206454391,0.00023171917166350022,0.004189332326253255,0.00019162103721180802,0.004705283251948327,1.6783678951034756e-05,0.0
