Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train ResNet BCE Loss,train ResNet BCELogits Loss,train ResNet MSE Loss,train ResNet MAE Loss,test ResNet BCE Loss,test ResNet BCELogits Loss,test ResNet MSE Loss,test ResNet MAE Loss,train ANN BCE Loss,train ANN BCELogits Loss,train ANN MSE Loss,train ANN MAE Loss
ResidualNeuralNetwork,0.0001,8.0,45.0,1.0,0.0,,,,,0.005428724318930188,0.0025886235372075497,0.00040093837481624677,0.0008223544126786526,0.001099157847484167,0.0005458112595216284,7.946116503358209e-05,0.0001685154245227495
ResidualNeuralNetwork,0.0001,8.0,45.0,True,1.0,,,,,0.005602747014483566,0.00259414071556907,0.00040066912301681324,0.0008358710779334015,0.0011491581918094357,0.0005479556611284734,8.105038291199831e-05,0.00017318468932514243
ResidualNeuralNetwork,0.0001,8.0,45.0,True,2.0,,,,,0.006951969374650679,0.002599051163631415,0.0004109803985499736,0.0008559373189818185,0.0013879600239571214,0.0005483745404009549,8.242189221465684e-05,0.00017555527931275073
ResidualNeuralNetwork,0.0001,8.0,45.0,True,3.0,,,,,0.0074851992745069585,0.002607484096251194,0.0004266685097472473,0.000870238685008115,0.0014967846099257149,0.000550970555637082,8.619901023785059e-05,0.0001829401702893712
ResidualNeuralNetwork,0.0001,8.0,45.0,True,4.0,,,,,0.007581204738257066,0.002597370237674353,0.00041687347978915806,0.0008387413789641183,0.001515074720922506,0.0005481521074341314,8.268778355455784e-05,0.0001752534605100791
ResidualNeuralNetwork,0.0001,8.0,45.0,True,5.0,,,,,0.008673580937415548,0.0026098454148514466,0.00044039290093775816,0.0008730905235938306,0.0017711435045514787,0.0005500583314510047,8.709489736916884e-05,0.00017953794600186
ResidualNeuralNetwork,0.0001,8.0,45.0,True,6.0,,,,,0.008641763303264882,0.0026137894429500747,0.00044591134449221054,0.000884645015188733,0.0017499073817723524,0.0005501694676047066,8.738499807540297e-05,0.0001793973690094652
ResidualNeuralNetwork,0.0001,8.0,45.0,True,7.0,,,,,0.008807677143024948,0.0026050114406729642,0.000435351809990481,0.0008660169704905096,0.0017735797439945354,0.0005482935680533355,8.535602022052775e-05,0.0001756054251341807
ResidualNeuralNetwork,0.0001,8.0,45.0,True,8.0,,,,,0.009201291971986398,0.0026148462070609037,0.00045074803649254564,0.0008948677740756821,0.001845215048108782,0.0005489468494194215,8.607458955836746e-05,0.0001770925690542977
ResidualNeuralNetwork,0.0001,8.0,45.0,True,9.0,,,,,0.009215887237644795,0.0026062940651515746,0.00043680551666883555,0.0008766063541736243,0.0018625802428253256,0.0005472378348404507,8.424496996113554e-05,0.00017180542820547469
ResidualNeuralNetwork,0.0001,8.0,45.0,True,10.0,,,,,0.009419100839386947,0.002615030456638936,0.00044923242907853994,0.0008880191441601927,0.0019122713980970357,0.0005509150478075135,8.90488673573877e-05,0.00018100697557238557
ResidualNeuralNetwork,0.0001,8.0,45.0,True,11.0,,,,,0.009477408427112508,0.0026181098425163414,0.00045441653368608005,0.0008991197595056498,0.0019318938576628898,0.0005514681178604496,9.103033018883348e-05,0.00018200507221838855
