Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train D BCE Loss,train G BCE Loss,train D BCELogits Loss,train G BCELogits Loss,train D MSE Loss,train G MSE Loss,train D MAE Loss,train G MAE Loss,test D BCE Loss,test G BCE Loss,test D BCELogits Loss,test G BCELogits Loss,test D MSE Loss,test G MSE Loss,test D MAE Loss,test G MAE Loss
GenerativeAdversarialNetwork,0.0001,8.0,45.0,1.0,0.0,0.00066091132292529,0.00022371665567079324,0.0008854719024462841,0.0005234500789899389,0.00021149973181701414,4.575239378968982e-05,0.0004845049905005812,0.00011443789556341351,0.0034502545992533364,0.0010613725995117763,0.004233543602925427,0.0024695874385113987,0.0011532512850731423,0.00021795759785850092,0.0024134441741607473,0.0005475432617859271
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,1.0,0.0007469486194158179,0.00019401327940331636,0.0009126944361992602,0.0005118470950268028,0.00025146516828202816,3.6492886026753894e-05,0.0005395274277967263,8.506002532182678e-05,0.0036313694977910265,0.0009403693601020477,0.004320950628076709,0.0024124365182792615,0.001243795707540692,0.000176221472006174,0.0025908124146971313,0.00041290541302483035
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,2.0,0.0006937312308668769,0.00018919365746634348,0.0009018098408321164,0.0005086599736200832,0.00022867038805851074,3.379492485780279e-05,0.0005137115475945074,7.746714064374446e-05,0.0033228682272089353,0.0009345977373842923,0.004235786087108108,0.0023969792345035,0.0010966160949671044,0.00016331466488868186,0.0024457118421230676,0.0003765674553952127
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,3.0,0.000643065676213596,0.00019130944161402247,0.0008924646840262606,0.0005067489699854684,0.00021063855716160366,3.2319471420785485e-05,0.000476118287628873,7.315184870820161e-05,0.0029754111976743494,0.0009628799538942253,0.0041353961206832025,0.0023880587808740965,0.0009613425101874009,0.0001556546245730898,0.002214366722406831,0.0003558104658651652
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,4.0,0.0005656917381158094,0.00019585923605530732,0.0008653760598997543,0.0005053544462209121,0.0001781713368115078,3.124175548071489e-05,0.0004305647952216012,7.024275846879758e-05,0.0025865055105221348,0.0009992891137704909,0.0040028511353258816,0.002381909193482789,0.0008107524060603208,0.00015093359229324747,0.001965670278237301,0.0003418836438056058
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,5.0,0.0005045599853896066,0.00020224940423374229,0.0008447294768618766,0.000504269553323319,0.00015238038894301156,3.0300728073017295e-05,0.0003920417590282677,6.796790141301013e-05,0.002346477043703667,0.0010405481798843768,0.003936666737562456,0.002377163126783551,0.0007258521498374219,0.00014716521514661658,0.0017918700692038866,0.0003308292548611479
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,6.0,0.00047756578883713466,0.0002085267091697117,0.0008405716110753885,0.0005034058081171904,0.00014391050465666059,2.947985884956915e-05,0.00036939103005709993,6.615092872448688e-05,0.002212328356017107,0.0010824311266905107,0.003903571164832925,0.00237330288257239,0.0006793110906702917,0.00014390269259236893,0.0016867271009481178,0.0003218038370774227
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,7.0,0.00047454932789918225,0.00021552911023245346,0.0008403846838403584,0.0005026900302367712,0.00014683264847392983,2.8743905660437767e-05,0.000360115438780052,6.456108327021175e-05,0.002136826327761764,0.0011257372749676495,0.0038762996031803153,0.0023700583655879184,0.00064972441338893,0.00014067845383905015,0.001626468117132127,0.00031421478814299
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,8.0,0.00045807093301552,0.00022324013983142987,0.000834170859457669,0.0005020587993760636,0.00013891779227719474,2.8007287240895943e-05,0.00035233281532709166,6.324865144860712e-05,0.002096830111629558,0.0011693995516255217,0.0038582442691491086,0.0023673116785925138,0.0006333138770277395,0.00013744224261187906,0.0015891554220667425,0.000308438315518997
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,9.0,0.00045820934110574646,0.00023138063214217235,0.0008327401873236397,0.0005014801041456567,0.00013954034752922882,2.7256666348790224e-05,0.00035159261721485064,6.217626990333721e-05,0.0020799059537971545,0.001209756207166228,0.0038445663152250854,0.002364897128171141,0.0006251312651724185,0.00013411186822930222,0.001561713012509376,0.0003038836443949046
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,10.0,0.0004766868613158275,0.000239945124744405,0.0008374091107247653,0.0005008998826507609,0.00014803596744640175,2.6530621327319234e-05,0.00036193896336054223,6.105021305000686e-05,0.0021370210737552283,0.0012564111805561952,0.0038601497434220225,0.002362526812643375,0.0006515451197354299,0.00013092666302087173,0.0015801703030208373,0.00029911110236209896
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,11.0,0.000489207170401622,0.0002483075077964289,0.0008382863914870187,0.0005003511905670166,0.00015199658363013256,2.5884376341763212e-05,0.00037067172662267147,5.98649883446989e-05,0.0021582318926757237,0.0013092405766061267,0.0038516289033229995,0.002360166993531041,0.0006552617879783582,0.00012783129822533087,0.0015765503517486763,0.0002942282776787596
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,12.0,0.0005056296959720211,0.0002562034563876869,0.0008411806709361526,0.000499809447003182,0.00015792788842296343,2.5270351100803386e-05,0.0003806688795192544,5.872968855411859e-05,0.0021648232666951306,0.0013583464629995,0.0038328883033128653,0.0023576531020350427,0.0006509755486212436,0.00012461805962166696,0.0015577529586336147,0.00028968204117421083
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,13.0,0.0005151355121977567,0.00026441001988485496,0.0008432998490140765,0.0004992755757509216,0.0001611657681651514,2.467518074894851e-05,0.0003844357002777552,5.7745509030362664e-05,0.0021652549317797776,0.001402970848593322,0.0038102430367619737,0.002355052427675739,0.0006427565273248925,0.00012132676564297586,0.0015300080273886146,0.0002851835071290814
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,14.0,0.0005048896585191999,0.0002719388617016877,0.0008412924898923889,0.0004987428291146004,0.00015564568119871649,2.4107924971297745e-05,0.0003789758907174164,5.6880162250642186e-05,0.0021511723035536473,0.0014410127633772557,0.0038018297849211303,0.0023525023610336975,0.0006301781197763839,0.00011835925562201806,0.0015148052816870827,0.00028055969555422944
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,15.0,0.0005068631586681479,0.0002790853943464891,0.0008437737139730119,0.0004982242606720834,0.000156230551775575,2.3580306884895437e-05,0.00038057204205392184,5.600898654634419e-05,0.002178742638174093,0.0014802206237361116,0.0038153690362126573,0.002350155287568674,0.0006381043660565742,0.00011578932076505145,0.0015278541067111418,0.0002753092854652765
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,16.0,0.0005212475588379523,0.0002856796803178813,0.0008480930424764792,0.0004977397520265811,0.00016241270617012066,2.3072439865924597e-05,0.0003894347787867338,5.5119575997889845e-05,0.0022518715393618216,0.001514639400836057,0.0038431073134800172,0.002348084682188694,0.0006667032088123777,0.00011352017381281223,0.0015708220267445787,0.0002700139610272534
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,17.0,0.0005486197468405464,0.00029193260518688396,0.0008565789927048182,0.0004972795029534805,0.00017476901211185917,2.2588757110252535e-05,0.0004056301319374228,5.421324600427941e-05,0.0023400283084725436,0.0015472802538541877,0.0038821689737667826,0.002346136285074102,0.0007001360726056609,0.00011139907786306346,0.0016209934867403041,0.00026511079953901425
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,18.0,0.0005855937049073993,0.00029803001173744307,0.0008713241536019626,0.0004968795011628348,0.0001951044581007122,2.2142977426154915e-05,0.0004171334267305235,5.344896906148391e-05,0.002422854023159675,0.0015776714064040273,0.0039014730063624352,0.0023444787886157726,0.0007340866346029366,0.0001094516413579197,0.0016704647795959089,0.00026127136072272777
