Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train ANN BCE Loss,train ANN BCELogits Loss,train ANN MSE Loss,train ANN MAE Loss,test ANN BCE Loss,test ANN BCELogits Loss,test ANN MSE Loss,test ANN MAE Loss
NeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.0003047081217611575,0.0005450656793188213,7.319612041959222e-05,0.00015742799663800755,0.0014957330136928918,0.002584442964889718,0.00036789668993380083,0.0007711959147603257
NeuralNetwork,0.0001,8.0,45.0,True,1.0,0.0002520488841193063,0.000531994629741679,5.639475491650985e-05,0.00012748306893274147,0.0012217638252666162,0.0025163157930913962,0.0002771644800339105,0.0006208832627572354
NeuralNetwork,0.0001,8.0,45.0,True,2.0,0.00022141727797104664,0.0005226957026838935,4.644145200034036e-05,0.00010647109616798853,0.001061367819894035,0.002467624233953608,0.0002237652785748056,0.0005167061521572137
NeuralNetwork,0.0001,8.0,45.0,True,3.0,0.00020684323943850164,0.000517604405667904,4.1763559285039206e-05,9.478846529744706e-05,0.0009940148524518282,0.002442951284864414,0.0002015970600476055,0.0004636106907196765
NeuralNetwork,0.0001,8.0,45.0,True,4.0,0.00019913401725799888,0.0005148189328108837,3.9242107591860376e-05,8.847151764962229e-05,0.0009596568046125976,0.0024296384562486374,0.00018954262980874979,0.00043498068673055877
NeuralNetwork,0.0001,8.0,45.0,True,5.0,0.0001940849535870102,0.0005130223186832233,3.756783812274187e-05,8.435883732497531e-05,0.0009357789589923883,0.0024208085342023356,0.000181192953912717,0.0004154948412247424
NeuralNetwork,0.0001,8.0,45.0,True,6.0,0.00019039888426942644,0.0005117220216684264,3.6366216115392445e-05,8.137094364012027e-05,0.0009171830595664258,0.0024141749870852103,0.00017478536088136757,0.00040072033990104245
NeuralNetwork,0.0001,8.0,45.0,True,7.0,0.0001874678740604226,0.0005107274193648058,3.543585749729624e-05,7.908387646842196e-05,0.0009019620388558826,0.0024089987547892444,0.00016963854432106018,0.0003890798386162932
NeuralNetwork,0.0001,8.0,45.0,True,8.0,0.00018506780306926635,0.0005099463735950603,3.469732371623304e-05,7.727162817096453e-05,0.0008892849931177103,0.0024048309281187235,0.00016541542403353086,0.0003795165029711693
NeuralNetwork,0.0001,8.0,45.0,True,9.0,0.00018310562940941988,0.0005093266298828742,3.409968071549408e-05,7.582773175843643e-05,0.0008787479040757665,0.0024014625159449548,0.00016196975308769155,0.0003716187001024402
NeuralNetwork,0.0001,8.0,45.0,True,10.0,0.00018145977406488917,0.0005088140460037478,3.3603278252313724e-05,7.459848637208142e-05,0.0008700041088668055,0.002398647039941272,0.0001591629811427878,0.00036487023129403215
NeuralNetwork,0.0001,8.0,45.0,True,11.0,0.00018005306026684949,0.0005083880173870817,3.318096237442886e-05,7.355810617500881e-05,0.0008627127551432675,0.0023963348295703625,0.00015686216922301165,0.0003592781956840611
NeuralNetwork,0.0001,8.0,45.0,True,12.0,0.0001788280924375488,0.0005080265738572072,3.281116455472062e-05,7.267640727870869e-05,0.0008564548297498211,0.0023944038640028274,0.00015492692777195816,0.0003546399749674887
NeuralNetwork,0.0001,8.0,45.0,True,13.0,0.00017775291943485845,0.0005077187102438626,3.248754376671064e-05,7.192799043301944e-05,0.0008510277143814279,0.00239279735013374,0.0001532730277416841,0.00035085184675342633
NeuralNetwork,0.0001,8.0,45.0,True,14.0,0.00017678199431324262,0.0005074447859329676,3.2194109377514e-05,7.126776054702357e-05,0.0008461525042851766,0.002391386519438066,0.00015180778203520385,0.0003476279711573379
NeuralNetwork,0.0001,8.0,45.0,True,15.0,0.0001758798515057628,0.0005071891767959389,3.1918857116101565e-05,7.065016063397143e-05,0.0008417095215815418,0.002390107268807273,0.0001504827267343893,0.00034467451883561954
NeuralNetwork,0.0001,8.0,45.0,True,16.0,0.00017504317741188398,0.0005069527262947309,3.166425210044712e-05,7.006798110239589e-05,0.0008376136703311273,0.0023889307330989236,0.00014926885611980966,0.00034191581250736546
NeuralNetwork,0.0001,8.0,45.0,True,17.0,0.0001742625734555432,0.0005067380049800616,3.142662426692778e-05,6.954226331569436e-05,0.0008338347733395654,0.002387878842323831,0.00014814634883553727,0.00033945231786314045
NeuralNetwork,0.0001,8.0,45.0,True,18.0,0.00017352016627627883,0.0005065399119153498,3.120070448863217e-05,6.904886317542299e-05,0.0008302459364417214,0.002386921231851638,0.00014708796808929564,0.00033716630167181385
NeuralNetwork,0.0001,8.0,45.0,True,19.0,0.0001727984239148965,0.0005063463976441047,3.097901206132215e-05,6.856310439880968e-05,0.0008268345077082796,0.002386005607041173,0.00014607497028209878,0.00033495575189590454
NeuralNetwork,0.0001,8.0,45.0,True,20.0,0.0001721112634936433,0.0005061635270594265,3.07677750478215e-05,6.810191145161734e-05,0.00082360714111688,0.002385147899951575,0.000145111971025197,0.00033285698425844783
NeuralNetwork,0.0001,8.0,45.0,True,21.0,0.00017142277763217609,0.0005059831868606115,3.0554351560028416e-05,6.765047354357583e-05,0.0008204172617234524,0.0023843233690321822,0.00014416541927640542,0.00033080891805624814
NeuralNetwork,0.0001,8.0,45.0,True,22.0,0.00017075449469275872,0.0005058136510077834,3.0346967862301437e-05,6.72276530947004e-05,0.0008173124782694211,0.002383515145043907,0.00014323107429645347,0.0003288583185687755
