Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train D BCE Loss,train G BCE Loss,train D BCELogits Loss,train G BCELogits Loss,train D MSE Loss,train G MSE Loss,train D MAE Loss,train G MAE Loss,test D BCE Loss,test G BCE Loss,test D BCELogits Loss,test G BCELogits Loss,test D MSE Loss,test G MSE Loss,test D MAE Loss,test G MAE Loss
GenerativeAdversarialNetwork,0.0001,8.0,45.0,1.0,0.0,0.0002421957423102181,0.0002499271154082368,0.0007737062851373719,0.0005305897032796855,5.618630433982273e-05,5.51023703781421e-05,0.00020168036865095566,0.00012838942904999315,0.0013383930584169783,0.0011870933216322893,0.003615189273402376,0.002504277529206666,0.00034653627366389866,0.0002628995468781429,0.001043359157424303,0.0006158621806018757
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,1.0,0.00043630840964715756,0.00019994406205303263,0.0008143385786894518,0.0005147453909614336,0.00012654972807416375,3.8513183252348736e-05,0.0003309435640383924,9.21054329030276e-05,0.0019409036111531768,0.0009633841567069479,0.003815257324362701,0.002426873025654247,0.0005517586971978721,0.00018621066222025915,0.001464304121785194,0.00044783439088917377
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,2.0,0.0005049244814484588,0.00019153571032449562,0.0008321646249519204,0.0005106635974102586,0.00015407843851657568,3.5427839588122866e-05,0.0003667605132105537,8.207455156948368e-05,0.002107298599099213,0.0009375441374268921,0.00385765384578105,0.0024071712538881124,0.0006131462331088084,0.00017271114735858246,0.001567597377975032,0.00040029546937102794
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,3.0,0.0005802402518830209,0.00018969957397954484,0.0008388801887028943,0.000508487786886827,0.00018389545119997625,3.36903732300126e-05,0.00039804491874663976,7.712794844352331e-05,0.0024157676306910485,0.000938148337340205,0.00389234075006449,0.002396595740468247,0.000745583677066947,0.00016347358717858415,0.0017166686882762788,0.0003764166397118718
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,4.0,0.0005323334202933504,0.00019167956075257048,0.0008419113499777657,0.0005070031733525731,0.0001672097253349592,3.259043357362644e-05,0.0003839933245651163,7.386565851072738e-05,0.0023568516257424024,0.0009620249646264802,0.0038948760092633325,0.002389459864898298,0.0007230537773678138,0.0001570119305789096,0.0016992418271190716,0.00036033615469932556
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,5.0,0.0005240241954268792,0.00019518492838764448,0.0008388060443806198,0.0005059021743481371,0.0001637848581104587,3.1766848201860955e-05,0.0003814020889467306,7.155281052274524e-05,0.002268097685567988,0.000990279253173924,0.0038452260899093918,0.0023843574823823365,0.000675940382405647,0.00015264853788246897,0.0016476759370767846,0.000348906472044171
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,6.0,0.00047240171310393956,0.0002006875536833812,0.00083554570244329,0.000505013928580477,0.0001456380251925589,3.1008083885410085e-05,0.0003585457159181168,6.971316477359145e-05,0.0021507835613106784,0.0010189527423126892,0.0038635771979325974,0.002380240263429078,0.0006629834010166192,0.00014925312321141082,0.0015858923489192748,0.0003394309735897952
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,7.0,0.00047497893118794075,0.00020645191325652953,0.0008243321569139424,0.0005042739312925107,0.0001459805811993838,3.030541983013847e-05,0.00035216934436736405,6.817657289639958e-05,0.002124123978164961,0.00105227511258995,0.0038096709821209217,0.0023767747594125614,0.0006528504708278104,0.00014642929459142984,0.0015533682685228264,0.0003311877730507521
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,8.0,0.0004672839876133798,0.00021162267643807712,0.000819415577017072,0.0005036512153810568,0.00014431110892013078,2.9647602345744232e-05,0.0003464591069362877,6.687601983065233e-05,0.0021137724507529782,0.0010869506769960032,0.0038681221458147157,0.0023738964923522756,0.0006788880476411783,0.0001438226339952001,0.0015182143674706513,0.000324363111512466
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,9.0,0.0004480600839033924,0.00021759735927427554,0.0008241614562803202,0.0005030821195509877,0.00014009738386159317,2.902904600708311e-05,0.0003295243790528845,6.565002277694301e-05,0.0020345277006521166,0.0011245145362877996,0.003777504717029116,0.0023714242116460262,0.000619385227467279,0.0001413690148846908,0.0014692164442074373,0.00031849385807349246
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,10.0,0.00043021291092720955,0.00022367140996166959,0.0008156027273347756,0.0005025546345106675,0.00013045773833909768,2.8450862878577086e-05,0.0003244759981844303,6.444831541927677e-05,0.002004598858971266,0.00116133821085564,0.003782927240215757,0.0023691761043836486,0.0006133503509017657,0.00013904166905760016,0.0014512328044423517,0.00031301997742562925
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,11.0,0.0004275521901097259,0.00023145449531046208,0.0008186531677400327,0.000502046227776458,0.0001302350543419306,2.7906769670726797e-05,0.0003245777156796417,6.33432798469163e-05,0.002016510228690861,0.0012014340492164564,0.003792347773066107,0.002367091066432449,0.0006208829816032505,0.00013674704252548937,0.0014581132984761171,0.00030813082677763213
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,12.0,0.0005013633047474041,0.00023937996507012298,0.0008239569368388133,0.0005015771022704091,0.00016303007011464986,2.7403044652424734e-05,0.00035280820655051587,6.236736424207045e-05,0.0023209338293135543,0.0012394217949993206,0.0038151204960901034,0.0023651147413553683,0.0007424092611426828,0.00013442652639727922,0.0016144828976325269,0.00030381752634948153
