Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train D BCE Loss,train G BCE Loss,train D BCELogits Loss,train G BCELogits Loss,train D MSE Loss,train G MSE Loss,train D MAE Loss,train G MAE Loss,train D SSIM Loss,train G SSIM Loss,train D N White MAE Loss,train G N White MAE Loss,train D N Black MAE Loss,train G N Black MAE Loss,train D S White MAE Loss,train G S White MAE Loss,train D S Black MAE Loss,train G S Black MAE Loss,train D T White MAE Loss,train G T White MAE Loss,train D T Black MAE Loss,train G T Black MAE Loss,train D X White MAE Loss,train G X White MAE Loss,train D X Black MAE Loss,train G X Black MAE Loss,train D _ White MAE Loss,train G _ White MAE Loss,train D _ Black MAE Loss,train G _ Black MAE Loss,test D BCE Loss,test G BCE Loss,test D BCELogits Loss,test G BCELogits Loss,test D MSE Loss,test G MSE Loss,test D MAE Loss,test G MAE Loss,test D SSIM Loss,test G SSIM Loss,test D N White MAE Loss,test G N White MAE Loss,test D N Black MAE Loss,test G N Black MAE Loss,test D S White MAE Loss,test G S White MAE Loss,test D S Black MAE Loss,test G S Black MAE Loss,test D T White MAE Loss,test G T White MAE Loss,test D T Black MAE Loss,test G T Black MAE Loss,test D X White MAE Loss,test G X White MAE Loss,test D X Black MAE Loss,test G X Black MAE Loss,test D _ White MAE Loss,test G _ White MAE Loss,test D _ Black MAE Loss,test G _ Black MAE Loss
GenerativeAdversarialNetwork,0.0001,8.0,45.0,1.0,0.0,6.485698277738217e-05,0.0003655250824365333,0.0007047858039002534,0.0005596683754753874,3.393370133505838e-06,8.731698893472513e-05,6.309192818451442e-05,0.00020212999411991665,0.0,0.0004960005342602673,0.0,0.00012950602205937122,0.0,0.001123893775065954,0.0,0.00012569864483856448,0.0,0.0010827784589680057,0.0,0.00012546659238897565,0.0,0.001094760840151188,0.0,0.00013035582001961145,0.0,0.0010472175406638503,0.0,0.0001344610497636615,0.0,0.0,0.00028334951625680024,0.0017886148683679927,0.0032826755781593564,0.0026533704883647414,1.4280084719729123e-05,0.0004382222515981902,0.00027593087006664874,0.0009777950790693176,0.0,0.0022421010102927816,0.0,0.0005869899155958643,0.0,0.005017686564967317,0.0,0.0005837126441721646,0.0,0.005027457228246724,0.0,0.0005936817084468386,0.0,0.004946953845473955,0.0,0.0006133167998595807,0.0,0.005222219341206101,0.0,0.0006237584371236886,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,1.0,6.796991718666894e-06,0.00033697236901666277,0.0006810347185623293,0.0005500342325380227,4.653377425348552e-08,8.062482623237805e-05,6.773608242164082e-06,0.0001712073534325448,0.0,0.0007445245810980153,0.0,9.862166851999947e-05,0.0,0.0011011199809791586,0.0,9.084980924817109e-05,0.0,0.0010397308116974536,0.0,9.98548199385003e-05,0.0,0.001075096528806455,0.0,9.982436493721933e-05,0.0,0.0010184819164944466,0.0,9.920227158101743e-05,0.0,0.0,3.13318762108215e-05,0.001647031344707657,0.00317792959933011,0.0026067735264136355,2.456529630837177e-07,0.0004033513320317058,3.1208227031260914e-05,0.0008309846216777585,0.0,0.003363058717464418,0.0,0.00043685584323211287,0.0,0.0049138623963362014,0.0,0.00041768760801111376,0.0,0.0047983418470658595,0.0,0.00046087122000988175,0.0,0.004878297916748239,0.0,0.0004826680575526735,0.0,0.005126119409717104,0.0,0.00046202770006731624,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,2.0,1.6559767310891672e-06,0.0003248753573373964,0.0006788818020062305,0.0005457071522175463,4.525619895606003e-09,7.571306109749724e-05,1.6537052202678594e-06,0.00016414246589668355,0.0,0.0008516562235330113,0.0,9.524548109972252e-05,0.0,0.0010698449740191354,0.0,8.94736307811223e-05,0.0,0.000978322202625943,0.0,0.00010028790752842742,0.0,0.0010604219777243479,0.0,9.66451961717837e-05,0.0,0.0009965421054562468,0.0,8.550324449642007e-05,0.0,0.0,8.71794295362519e-06,0.0015867487439569438,0.003168259026869288,0.0025855306559388743,4.5054817380773126e-08,0.0003777278481789355,8.695264663195835e-06,0.0007974014342206079,0.0,0.003850301678243076,0.0,0.0004205588930807773,0.0,0.004824879409382178,0.0,0.00041019560406043093,0.0,0.0044709515271696655,0.0,0.00044733829468301256,0.0,0.004854074439162728,0.0,0.00047398667852833587,0.0,0.005049279275930153,0.0,0.000399833064784044,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,3.0,1.700401727883321e-06,0.00031981271794542793,0.0006788707968359688,0.0005400457954149683,9.938043703336388e-09,6.728437089052484e-05,1.6953936725292565e-06,0.000155800305849137,0.0,0.0008878687724130226,0.0,9.396105924385256e-05,0.0,0.001017358987479197,0.0,9.471897005713532e-05,0.0,0.0008707239300092918,0.0,0.00010161049603773256,0.0,0.0010530103570367448,0.0,9.539093812199616e-05,0.0,0.0009716355575705474,0.0,6.681969364216386e-05,0.0,0.0,8.157917163656942e-06,0.0015577384323444006,0.003167831672812408,0.0025577115937598844,6.944131046283182e-08,0.0003344928084304498,8.122879080474377e-06,0.0007582481645937985,0.0,0.004013618430216309,0.0,0.00042014934544293384,0.0,0.004687602040152879,0.0,0.00043189905162127515,0.0,0.003917438803978686,0.0,0.00043418338088869297,0.0,0.004850128911576181,0.0,0.00046610640092465864,0.0,0.005003568136467124,0.0,0.00031268252235538556,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,4.0,2.984301754426603e-06,0.0003711311723986726,0.0006792895556138853,0.0005330591188929473,2.618791444733553e-08,5.7602818362475084e-05,2.9711207786620147e-06,0.00013984797015344357,0.0,0.000900678753553291,0.0,8.896732266058498e-05,0.0,0.0009348481652550299,0.0,9.19911839730656e-05,0.0,0.0007499263614335793,0.0,9.387947438219486e-05,0.0,0.0010446367077429019,0.0,8.615437704276524e-05,0.0,0.0009377236475520378,0.0,4.440798070231538e-05,0.0,0.0,1.1198253388393601e-05,0.0018034804167237671,0.003168962286703242,0.002523749129577253,1.0154081626396931e-07,0.0002858790586579521,1.1147133150846704e-05,0.0006827954788627865,0.0,0.004059181320059111,0.0,0.00041032657495834545,0.0,0.00434945027033488,0.0,0.000410106009657278,0.0,0.003383053923552891,0.0,0.0003958681844315439,0.0,0.004763659066374197,0.0,0.00040518703325739445,0.0,0.004976990087976995,0.0,0.00020503376921017966,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,5.0,3.890093601738025e-06,0.0006309164100580138,0.00067967080041726,0.0005265934608695963,4.981694716522144e-08,5.0144024052709903e-05,3.864944440556183e-06,0.00012355286758543668,0.0,0.0009298919361335626,0.0,8.507317931182944e-05,0.0,0.0008388343204385187,0.0,8.336529436940453e-05,0.0,0.0006481381760774597,0.0,8.233165182675313e-05,0.0,0.0010316507674934408,0.0,7.514990966596373e-05,0.0,0.0008964020447589638,0.0,2.9358535884525576e-05,0.0,0.0,1.454702432050645e-05,0.003101581297580551,0.003170588106479285,0.002490936022884441,2.1305461373888894e-07,0.000246208629705621,1.4439201767339646e-05,0.0006039191810589917,0.0,0.004189404852889311,0.0,0.00040641712879984634,0.0,0.0038316441032121766,0.0,0.0003666746072799155,0.0,0.002941395876542577,0.0,0.00036213071372524,0.0,0.004578059949215103,0.0,0.00032916062939092046,0.0,0.004936593508570449,0.0,0.00013190944848945305,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,6.0,6.051508162542173e-06,0.0006612387869878599,0.0006805416548027182,0.0005207677093156264,1.4668059908104633e-07,4.437895155338586e-05,5.976422476479307e-06,0.0001091909998992704,0.0,0.0009627192415451208,0.0,8.209379053501427e-05,0.0,0.0007442216667524888,0.0,7.536149310133849e-05,0.0,0.0005423361962696292,0.0,7.12711092918067e-05,0.0,0.0010164253152605658,0.0,6.682430255927166e-05,0.0,0.0008463833049301188,0.0,2.0551299450371787e-05,0.0,0.0,2.3681026116107245e-05,0.003264925389919641,0.003174311709853838,0.002460884598066222,7.273356116130808e-07,0.00021452273962632666,2.3306508507556135e-05,0.0005342800099894686,0.0,0.004337767846900221,0.0,0.0003984437423682063,0.0,0.0032950909632556845,0.0,0.0003357849452855452,0.0,0.0024660173452125404,0.0,0.00033409457724049407,0.0,0.004375993830602874,0.0,0.00027038934845594493,0.0,0.004860012036449504,0.0,9.00882325551045e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,7.0,1.1610138327927603e-05,0.0006357469568355385,0.0006827888784382863,0.0005157971478536765,5.996818770340711e-07,4.0271033274356247e-05,1.1292170743254638e-05,9.708403737718526e-05,0.0,0.0009979023788547774,0.0,7.794704037213904e-05,0.0,0.0006641966875672662,0.0,6.881440083453597e-05,0.0,0.00044175122947384405,0.0,6.146234964746028e-05,0.0,0.001003877493249117,0.0,6.0712843330079975e-05,0.0,0.0007993754029595306,0.0,1.5463661201639638e-05,0.0,0.0,4.596952290373778e-05,0.003189187004881085,0.0031835564277456993,0.0024352634103043274,3.078134229652724e-06,0.00019225755811862227,4.432085643774309e-05,0.0004749880084451639,0.0,0.00449807397420304,0.0,0.0003776359108259093,0.0,0.0028555385721554544,0.0,0.0003136901782368714,0.0,0.002010221001487108,0.0,0.00030564448837214295,0.0,0.004203043643783474,0.0,0.00022883497694003508,0.0,0.004776795705159505,0.0,6.741505561384765e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,8.0,2.0422081581023182e-05,0.0006115814906888895,0.0006862582382808799,0.0005121013787236175,1.755632482710071e-06,3.754187907491412e-05,1.9453196080948785e-05,8.831235437059017e-05,0.0,0.001025231435502102,0.0,7.384671576100218e-05,0.0,0.0006077661106207301,0.0,6.418325247950953e-05,0.0,0.000361713477864741,0.0,5.4632130297367786e-05,0.0,0.0009929656661103036,0.0,5.662654629454137e-05,0.0,0.0007627891562377025,0.0,1.2795565112662122e-05,0.0,0.0,8.090640529521606e-05,0.0030945151481988294,0.0031978472973565636,0.002416603407769833,9.174608777763334e-06,0.00017858795681089724,7.571872768911926e-05,0.00043188002686830434,0.0,0.004624824374026969,0.0,0.0003557917925546754,0.0,0.00255043570350551,0.0,0.00029724238897269625,0.0,0.0016572239264002386,0.0,0.00028345457412911663,0.0,0.004079159700645591,0.0,0.00020274498833800262,0.0,0.004709639639224646,0.0,5.644012195696621e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,9.0,3.109315806884329e-05,0.0005949907547058763,0.0006899141237099537,0.00050951934085702,3.4913089944707417e-06,3.5902974760596644e-05,2.913505361086596e-05,8.235518341115864e-05,0.0,0.0010464971895934906,0.0,6.985466555765055e-05,0.0,0.0005699108151412717,0.0,6.027479538056407e-05,0.0,0.00030976861233338515,0.0,5.0275634241232656e-05,0.0,0.0009844148094763333,0.0,5.377663896893555e-05,0.0,0.0007370841310352006,0.0,1.1452704647962616e-05,0.0,0.0,0.00012337702250330703,0.003019806349052573,0.0032145662127800708,0.00240349975771874,1.934040982112195e-05,0.0001706598127413096,0.00011184026703894513,0.00040210146199232377,0.0,0.004726525176868597,0.0,0.00033718635732272887,0.0,0.0023470404762891855,0.0,0.00028252456360643017,0.0,0.0014183703083662116,0.0,0.0002674361304292139,0.0,0.003988772818127518,0.0,0.00018668899886638114,0.0,0.004661310393855257,0.0,5.1245380357001566e-05,0.0,0.0
