Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,BCE Loss,BCELogits Loss,MSE Loss,MAE Loss,S S I M Loss,White M A E Loss,Black M A E Loss,S White M A E Loss,S Black M A E Loss,T White M A E Loss,T Black M A E Loss,X White M A E Loss,X Black M A E Loss,  White M A E Loss,  Black M A E Loss
CNN1,0.0001,8.0,45.0,True,499.0,0.0005938390609603,0.0023158676219436,7.072505218990193e-05,0.0001839450296928,0.005398297761119,0.0001277206875618,0.0007535355083597,0.0001069139923502,0.0004084922326435,0.0001354654020858,0.0025954670126333,0.000132208561185,0.0028083279447735,2.177941917482787e-05,0.0
CNN2,0.0001,8.0,45.0,True,499.0,0.0007698212592106,0.0023512339816903,0.0001161787424634,0.0002381394166241,0.0053493229645111,0.0001346352246572,0.0011111884934347,0.0001294286980194,0.0010482154364855,0.0001406466365797,0.0028372963644423,0.0001441753768133,0.0031335638754022,4.889640617389349e-05,0.0
CNN3,0.0001,8.0,45.0,True,493.0,0.0005557255924872,0.0023052079497643,6.383397388008405e-05,0.0001377145636756,0.0056363513429434,8.322496506028206e-05,0.0005704279309548,6.517376633560132e-05,0.000313464224151,0.0001005877582532,0.0022648229913891,0.0001010856116717,0.0024450230148603,5.656609871079149e-06,0.0
CNN4,0.0001,8.0,45.0,True,499.0,0.0005941919092112,0.002314271229618,7.036986684649246e-05,0.0001798115038084,0.005383446048639,0.0001231940732624,0.0007292555188232,0.0001034909074411,0.0003874869138564,0.0001371377177021,0.0025916176397095,0.0001285922531999,0.0027990731053382,2.2912821176010857e-05,0.0
CNN5,0.0001,8.0,45.0,True,499.0,0.0005724323714304,0.0023088432707876,6.46827074716676e-05,0.0001684871953238,0.0054952831047793,0.0001173533335234,0.0006261408891317,0.0001013193326363,0.0003459224442266,0.000125401928646,0.0024447889073089,0.0001229195615405,0.0027146153854873,2.1986060031929856e-05,0.0
CNN6,0.0001,8.0,45.0,True,497.0,0.0005445817262871,0.0023026501982466,6.0666311508829485e-05,0.0001272148915431,0.0057050287793145,6.566234167266941e-05,0.0006009966322461,6.296849991165616e-05,0.0002812598392648,8.808187086064861e-05,0.0022475275228608,8.171294235958244e-05,0.00256018462421,3.774478334535218e-06,0.0
CNN7,0.0001,8.0,45.0,True,497.0,0.0005675605351819,0.0023086209717036,6.676727097551777e-05,0.0001515441298859,0.0055777960862322,9.11803107778981e-05,0.0006096453036902,8.851396939102208e-05,0.0003763970526509,0.0001075193520237,0.0021814649584908,0.0001044172395325,0.0025681999494444,1.1081846120456854e-05,0.0
