Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,BCE Loss,BCELogits Loss,MSE Loss,MAE Loss,SSIM Loss
CNN6,0.0001,8.0,45.0,True,497.0,0.0005445817262871,0.0023026501982466,6.0666311508829485e-05,0.0001272148915431,0.0057050287793145
DCGAN4,0.0001,8.0,45.0,True,497.0,0.004597433333127,0.0022877943965623,6.612495712514194e-05,0.0001738283478613,0.0056706863207803
GAN7,0.0001,8.0,45.0,True,498.0,0.0032111796193152,0.0022636813187749,3.280154716387485e-05,9.896676495390118e-05,0.0058756956752891
NN7,0.0001,8.0,45.0,True,499.0,0.0004579224770174,0.0022776046264096,2.9138719909033687e-05,9.12492813647918e-05,0.00589089037644
ResNet1,0.0001,8.0,45.0,True,194.0,0.0019366341941761,0.0025562529668867,0.0003416272548009,0.0006978883402152,0.0041885553962291
UNN1,0.0001,8.0,45.0,True,494.0,0.0005168918075051,0.0022613934750826,2.3649554441934865e-05,5.6601240762374686e-05,0.0059756338495429
VAE4,0.0001,8.0,45.0,True,496.0,0.0034846498531365,0.0022693424479766,3.922184776959929e-05,0.0001153379749014,0.0058128216799905
