Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,D B C E Loss,BCE Loss,D B C E Logits Loss,BCELogits Loss,D M S E Loss,MSE Loss,D M A E Loss,MAE Loss
GAN1,0.0001,8.0,45.0,True,999.0,3.38665672443198e-05,0.0021277836658669,0.0031772222159043,0.0022983339222722,1.1605185342355157e-06,6.1010315123968905e-05,3.326648506540922e-05,0.0001694436226063
GAN2,0.0001,8.0,45.0,True,999.0,3.136029619278398e-05,0.0022869218820295,0.0031775461052948,0.002287782588095,9.30234201182172e-07,5.0995616043138806e-05,3.087555743613333e-05,0.0001484662903554
GAN3,0.0001,8.0,45.0,True,999.0,0.0003397267475817,0.0023471752427658,0.0032429166559903,0.0022849937280019,9.035541084390016e-05,4.8319399122547054e-05,0.0001971574043327,0.0001424594940441
GAN4,0.0001,8.0,45.0,True,999.0,0.0001505692635879,0.0023987711225665,0.0032277482110749,0.0022785536148263,3.278268056002053e-05,4.1868865677395706e-05,0.0001233114550511,0.000127522356855
GAN5,0.0001,8.0,45.0,True,998.0,0.0005630578541155,0.0035406692222979,0.0032688686682743,0.002262847041184,0.0001037214419939,3.228220010890901e-05,0.0002379628753512,9.863897455188464e-05
GAN6,0.0001,8.0,45.0,True,999.0,0.0009171488524982,0.0035075039233801,0.0033971382387029,0.0022590194108351,0.0002495674826439,2.890004946282075e-05,0.0005317886108122,9.066328031461944e-05
GAN7,0.0001,8.0,45.0,True,976.0,0.0019813343039098,0.0035609276789539,0.0036061121232854,0.0022565043947231,0.0005131872757425,2.71626759859376e-05,0.0009939051086797,8.597077930685859e-05
