Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,D B C E Loss,BCE Loss,D B C E Logits Loss,BCELogits Loss,D M S E Loss,MSE Loss,D M A E Loss,MAE Loss,D S S I M Loss,S S I M Loss,D N White M A E Loss,N White M A E Loss,D N Black M A E Loss,N Black M A E Loss,D S White M A E Loss,S White M A E Loss,D S Black M A E Loss,S Black M A E Loss,D T White M A E Loss,T White M A E Loss,D T Black M A E Loss,T Black M A E Loss,D X White M A E Loss,X White M A E Loss,D X Black M A E Loss,X Black M A E Loss,D   White M A E Loss,  White M A E Loss,D   Black M A E Loss,  Black M A E Loss
DCGAN1,0.0001,8.0,45.0,True,496.0,3.91711931933397e-09,0.0050015940606219,0.0031648087051679,0.0022973648782046,3.6252769435964e-14,7.456261078891514e-05,3.9171010865392415e-09,0.0001895838657265,0.0,0.0055459943012455,0.0,0.0001320673164519,0.0,0.0007171740978019,0.0,0.0001130044085424,0.0,0.000449222213817,0.0,0.0001361478682396,0.0,0.0024942873783831,0.0,0.0001259011409755,0.0,0.0027973380103801,0.0,6.221853922935402e-05,0.0,0.0
DCGAN2,0.0001,8.0,45.0,True,496.0,4.783013258693402e-12,0.0047765138014307,0.0031648079554239,0.0022877677806518,4.47159636611121e-20,6.584519133815225e-05,4.783013258693402e-12,0.0001706074946706,0.0,0.0056419938155133,0.0,0.0001282086654466,0.0,0.0005140898737517,0.0,0.0001080381748436,0.0,0.0002411121279938,0.0,0.0001284243339824,0.0,0.0024584415573743,0.0,0.0001259084626938,0.0,0.0025825924093618,0.0,6.196448145984853e-05,0.0,0.0
DCGAN3,0.0001,8.0,45.0,True,496.0,0.0043594162419157,0.0048267410236334,0.0045539436850157,0.0022872262780771,0.0015723270440251,6.613550625694623e-05,0.0031446540880503,0.0001734298355174,0.0,0.0056816743268057,0.0,0.0001281368657477,0.0,0.0005477057687891,0.0,0.0001110440506687,0.0,0.0002121169049784,0.0,0.0001507952293884,0.0,0.0020178603301258,0.0,0.0001301797188865,0.0,0.0026909485927917,0.0,6.234462507678277e-05,0.0,0.0
DCGAN4,0.0001,8.0,45.0,True,497.0,0.3144654088050314,0.004597433333127,0.0051148537569825,0.0022877943965623,0.0031446540880503,6.612495712514194e-05,0.0031446540880503,0.0001738283478613,0.0,0.0056706863207803,0.0,0.0001345011962097,0.0,0.0005879809365332,0.0,0.0001089752259306,0.0,0.0001929257205634,0.0,0.0001383240117966,0.0,0.002089594520113,0.0,0.0001329383900705,0.0,0.0026435741463547,0.0,6.242506440330601e-05,0.0,0.0
DCGAN5,0.0001,8.0,45.0,True,31.0,1.99951661996684e-06,0.0007137401767496,0.0031653590172341,0.0023291817626113,7.733994018236679e-09,9.85732430931907e-05,1.9956394040125346e-06,0.0002039053108332,0.0,0.0053652666274751,0.0,0.0001373170236559,0.0,0.0010400841820914,0.0,9.800774871178394e-05,0.0,0.0005736574062011,0.0,0.0001239433486319,0.0,0.0032560851588938,0.0,0.0001035999600429,0.0,0.0037804665805408,0.0,2.642634541452306e-05,0.0,0.0
