Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train N BCE Loss,train N BCELogits Loss,train N MSE Loss,train N MAE Loss,test N BCE Loss,test N BCELogits Loss,test N MSE Loss,test N MAE Loss
NeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.00031223549756078387,0.000546538444220859,7.545603614933086e-05,0.00016066770388109664,0.001533179631773031,0.002591968519882586,0.0003800458456360319,0.0007873172842481601
NeuralNetwork,0.0001,8.0,45.0,True,1.0,0.00026511186056059967,0.0005354255919829212,6.053600751486107e-05,0.0001350187086512779,0.0012885569214071118,0.002534069355178929,0.0002992517965019874,0.000659072830242181
NeuralNetwork,0.0001,8.0,45.0,True,2.0,0.00023019289713342876,0.0005254416934884783,4.928008304291337e-05,0.00011255116154241433,0.001103818229159469,0.0024814937474592676,0.0002378476490764498,0.0005459431207404947
NeuralNetwork,0.0001,8.0,45.0,True,3.0,0.00021242846375848405,0.0005194768510417475,4.357344538696371e-05,9.895588027820432e-05,0.001017616886012959,0.002451659748389286,0.0002097386937096434,0.00048194488264479725
NeuralNetwork,0.0001,8.0,45.0,True,4.0,0.00020332423583516534,0.000516215986961303,4.063786140510014e-05,9.154891871377786e-05,0.000977952056710825,0.002436221020776521,0.0001961357610405616,0.00044902798327260045
NeuralNetwork,0.0001,8.0,45.0,True,5.0,0.00019765711537589925,0.000514177098428464,3.8759341096942317e-05,8.691797118302626e-05,0.0009523229029193615,0.00242638812874848,0.00018704539668635002,0.00042783000371741047
NeuralNetwork,0.0001,8.0,45.0,True,6.0,0.00019358990166707822,0.0005127212429303686,3.741037933974253e-05,8.36016695615095e-05,0.000932969387222386,0.0024191770913465967,0.00018025999127319024,0.00041210721686201277
NeuralNetwork,0.0001,8.0,45.0,True,7.0,0.00019039792031290718,0.0005116196012882531,3.63670520464365e-05,8.108531629460841e-05,0.0009168923463461534,0.0024136173650153776,0.0001747202620191394,0.00039970148471916246
NeuralNetwork,0.0001,8.0,45.0,True,8.0,0.00018778620061848684,0.0005107613988321103,3.554025599657686e-05,7.911536571471839e-05,0.0009030337041279055,0.0024091363328058017,0.00016998678867547018,0.0003896658572385896
NeuralNetwork,0.0001,8.0,45.0,True,9.0,0.00018555709133251014,0.0005100514046908068,3.485068066341858e-05,7.747240726035239e-05,0.0008912569134490295,0.0024053969848081003,0.0001660414250954142,0.00038113257607573985
NeuralNetwork,0.0001,8.0,45.0,True,10.0,0.0001836949683263938,0.000509463110060062,3.428606070437521e-05,7.60984278191132e-05,0.0008811768870683586,0.0024022538706941427,0.00016271411997717132,0.0003737877093770969
NeuralNetwork,0.0001,8.0,45.0,True,11.0,0.00018208795239661903,0.0005089694438276265,3.380116798244718e-05,7.492060850894033e-05,0.0008726339295225323,0.0023995868439944286,0.00015995024744444673,0.0003674446177557579
NeuralNetwork,0.0001,8.0,45.0,True,12.0,0.00018070194358131634,0.0005085511670279696,3.3384394854548164e-05,7.392151276216995e-05,0.0008653753770972198,0.00239734004878398,0.00015764182093758254,0.00036212752731341235
NeuralNetwork,0.0001,8.0,45.0,True,13.0,0.00017949408598023285,0.0005082009696574867,3.3024997221973706e-05,7.307449119752951e-05,0.0008592151995724851,0.0023954996147995474,0.0001557241047515809,0.0003577443132610441
NeuralNetwork,0.0001,8.0,45.0,True,14.0,0.0001784373687284012,0.0005078949536274707,3.271008969718877e-05,7.233739582033492e-05,0.0008537871470241427,0.0023938846663109164,0.00015405722477900908,0.0003539516397242276
NeuralNetwork,0.0001,8.0,45.0,True,15.0,0.00017746248736857082,0.0005076231580538891,3.2414644554940195e-05,7.169592794221688e-05,0.0008490165262102331,0.002392506262041488,0.00015259942965312575,0.00035073594102319683
NeuralNetwork,0.0001,8.0,45.0,True,16.0,0.00017656642953661896,0.000507370842434968,3.214255778616008e-05,7.108661203050228e-05,0.0008447043738275204,0.002391230010386533,0.00015130233745904839,0.00034773455194707186
NeuralNetwork,0.0001,8.0,45.0,True,17.0,0.00017572361021992973,0.000507140978969975,3.1885866708350634e-05,7.052758753781691e-05,0.0008407872427934371,0.0023901104552191007,0.0001501461736998468,0.00034507785765629896
NeuralNetwork,0.0001,8.0,45.0,True,18.0,0.00017495047692661338,0.0005069332061752155,3.165222021608019e-05,7.001110766775846e-05,0.0008371018763608152,0.0023890583770080184,0.0001490626296719665,0.00034258135084835986
