Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train VAE BCE Loss,train VAE BCELogits Loss,train VAE MSE Loss,train VAE MAE Loss,test VAE BCE Loss,test VAE BCELogits Loss,test VAE MSE Loss,test VAE MAE Loss
VariationalAutoencoder,0.0001,8.0,45.0,1.0,0.0,0.00032680740735601543,0.0005445628956643076,7.751253697107423e-05,0.00016199191906702808,0.0016543861455137624,0.0025838733469165345,0.00038644184106550875,0.0007989488120348948
VariationalAutoencoder,0.0001,8.0,45.0,True,1.0,0.0003174875744912181,0.0005405182144391248,7.485106808316675e-05,0.0001460117089619855,0.001582066405494258,0.002569915176187671,0.0003776949297332164,0.0007464829480872964
VariationalAutoencoder,0.0001,8.0,45.0,True,2.0,0.0003056562533275779,0.0005419059101783362,7.294942285975998e-05,0.0001544157831334682,0.0015442755612187415,0.0025648652757488707,0.0003714240712564696,0.0007221969605991675
VariationalAutoencoder,0.0001,8.0,45.0,True,3.0,0.0002726570293909777,0.0005336199005980376,6.209911321693996e-05,0.0001354792790432182,0.0014124432074948676,0.0025494850281649415,0.00033921432101501606,0.0007258323753404917
VariationalAutoencoder,0.0001,8.0,45.0,True,4.0,0.0002459156706005415,0.0005249134051510588,5.330275392757272e-05,0.0001150966393497755,0.0012779194603925982,0.002498023914840986,0.00029155042655063125,0.0005858024148821081
VariationalAutoencoder,0.0001,8.0,45.0,True,5.0,0.00021876890784646623,0.0005135645442253175,4.282942659289368e-05,8.676280430706364e-05,0.0010585946107060655,0.002432900779652146,0.00020996961484915055,0.0004448869599486297
VariationalAutoencoder,0.0001,8.0,45.0,True,6.0,0.00022312942540870522,0.0005129566893102024,4.1331322687976764e-05,8.602138116674603e-05,0.001079944038541062,0.002422531820693106,0.0002050923429570108,0.0004270811969379209
VariationalAutoencoder,0.0001,8.0,45.0,True,7.0,0.00022725305065633152,0.0005108830581778143,3.979437183739361e-05,8.225628749700891e-05,0.0010551912417201875,0.0024035415559444787,0.00017996756769951035,0.00038705672483024356
VariationalAutoencoder,0.0001,8.0,45.0,True,8.0,0.0002242234758932314,0.0005095528383460649,3.773156513341996e-05,7.857958663184688e-05,0.0011036290125277057,0.00241191769545933,0.00019075482521417007,0.00040328230872844
VariationalAutoencoder,0.0001,8.0,45.0,True,9.0,0.00023900454417071895,0.0005103106688296378,3.934394809194009e-05,7.989357484158159e-05,0.0011033358626395652,0.002402648610888787,0.00017886414374195555,0.0003885265978627235
VariationalAutoencoder,0.0001,8.0,45.0,True,10.0,0.00023123300621773034,0.0005083749236443614,3.674306537745134e-05,7.673603987115413e-05,0.0011520715629529652,0.002396641662285763,0.00017996995750838105,0.00037235445665113583
VariationalAutoencoder,0.0001,8.0,45.0,True,11.0,0.00023694944911889954,0.0005083363252187354,3.643588456664124e-05,7.792759054111984e-05,0.0011727146382601757,0.002404038261317607,0.00018704094508159087,0.000386349341404513
VariationalAutoencoder,0.0001,8.0,45.0,True,12.0,0.00023163346990420812,0.0005070284772112042,3.447186081316272e-05,7.464786404066008e-05,0.0011665404967541964,0.0023933176724415905,0.00017114090235353265,0.00036851136283304705
VariationalAutoencoder,0.0001,8.0,45.0,True,13.0,0.0002380341612746452,0.0005069359373853534,3.502660021788348e-05,7.559954517613845e-05,0.0011795505225283545,0.0023915004805199007,0.00016953075691214148,0.00036292075642249867
VariationalAutoencoder,0.0001,8.0,45.0,True,14.0,0.0002472502684014827,0.0005082577627624141,3.773653051361562e-05,7.742300448873936e-05,0.00125041238541873,0.002393689920317452,0.00018030518677624518,0.00036408667856792235
VariationalAutoencoder,0.0001,8.0,45.0,True,15.0,0.0002428215709979322,0.0005068437188783425,3.524538069320818e-05,7.315189891427032e-05,0.0012210648764604292,0.002392086217988212,0.00017588933543214257,0.0003575759254536539
VariationalAutoencoder,0.0001,8.0,45.0,True,16.0,0.0002451093410545925,0.0005057634851039259,3.400164081481589e-05,7.085964043506715e-05,0.0012308329156359786,0.0023910688154352537,0.00017263323256054764,0.0003547706647114184
