Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train VAE BCE Loss,train VAE BCELogits Loss,train VAE MSE Loss,train VAE MAE Loss,train VAE SSIM Loss,train VAE N White MAE Loss,train VAE N Black MAE Loss,train VAE S White MAE Loss,train VAE S Black MAE Loss,train VAE T White MAE Loss,train VAE T Black MAE Loss,train VAE X White MAE Loss,train VAE X Black MAE Loss,train VAE _ White MAE Loss,train VAE _ Black MAE Loss,test VAE BCE Loss,test VAE BCELogits Loss,test VAE MSE Loss,test VAE MAE Loss,test VAE SSIM Loss,test VAE N White MAE Loss,test VAE N Black MAE Loss,test VAE S White MAE Loss,test VAE S Black MAE Loss,test VAE T White MAE Loss,test VAE T Black MAE Loss,test VAE X White MAE Loss,test VAE X Black MAE Loss,test VAE _ White MAE Loss,test VAE _ Black MAE Loss
VariationalAutoencoder,0.0001,8.0,45.0,1.0,0.0,0.0003219505726809129,0.0005431173223690845,7.680628820249655e-05,0.00015727961762253487,0.0009793203551483529,0.0001545827383943645,0.0009970264936071842,0.0001479326232745641,0.000896202666418893,9.897326161919257e-05,0.00114328681298022,9.530327832602426e-05,0.0010610013155924341,3.7288207892137715e-05,0.0,0.001595981091073474,0.0025694900713626695,0.00037619120107506806,0.0007511617721251721,0.004434657534217178,0.0006236445229008512,0.004404199948100923,0.0006159895433569854,0.004315848245560748,0.0004349457299184499,0.005076652427889266,0.00034837495043592634,0.005489220409273352,0.0001541990083905886,0.0
VariationalAutoencoder,0.0001,8.0,45.0,True,1.0,0.0003078404181408432,0.0005408663634020042,7.330802974675222e-05,0.0001486540242346792,0.0009983123218560038,0.00012938534675261402,0.0010271302130665742,0.00012678484309394403,0.0009194082326966155,9.038844560034513e-05,0.0011577125829506435,9.990086894472333e-05,0.0010334774650974736,2.9667019542818765e-05,0.0,0.0015210290000123798,0.002570875223327733,0.00036790739721472156,0.0007546003790771436,0.0044403978040869875,0.0005667856279409156,0.004510026307975721,0.0006144532711250977,0.004202154072575599,0.0005231403142401257,0.004981838682162686,0.0003768537404402247,0.005504338996215437,0.00017270548913463858,0.0
VariationalAutoencoder,0.0001,8.0,45.0,True,2.0,0.0002743312411231172,0.0005318793967727702,6.197760951004902e-05,0.0001286960575940474,0.0010215208954075755,7.863823736131673e-05,0.0009521135101421181,0.0001036775802987605,0.000703693400174781,9.50618574240137e-05,0.0011090315737814274,7.712837519510737e-05,0.0010211191408717728,2.5310242332698843e-05,0.0,0.001376749022201922,0.002524241898794594,0.0003169931986796781,0.0006517788524147849,0.0045624781545192195,0.0005146856390455234,0.004252373047594754,0.0005520953790946576,0.003451150168412886,0.00045081565402588756,0.004747639287192866,0.00031621683880967913,0.00514074204103002,7.368684541316902e-05,0.0
VariationalAutoencoder,0.0001,8.0,45.0,True,3.0,0.0002464609888364684,0.0005245497927190159,5.3230110766752714e-05,0.00011761465443755096,0.0010150285270435452,0.00011671899825414879,0.0006829459230212188,6.955831921646858e-05,0.0005555630854840549,9.666482674465025e-05,0.0009995449906732195,9.754088247882709e-05,0.0008010295523466125,2.529791172222307e-05,0.0,0.0011986032034616051,0.0024873252559757834,0.00026668648018776995,0.0005876320712971237,0.004562029694485341,0.0005221027623182572,0.0035892117698237583,0.000367806298927691,0.0025640542402207474,0.00043406571794605853,0.004264494907930962,0.0003991870666449925,0.0047466589969659,0.00013317349337556826,0.0
VariationalAutoencoder,0.0001,8.0,45.0,True,4.0,0.0002232977964807392,0.0005146683949344563,4.228170348627548e-05,9.214455347176833e-05,0.0010673382838559374,7.257209915035176e-05,0.0006415179636921844,5.074738552467521e-05,0.00038745665967946426,5.7333422638977955e-05,0.001073650754686957,8.945849867201237e-05,0.000652645958080446,2.712102210264643e-05,0.0,0.0010606671841639393,0.0024270900765305044,0.00020375123844956452,0.00044062152598638957,0.00486030627210846,0.0003698842611702733,0.0027599747075974564,0.0002340288516485466,0.0017946356872342668,0.0003050938014339351,0.004403140934758216,0.0002901078254546759,0.004659870510581155,7.383182715132552e-05,0.0
VariationalAutoencoder,0.0001,8.0,45.0,True,5.0,0.0002335813247932578,0.0005127257012292703,4.149580781029241e-05,8.755552800839159e-05,0.0010774528157380218,7.991093610014235e-05,0.0005226840147110973,4.641198103800617e-05,0.0003827024261263824,6.566917137154992e-05,0.0010155389572410892,6.700428629499883e-05,0.0007425136161300372,2.0389254342995566e-05,0.0,0.0011126817022479554,0.0024191892746859376,0.00019700925961230536,0.0004097575192931313,0.004956401875359762,0.0003253881052230139,0.002700275220211197,0.00019880288145827048,0.001794879916329054,0.0002643603058356159,0.004613158462932275,0.00021074105452441568,0.004804992075986082,9.614756365991989e-05,0.0
VariationalAutoencoder,0.0001,8.0,45.0,True,6.0,0.00023917279474818803,0.0005094709020419262,3.898186945529639e-05,8.069701753857964e-05,0.0010933880073765194,7.461934197302456e-05,0.0005884939689199237,4.543597506223663e-05,0.00028278104298198317,6.449354104597292e-05,0.0009634167839574685,6.670630825658372e-05,0.000660506501352048,2.1479619702078263e-05,0.0,0.0011436738682992803,0.002401243215836819,0.0001796141454258805,0.0003862919625621172,0.004963959226526288,0.0003343775118671873,0.002398056804009204,0.00020754215477397606,0.0013495279745485797,0.00029848382439253465,0.00410850168024219,0.00023022596285028277,0.0045796479069211945,7.922938034969306e-05,0.0
VariationalAutoencoder,0.0001,8.0,45.0,True,7.0,0.0002387681338343659,0.0005097594865248852,3.836347628635859e-05,7.91489033686183e-05,0.0010982752500912872,6.96428160301116e-05,0.0006122692736653947,4.291190512257445e-05,0.00029469381847150244,5.0737399537608305e-05,0.0009849343820402244,6.171931434834421e-05,0.0007957281931391302,2.1212317571646442e-05,0.0,0.0011412624105717401,0.0023982000051054565,0.00017556685181158892,0.0003834771191549001,0.0049800200143214225,0.0003472120038368417,0.0024515384773038467,0.00018431805074214935,0.0012147681518170819,0.00031143047337262134,0.0037112419710219283,0.00023405635788005852,0.004366511069003891,9.595490289184283e-05,0.0
VariationalAutoencoder,0.0001,8.0,45.0,True,8.0,0.00023784568769269878,0.00050747486940934,3.5769579746331165e-05,7.390708353802201e-05,0.0011156803870062757,6.056171302204183e-05,0.0005879635920100456,3.638696628359129e-05,0.0002759165881136357,5.026495038981065e-05,0.0009871218403715973,5.580035522780971e-05,0.0007454536031841268,1.518539030034587e-05,0.0,0.0012454246200105678,0.002397664500482427,0.0001830001765826963,0.0003760085447029498,0.005007045776391883,0.00033242733411069185,0.002366482274337385,0.0001967374305680113,0.001262909398888642,0.00031050807743702297,0.004066752937604797,0.00020054406808607233,0.004565104748467979,7.176349443272225e-05,0.0
VariationalAutoencoder,0.0001,8.0,45.0,True,9.0,0.0002544767090252468,0.0005085484358178316,3.701301085740087e-05,7.813959068686493e-05,0.0010985380639964416,7.191310935425308e-05,0.00048805431856941984,3.491169860902822e-05,0.000265957210263152,5.817031261895224e-05,0.0010028574665923004,5.7495342231182396e-05,0.0007702488944215595,2.1219070287888263e-05,0.0,0.0012689871045778382,0.002396582619948957,0.00017906262674046762,0.00036850252991202495,0.005025379855392716,0.00030191767515626343,0.0023853865059666663,0.00017764476719517379,0.0012320105759602673,0.00028407016077881337,0.004083727515718472,0.00020187104460578294,0.0047312165206333376,8.757677772697413e-05,0.0
