Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train ResNet BCE Loss,train ResNet BCELogits Loss,train ResNet MSE Loss,train ResNet MAE Loss,train ResNet SSIM Loss,train ResNet N White MAE Loss,train ResNet N Black MAE Loss,train ResNet S White MAE Loss,train ResNet S Black MAE Loss,train ResNet T White MAE Loss,train ResNet T Black MAE Loss,train ResNet X White MAE Loss,train ResNet X Black MAE Loss,train ResNet _ White MAE Loss,train ResNet _ Black MAE Loss,test ResNet BCE Loss,test ResNet BCELogits Loss,test ResNet MSE Loss,test ResNet MAE Loss,test ResNet SSIM Loss,test ResNet N White MAE Loss,test ResNet N Black MAE Loss,test ResNet S White MAE Loss,test ResNet S Black MAE Loss,test ResNet T White MAE Loss,test ResNet T Black MAE Loss,test ResNet X White MAE Loss,test ResNet X Black MAE Loss,test ResNet _ White MAE Loss,test ResNet _ Black MAE Loss,train ANN BCE Loss,train ANN BCELogits Loss,train ANN MSE Loss,train ANN MAE Loss,train ANN SSIM Loss,train ANN N White MAE Loss,train ANN N Black MAE Loss,train ANN S White MAE Loss,train ANN S Black MAE Loss,train ANN T White MAE Loss,train ANN T Black MAE Loss,train ANN X White MAE Loss,train ANN X Black MAE Loss,train ANN _ White MAE Loss,train ANN _ Black MAE Loss
ResidualNeuralNetwork,0.0001,8.0,45.0,1.0,0.0,,,,,,,,,,,,,,,,0.006291077571844905,0.0026095918139571665,0.0004245414861343192,0.0008741351980833138,0.0030852593948034104,0.0004518324005528816,0.005157541179057187,0.0004719768492680676,0.004818300031266123,0.00048260835918990323,0.004984301216197464,0.0005164115496401517,0.005292695648265335,0.0006094589923162881,0.0,0.0012918483375539034,0.000550142075173617,8.433198711942791e-05,0.0001790301015756201,0.0006825601070332194,9.997905987613606e-05,0.0011285172318512538,9.493848103075979e-05,0.001050699994249164,0.00010472740927796479,0.001114374142130109,0.00010129922845292927,0.0010580201997268553,0.0001263294138034399,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,1.0,,,,,,,,,,,,,,,,0.00734500914999524,0.002617031898138658,0.0004294665073448757,0.0009271015161238376,0.0028791475634297667,0.0005764937344587074,0.004779094045267165,0.0005630033571015363,0.00454804132569511,0.0005828729309375931,0.00481698010702553,0.0005769073119703329,0.005120358002260796,0.0006538449593310086,0.0,0.0015336316872157176,0.0005484303695493631,8.28615367171578e-05,0.00017593154367410912,0.0006440923426978163,0.00011374502169154082,0.0011159115724486482,0.00011815236143346103,0.0009937114471373853,0.0001162853985623208,0.001086615487892994,0.00010021693622969553,0.0010628451234246843,8.61061290107326e-05,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,2.0,,,,,,,,,,,,,,,,0.007838558101054258,0.0026121894893406323,0.0004369803944473746,0.0008771446703365014,0.0032143225430128516,0.0004957573687505422,0.005009580333277864,0.00042343402058823303,0.0050734319027114965,0.000527298019367194,0.0048404482175719065,0.000512976550830985,0.005300470493124716,0.0005312920460161173,0.0,0.0016301708080055258,0.000550635299592648,8.653091251689469e-05,0.00018014724685175398,0.0007085101258365366,0.00011246758852043564,0.0010955606027433494,9.389796025669478e-05,0.0010873333141810167,0.00011127156951035451,0.001106144684665608,0.00010290206723778717,0.001063100812891423,0.00011187783791369826,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,3.0,,,,,,,,,,,,,,,,0.008278002529024327,0.002605936812154902,0.00043506587638795,0.000858241375887169,0.0029928265376292437,0.0005442260664963873,0.0049147538419039745,0.0004566724664010342,0.0050106955774175295,0.000530841496755492,0.004807361641769889,0.00045440280399982284,0.00539621354648902,0.0004379811151972357,0.0,0.001720846663266822,0.000549027821767041,8.526975615326606e-05,0.0001758153065838261,0.0006601632782339569,0.00012315667141479943,0.0010659712344167046,0.00010377684773781872,0.0010588550664022605,0.00010983330621873593,0.0011128139785036566,9.9439013277424e-05,0.0010702683919202286,9.141622407417091e-05,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,4.0,,,,,,,,,,,,,,,,0.008931397641979673,0.0026131883357305946,0.0004418200854235475,0.000887215793507654,0.003052244076873164,0.0005187870196576388,0.004994600448968276,0.0004902861590655344,0.004867422505744598,0.0005033612251281738,0.004977700845250544,0.0004989844541879569,0.005298521158830175,0.0006053951926201395,0.0,0.0018712452479771205,0.0005512787004044113,8.839535504338554e-05,0.00018307492337779537,0.0006694298543000173,0.00010377461858836788,0.001107134507351487,0.0001060892187681481,0.0010476070594273488,0.00010662242730030153,0.0011187268877929112,0.00010422315960624469,0.0010564869465532329,0.00012982094464597676,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,5.0,,,,,,,,,,,,,,,,0.009511266114576807,0.0026171501702482594,0.00045224869588636,0.000892664557732876,0.003053214338214485,0.000509076382753984,0.004999100037340848,0.00044822327370913525,0.005026186037363496,0.0005102997306008009,0.004939800163484969,0.0005335128813419702,0.005300347535115368,0.0005775756149921777,0.0,0.001987830969201265,0.0005513893947447085,8.930279961172139e-05,0.00018261168202299955,0.0006716411188023484,0.00010994604896663655,0.0010928229662285982,9.740544658786846e-05,0.0010758025466271167,0.0001089302396195918,0.0011136756753021815,0.00010572307595024211,0.0010544072103628895,0.0001235766753032201,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,6.0,,,,,,,,,,,,,,,,0.009803671506965685,0.0026163134559895255,0.00045043539326145964,0.0008910467977043967,0.0030198703109497174,0.0005052210587375568,0.005001459856453182,0.0004556741823190413,0.004971232804112464,0.0005191108153301215,0.004954609855915765,0.0005295733985660961,0.005292250675225408,0.0005625199128246908,0.0,0.0020531962181358646,0.0005514253422899066,8.912518058183059e-05,0.0001833763003670623,0.0006574153148919384,0.00010845149463077762,0.0011166526140228435,0.0001024918936976204,0.001044549790996747,0.00011174697077499245,0.0011095906685626088,0.00010939666403914398,0.0010444088123558023,0.0001197742182771472,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,7.0,,,,,,,,,,,,,,,,0.009686696454414032,0.002604476123485925,0.000433392401011485,0.0008624517505273879,0.003059706252763373,0.0005311256965751168,0.004764997359341795,0.00047816228379243575,0.004815365533408879,0.0004986981457134463,0.004962418064381341,0.00048728484027790573,0.005392577288285742,0.0004756101553545058,0.0,0.002020793944356255,0.0005482090611984787,8.428646025631948e-05,0.00017564036855800453,0.0006690848083343905,0.00010692334239373631,0.0011072158813476562,0.00011764737875313772,0.0009565868306995402,0.0001058298542171797,0.0011242540538150346,0.00010232563128047233,0.0010541878299250437,0.00010065688196860876,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,8.0,,,,,,,,,,,,,,,,0.009827445887919492,0.002607175014303915,0.0004402836257556699,0.0008674176796427313,0.002922763597613356,0.000513356014992456,0.004930562943032703,0.00047986242193845836,0.00480341911315918,0.0005184513217998001,0.004998525733467918,0.0005204779734401583,0.005333531202760132,0.00041836692289736285,0.0,0.002053846728126958,0.0005483350985133744,8.536893322140059e-05,0.00017572947428875536,0.0006358280124430715,0.00010686892905646579,0.0011219224036543196,0.00012173494600221475,0.000951284025557279,0.00011185149981005173,0.0011166649044684644,0.00010487473396599453,0.0010645551822898844,8.884254049740711e-05,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,9.0,,,,,,,,,,,,,,,,0.009636502595817519,0.0025911006912495353,0.00042691320743200913,0.000827495407008525,0.003006151173512758,0.0003896082441012065,0.005180777618720097,0.0006255299415228501,0.004276118188534143,0.0004514769750571101,0.005102805746426372,0.0004994123705528067,0.0052807079920978665,0.000365709569656624,0.0,0.0020105086889549728,0.0005457628207065346,8.501884630426884e-05,0.0001661260273418015,0.0006643961954654012,8.145385394199197e-05,0.0011671287512200863,0.0001452007102516462,0.0009146109424190058,9.306181834714432e-05,0.0011577530691244532,0.00010077926428170217,0.0010674049590797116,6.987728841221236e-05,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,10.0,,,,,,,,,,,,,,,,0.010198115552746275,0.00261998251549103,0.0004584442519541806,0.0009055564051154275,0.0026945674371940424,0.0005261164228871183,0.004970028715313606,0.00047524877876605625,0.004912605450588203,0.0005009510325935651,0.0051087377206334526,0.0005539757369449304,0.00524179515598705,0.0006144540208690571,0.0,0.002139783291161221,0.0005529450599074042,9.26435716711286e-05,0.0001872068828328279,0.000586707632881538,0.00010904447850834006,0.0011170863944565189,0.00010165644463181817,0.0010539082825344527,0.00011251585663489575,0.0011220959961574996,0.00011047342355360561,0.0010628354035297815,0.0001328718469470659,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,11.0,,,,,,,,,,,,,,,,0.010222163590245277,0.002608142558883571,0.00044554214245118436,0.000872204138797784,0.002910030031397607,0.0005442927468497798,0.004737278200545401,0.0004726170837504309,0.0049180699594365725,0.0004719794733719256,0.005057878089400957,0.0005387736004103655,0.005255627182294738,0.0004671466238093826,0.0,0.0021290279462973707,0.0005487772332368835,8.712685855251117e-05,0.00017572879148622085,0.0006409917472363158,0.00010506384014440676,0.0010974399163073928,0.00011641783213037044,0.001000291173348851,0.00010498638222159723,0.0011164755673421362,0.0001066501209678033,0.0010584945466640503,9.680562464374738e-05,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,12.0,,,,,,,,,,,,,,,,0.010174530107270248,0.0026089541567196634,0.0004389944410174148,0.0009029818780767093,0.00269119174414024,0.0005694034058342939,0.004607462283200438,0.0006123142047498211,0.00436860960234636,0.00047627138266773345,0.0049978674582715306,0.0005165397089982183,0.005227287610371907,0.0007346364312201926,0.0,0.0021210229300424417,0.000546113580384987,8.44314654239747e-05,0.00016864445411934043,0.0006047081834117307,0.00010604102094218415,0.0010874393493981373,0.00013108137804221593,0.0009499854957961008,0.000105169734784535,0.0011092932879764115,0.000104857402831075,0.0010635745171909384,6.487668363874492e-05,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,13.0,,,,,,,,,,,,,,,,0.010201318458940997,0.002603666400009731,0.0004324741989561597,0.000892446663394664,0.0027115313713450173,0.0006832604138356335,0.004201362717826411,0.000554866854499721,0.004488327593173621,0.0005942647280932972,0.00464707687965729,0.0005568885859453454,0.005139056241737222,0.00041095345462643126,0.0,0.0021471463123743104,0.0005486703545578085,8.610797659406122e-05,0.00018125842764692488,0.0005955809418957669,0.00012675652687119023,0.0010022680071807614,0.00013286366335786578,0.000938359296546792,0.00013003297491536307,0.0010237581325027178,0.00011961811756830652,0.0010083406922630866,8.607831484866592e-05,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,14.0,,,,,,,,,,,,,,,,0.01050923155538691,0.0025956608214468325,0.00043179975740564695,0.0008414610751769827,0.0028027199171518054,0.0006133987093871494,0.004405338809175312,0.0004593217803997064,0.0048343258083991284,0.0005032790813056178,0.004974303380498347,0.000468137504169776,0.0053056362290052495,0.00036284854670740524,0.0,0.0021684444496895103,0.0005460363835337348,8.3810260715189e-05,0.00016961216605255867,0.0006193344256032055,0.00012426681796495485,0.001010328370605839,0.0001142395514683582,0.0009797175296875986,0.00010607555267624456,0.0011194059951607428,0.00011075489885723494,0.0010331010400766955,7.222497439127405e-05,0.0
ResidualNeuralNetwork,0.0001,8.0,45.0,True,15.0,,,,,,,,,,,,,,,,0.010665015604510997,0.0025916033945743394,0.0004292653885277562,0.0008426995584799808,0.0024951983185023635,0.0006327712966960931,0.004260963239010025,0.0005381159812399426,0.004580206091298997,0.0005179247672452866,0.004891757320308086,0.0004748418552320708,0.005235399090269077,0.00033600049667388386,0.0,0.002185716783261363,0.0005450723065198914,8.356967323391906e-05,0.00016914348235991445,0.0005465966743651662,0.00012778023865345033,0.0009688012040850288,0.00012832024508730743,0.0009211585367464955,0.00011327443016828553,0.0010934709859986831,0.0001145791553583428,0.0010186157457912064,6.139212139854533e-05,0.0
