Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train N BCE Loss,train N BCELogits Loss,train N MSE Loss,train N MAE Loss,test N BCE Loss,test N BCELogits Loss,test N MSE Loss,test N MAE Loss
NeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.00032824139309057973,0.000549459272639128,8.037600495583928e-05,0.00016707427940278684,0.0016140266784332084,0.0026061829156095876,0.0004058332656914333,0.0008158333271554431
NeuralNetwork,0.0001,8.0,45.0,True,1.0,0.00030679822048408325,0.0005451365301229884,7.390721909440753e-05,0.00015737698727219575,0.0015080063223089062,0.002585011083374983,0.00037143887869966856,0.0007719055942769321
NeuralNetwork,0.0001,8.0,45.0,True,2.0,0.00027466703939309337,0.0005375042437221805,6.371393619039951e-05,0.0001395045606434506,0.001343731329126178,0.002546025147228121,0.0003175274849687732,0.0006844059288876611
NeuralNetwork,0.0001,8.0,45.0,True,3.0,0.0002445145999646251,0.0005294136763261656,5.4072066539060076e-05,0.00012100164620381481,0.0011808983747314357,0.0025030777514355737,0.0002639475717859448,0.0005900700043582316
NeuralNetwork,0.0001,8.0,45.0,True,4.0,0.00022480934055025043,0.0005234307998595533,4.768006583911711e-05,0.00010741912732227151,0.0010756593455308638,0.0024710522507721522,0.0002289739372970173,0.0005218624225202597
NeuralNetwork,0.0001,8.0,45.0,True,5.0,0.00021304133928047036,0.0005195113928170217,4.384453807558332e-05,9.866185345739689e-05,0.0010208492196580898,0.0024516843025039576,0.0002109673834821713,0.00048129705700484463
NeuralNetwork,0.0001,8.0,45.0,True,6.0,0.00020583851559142862,0.0005169887186060697,4.1507764385556276e-05,9.301393179880641e-05,0.0009903185210137996,0.0024398070461345168,0.00020049730280660233,0.0004562504074108676
NeuralNetwork,0.0001,8.0,45.0,True,7.0,0.0002010159616200429,0.0005152803466647783,3.9916809377162604e-05,8.918276694264374e-05,0.0009692827673078333,0.0024317069998327293,0.0001929400125577015,0.0004389332900257231
NeuralNetwork,0.0001,8.0,45.0,True,8.0,0.0001974814744651157,0.000513991376139083,3.873047009712924e-05,8.624631439579144e-05,0.0009533980357571967,0.0024255482280779186,0.0001872525837436412,0.00042542721490440127
NeuralNetwork,0.0001,8.0,45.0,True,9.0,0.0001946340071544493,0.0005129635976652572,3.777458922400307e-05,8.389463201366023e-05,0.0009401494039679474,0.002420596731533794,0.00018257218992935036,0.00041435940085716966
NeuralNetwork,0.0001,8.0,45.0,True,10.0,0.00019225162878190732,0.0005121540348484831,3.698022378422822e-05,8.206153815647342e-05,0.0009285342768303253,0.0024165769792952626,0.0001785093274131511,0.0004054559101848482
NeuralNetwork,0.0001,8.0,45.0,True,11.0,0.0001901398611197253,0.0005114618337379312,3.6283368571106637e-05,8.046661184804459e-05,0.0009181390768327053,0.0024130717388488963,0.00017492570357877503,0.0003976998557834505
NeuralNetwork,0.0001,8.0,45.0,True,12.0,0.00018831372582366204,0.0005108745833934156,3.5692064086542615e-05,7.90967693868673e-05,0.0009085576301850613,0.002410000975027024,0.00017166676573783347,0.00039077365079765797
NeuralNetwork,0.0001,8.0,45.0,True,13.0,0.00018669239112309048,0.0005103608347334952,3.518059980274853e-05,7.790103655137785e-05,0.0008999662204358563,0.0024073298247355335,0.00016878674146514268,0.0003846172922812168
NeuralNetwork,0.0001,8.0,45.0,True,14.0,0.00018524318290849258,0.000509902674232853,3.473351225056095e-05,7.682112409580107e-05,0.0008924135809424539,0.00240495651023193,0.00016629078525042383,0.00037909737266834427
NeuralNetwork,0.0001,8.0,45.0,True,15.0,0.00018394581792810857,0.000509500583869749,3.433954020876769e-05,7.589053452978879e-05,0.0008856075927146576,0.002402889278699767,0.00016407043022929497,0.00037423476764241104
NeuralNetwork,0.0001,8.0,45.0,True,16.0,0.00018279810719734255,0.000509151832434045,3.3993314138319935e-05,7.506382131994253e-05,0.0008795252011257147,0.0024010548426670096,0.00016212395433359925,0.00036989363296976627
NeuralNetwork,0.0001,8.0,45.0,True,17.0,0.00018173504389842565,0.0005088520821214044,3.3674442844410146e-05,7.43474359460918e-05,0.0008740768117724725,0.002399472508040614,0.00016041173828098009,0.00036619922275063374
NeuralNetwork,0.0001,8.0,45.0,True,18.0,0.00018076586594800102,0.0005085769528648603,3.338664408642648e-05,7.367594985949061e-05,0.0008692042257800793,0.0023980320624585423,0.0001588897814728179,0.00036278915292811844
NeuralNetwork,0.0001,8.0,45.0,True,19.0,0.00017990595648552209,0.000508338052307499,3.3133108460035606e-05,7.309035129463576e-05,0.0008646648072596616,0.002396737816948561,0.00015749280932564406,0.00035971808452276317
NeuralNetwork,0.0001,8.0,45.0,True,20.0,0.00017909828141693157,0.000508107024061712,3.289487815369172e-05,7.25377682405662e-05,0.0008606555514365622,0.00239553616481757,0.00015627087896350045,0.0003569314736615187
