Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train UNET BCE Loss,train UNET BCELogits Loss,train UNET MSE Loss,train UNET MAE Loss,train UNET SSIM Loss,train UNET N White MAE Loss,train UNET N Black MAE Loss,train UNET S White MAE Loss,train UNET S Black MAE Loss,train UNET T White MAE Loss,train UNET T Black MAE Loss,train UNET X White MAE Loss,train UNET X Black MAE Loss,train UNET _ White MAE Loss,train UNET _ Black MAE Loss,test UNET BCE Loss,test UNET BCELogits Loss,test UNET MSE Loss,test UNET MAE Loss,test UNET SSIM Loss,test UNET N White MAE Loss,test UNET N Black MAE Loss,test UNET S White MAE Loss,test UNET S Black MAE Loss,test UNET T White MAE Loss,test UNET T Black MAE Loss,test UNET X White MAE Loss,test UNET X Black MAE Loss,test UNET _ White MAE Loss,test UNET _ Black MAE Loss
UNeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.0007351607967901101,0.0006418189591153291,0.00022090690315894362,0.0005257286312123836,0.0010179263878517624,0.0005775815393082858,0.0002158255469445591,0.0005643720816409171,0.00011437434472163733,0.0005683260706235778,0.0005520321127539375,0.0005746388210440582,0.0003723531077814231,0.0005468533768486784,0.0,0.0034106111376540466,0.0029854838203334207,0.0010070222541221283,0.002368354197568114,0.004522191566741428,0.002678570507457421,0.0005225865346080852,0.0025842605896715847,0.0003283251334661208,0.0027199153255366678,0.0017375767980731508,0.002546853426867311,0.002574354410171509,0.0024259354708329687,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,1.0,0.0006896887185438624,0.0006316090529819705,0.00019847467099881236,0.0004966277076870284,0.0010498713123150733,0.0005459616367386357,0.00018756461111361767,0.0005295914058094076,0.00011429699725217897,0.0005389993001187265,0.0005348382613086958,0.0005428229139821548,0.00037878137232479704,0.0005188439734219862,0.0,0.0031285557731892326,0.0029430387529936976,0.000889620784693544,0.0022485786638919663,0.004821630008833036,0.002504885196685791,0.0006449346272450573,0.0024355132624788106,0.0003401712520317462,0.00251494769780141,0.002046576460952279,0.0024331345123315006,0.0026810645307384947,0.0023634922954271424,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,2.0,0.0006438885737622201,0.0006221815180585712,0.00017817183887219493,0.00046948229045559454,0.0010772107003048732,0.0005143694077540601,0.00019874728995192083,0.0005008125240912013,8.846078359213159e-05,0.0005105985705100623,0.0005393923132246074,0.0005109181622610581,0.00039267752851758687,0.0004929557161511115,0.0,0.002937598798259999,0.0028965237005701603,0.0007997326693444882,0.0021140378601146193,0.004886444231908941,0.0023460860522288196,0.0005657502783919281,0.002319453647301632,0.00018459510456466074,0.002379051356945398,0.0019963756672241404,0.002295261096654448,0.002706442801457531,0.0022206664460260165,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,3.0,0.0006008357050605219,0.0006122776681200835,0.0001589761710552514,0.0004411254208685574,0.0010958380849441366,0.00048503127059525234,0.00015898925475675782,0.00047371168984878414,6.496074868019701e-05,0.0004837288448431421,0.0005319315709193761,0.0004803158362920715,0.0003808143164591005,0.0004626863166649708,0.0,0.0027510686865392722,0.002858286758638778,0.0007195653124425396,0.0019999944938803617,0.004961880105821605,0.0022069240141214816,0.0005721519671895969,0.0021923906023397386,0.00015744310364408312,0.0022524321604074924,0.0020617289738085287,0.0021784020669805178,0.002740792508395213,0.0020991773725305713,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,4.0,0.0005658163294959261,0.0006032064757899775,0.0001426098160345278,0.00041453632704331226,0.0011092345435314273,0.0004576708910600194,0.00013442140705180618,0.0004461187959681303,4.9028440185312956e-05,0.00045994859982050973,0.0005151000466308182,0.0004527896964003776,0.0003557605643799363,0.0004325100594775053,0.0,0.0025927923010580197,0.002819593222636097,0.0006495689820943389,0.0018842486465502086,0.005003372729222945,0.0020689898691837144,0.0005324424812628788,0.002063678682975049,0.0001226080429254088,0.0021466824618525475,0.001868091476788311,0.002068960629169296,0.002658265379239928,0.0019625372856667956,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,5.0,0.0005320060365604904,0.000596333987950636,0.00012872675358445817,0.000393376115840079,0.0011247173625146994,0.00043270120402230726,0.0001572417622467257,0.000426630125534181,4.778964560468884e-05,0.00043324720506076865,0.0005411585627219105,0.0004279130713316308,0.00038039579867031376,0.0004102655176846486,0.0,0.00244798037990834,0.0027854391988718285,0.0005862063862992533,0.0017792974253120662,0.005066350763147511,0.0019630885349129733,0.0005147601448514926,0.0019746456506117335,9.509756481684979e-05,0.002010948253127764,0.002021212060496492,0.0019454819226414903,0.002773890330356622,0.001845696062411902,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,6.0,0.0005020559075065058,0.0005899601066208914,0.0001163597537500839,0.000373331282659361,0.0011364443324087196,0.0004107496246816013,0.00016844420219367406,0.0004038976209182945,5.804761400762594e-05,0.0004084773783413869,0.0005640298369117182,0.00040508666128482456,0.0003925839845703619,0.00038942204652770833,0.0,0.0022783712396081887,0.002754203366033686,0.0005205723943200501,0.0016840716952797753,0.0052121621909233294,0.0018708383512197051,0.0005572627550401028,0.0018566897455251441,0.00012250641747465674,0.001883963181537652,0.0021431376724123205,0.0018257867990049926,0.0029303909472699436,0.0017607285166686437,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,7.0,0.0004741418956103672,0.000583191726085632,0.00010483979054217068,0.00035229329310980124,0.001147867456248752,0.00038808427570322454,0.00017494585796829182,0.0003777937587059412,4.4626206400580806e-05,0.00038768543869337305,0.0005722025012712916,0.000382760384012104,0.0003921092359846172,0.00036628929913204634,0.0,0.0021381327566110863,0.0027243613072161403,0.0004664920973327925,0.0015913920957337385,0.005259542363990197,0.0017558757988911755,0.0005654892269170509,0.001729229523700738,0.00012727823319300165,0.0017878842428795197,0.002205412342863263,0.0017331385012692626,0.0029373631912207455,0.0016637952447687305,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,8.0,0.00044885655297744625,0.0005778794420375978,9.526121568165699e-05,0.00033474113099337267,0.0011558832382368585,0.0003652567008756242,0.00020627848141276933,0.0003603361044932569,4.9753606600581475e-05,0.00036519095100803837,0.0005922225125716381,0.00036193795923916797,0.0004294396571393283,0.00034772385805443613,0.0,0.002029925584793091,0.002704087105936974,0.00042532103241614577,0.0015200200320789649,0.00532688972415631,0.0016757819637562494,0.0006831724126383944,0.0016390501328234404,0.0002446303015235085,0.0016746071149718086,0.002496046465147966,0.0016328782405493395,0.0031843631522460556,0.0015923463323581145,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,9.0,0.00042069693299316653,0.0005705297555563584,8.465544473771457e-05,0.00031263124187680267,0.0011591217786712275,0.0003401607355338865,0.00015863652700041182,0.0003345632408507108,2.500204986960419e-05,0.0003488422484410741,0.0005754323580836993,0.00033985166697489286,0.0003894067035531098,0.0003226886822206955,0.0,0.0019005612007476998,0.0026717956336039417,0.00037859593453647204,0.0014219991628478907,0.005324252513817924,0.0015554011992688448,0.0006706582487754102,0.0015286428373564715,8.304789662361145e-05,0.0015904029960152489,0.0023745933793625743,0.0015493124348562469,0.003062881201318225,0.0014775283868957616,0.0
