Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train N BCE Loss,train N BCELogits Loss,train N MSE Loss,train N MAE Loss,train N SSIM Loss,train N N White MAE Loss,train N N Black MAE Loss,train N S White MAE Loss,train N S Black MAE Loss,train N T White MAE Loss,train N T Black MAE Loss,train N X White MAE Loss,train N X Black MAE Loss,train N _ White MAE Loss,train N _ Black MAE Loss,test N BCE Loss,test N BCELogits Loss,test N MSE Loss,test N MAE Loss,test N SSIM Loss,test N N White MAE Loss,test N N Black MAE Loss,test N S White MAE Loss,test N S Black MAE Loss,test N T White MAE Loss,test N T Black MAE Loss,test N X White MAE Loss,test N X Black MAE Loss,test N _ White MAE Loss,test N _ Black MAE Loss
NeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.0003254254551910647,0.0005485147157448,7.856059869665984e-05,0.00016741106171170978,0.0008893932892928351,9.511875094107861e-05,0.0011020259394478606,8.835864436594302e-05,0.0010436307387853246,9.71336811379281e-05,0.0010850701852628806,9.466738834214018e-05,0.001029516728419178,9.109482490470146e-05,0.0,0.0015998424599005742,0.002601286712682472,0.0003964961418565714,0.0008165800721390442,0.004014302949427148,0.0004228437846561648,0.004970108188173306,0.0004053304686486346,0.004822839356068545,0.0004452459467282085,0.004949595943187018,0.0004612709741172551,0.0051777973864813275,0.00042557664824731693,0.0
NeuralNetwork,0.0001,8.0,45.0,True,1.0,0.00027392660029172255,0.0005379675854891137,6.406389759235947e-05,0.000139177668930064,0.0009866225676248312,7.797179196401427e-05,0.0010326331998460054,8.110739692362814e-05,0.0008832574533323715,8.295892644924616e-05,0.0010914218554278269,7.666790521530449e-05,0.0010189191511056493,3.871706507678302e-05,0.0,0.0013465556146213843,0.0025506341982187717,0.0003236665056561524,0.0006850630326091119,0.004453322937162957,0.0003440266697661682,0.004843799947942578,0.00036307913983393017,0.004028126503686485,0.00034907521129404223,0.00505764679338947,0.000362906019267796,0.005183706868369624,0.0001814593590280545,0.0
NeuralNetwork,0.0001,8.0,45.0,True,2.0,0.00023255113642813382,0.0005278737959514731,5.283115828294317e-05,0.00011168139160804028,0.0010372286050111426,6.959007957553606e-05,0.0008966815118198446,6.427493378158529e-05,0.0007746896814464559,6.066811976407095e-05,0.0010749352267488959,5.459198552482533e-05,0.0009670877713720111,9.347625061708963e-06,0.0,0.0011434227040728682,0.0025012519374583504,0.00026551774650249843,0.0005564969384445334,0.004672528760177597,0.0003210970862481579,0.004081101537500537,0.0002872548622530211,0.003618295837498311,0.00027771017648888836,0.004787603264334817,0.00022031411341151352,0.005174811156290882,3.9895032913242495e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,3.0,0.00022011902936385327,0.000524191441882974,4.9076231342120315e-05,0.00010274560504525177,0.0010583356406413794,6.557078755930106e-05,0.0008382770732406657,5.4957942580277064e-05,0.0007427738040605324,5.194466470708101e-05,0.00105367171153868,4.9713727920203196e-05,0.0009349103404505234,5.817327603215798e-06,0.0,0.0010843194505703523,0.002483255833199939,0.00024538245872131683,0.0005164084100873215,0.0047643849284330865,0.00029978575477810027,0.0037343903157696034,0.0002556607220907631,0.0034754789850246983,0.0002580271248922408,0.004648539630122155,0.0001911333404809424,0.005100398318572614,2.445798490266755e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,4.0,0.00021228493464924898,0.0005218661377693444,4.623395031835191e-05,9.786478191051843e-05,0.0010686803915970987,6.18763388488492e-05,0.0007983241280455474,4.9285796493532845e-05,0.0007094390630079408,4.9056565625005654e-05,0.0010347056260327444,4.905929181453674e-05,0.0009053879671019685,4.985183351886562e-06,0.0,0.0010468548386351867,0.0024721393795133387,0.00023138551217205118,0.0004946123691474866,0.004808886900781015,0.0002804436023880101,0.0035386370412958494,0.00023376227081196862,0.0033166521000412277,0.00024937306466342517,0.004552169415935781,0.0001924877646584181,0.005015120566266138,2.1653661340381365e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,5.0,0.00020355636861446412,0.0005190137904287992,4.245456800145923e-05,9.29025646971885e-05,0.001075535942346529,6.032514202626889e-05,0.0007387410116324206,4.630471577220207e-05,0.0006438112564164031,4.8286459757632645e-05,0.0010093456169344343,4.995155406769395e-05,0.0008613849585911013,4.817340071149914e-06,0.0,0.0010020822848913805,0.002457592097468346,0.0002119298907195997,0.00047023669353820995,0.00484238665152018,0.00027496676962330657,0.0032585177031702966,0.0002219697355099444,0.0030054843650673922,0.0002478685628318187,0.004402631483737778,0.00019807307600225294,0.004888306998606748,2.1071483691533405e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,6.0,0.00019358835532016187,0.000515267453746333,3.795716359287581e-05,8.666381802199021e-05,0.0010816138532981103,6.00322398214006e-05,0.0006545090450430816,4.491577994309346e-05,0.0005398811195095915,4.8403409774091365e-05,0.000976009349617354,5.1783608659258427e-05,0.0007984519326140618,4.85395786736532e-06,0.0,0.0009488919808429742,0.0024377002656084936,0.00018801420645893745,0.0004373665594454831,0.004875906612939094,0.0002777733658469698,0.0028596527921328756,0.00021602145437174623,0.0025139158626772324,0.0002496548278151818,0.004196843636110894,0.0002035799688138302,0.0047123634590292875,2.114669384680829e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,7.0,0.0001854920845147413,0.0005117684120759167,3.4549464333571515e-05,8.056273136659453e-05,0.001086833506040597,5.9692374859858714e-05,0.0005757347994416229,4.3664529236821794e-05,0.00043564902322311606,4.84475559703102e-05,0.0009471717870460366,5.317439709230253e-05,0.0007385609124227354,4.898697122770821e-06,0.0,0.0009049873494502133,0.0024188190886059646,0.00016964136757565744,0.00040443991340181364,0.00490719267560305,0.0002797943006896373,0.002495487905898184,0.0002107085109506763,0.0020164215714676575,0.00024982986960021207,0.003998787148193743,0.00020667191290255614,0.0045483895817642695,2.1264394862378168e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,8.0,0.00017993085869560344,0.0005091736419502937,3.252640075359062e-05,7.572458841087362e-05,0.0010916538860523185,5.8981477009318265e-05,0.0005212954353450765,4.222480996921056e-05,0.00035572220694343997,4.8085083216027105e-05,0.0009278129695882052,5.34577701853292e-05,0.0006955885340903968,4.901630098547415e-06,0.0,0.0008744946065938697,0.002404658487008053,0.00015855928496369775,0.00037787878100977004,0.004935304926763105,0.0002773740803295711,0.0022439244408277597,0.00020422676355583863,0.0016309504613936322,0.00024720761667257584,0.0038568429976889172,0.00020604737618434355,0.004436810436488697,2.12789109011866e-05,0.0
NeuralNetwork,0.0001,8.0,45.0,True,9.0,0.000176256397021106,0.0005074034562972035,3.136106016179622e-05,7.224345524516709e-05,0.0010957860158340676,5.7989866987392906e-05,0.00048690480042018014,4.087110373851745e-05,0.00030177616767806183,4.759020701733561e-05,0.0009149175609218464,5.3137992671879154e-05,0.0006681731688687101,4.873657159788429e-06,0.0,0.0008543484240957776,0.0023949989732706322,0.00015219107691971762,0.00035881028516487505,0.004959204744541462,0.00027410008903569396,0.002076335860498296,0.00019767899183357286,0.0013643672818657738,0.00024405470902814805,0.0037729402758040517,0.00020390577942320387,0.0043681488846832855,2.1362438528511508e-05,0.0
