Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train D BCE Loss,train G BCE Loss,train D BCELogits Loss,train G BCELogits Loss,train D MSE Loss,train G MSE Loss,train D MAE Loss,train G MAE Loss,train D SSIM Loss,train G SSIM Loss,train D N White MAE Loss,train G N White MAE Loss,train D N Black MAE Loss,train G N Black MAE Loss,train D S White MAE Loss,train G S White MAE Loss,train D S Black MAE Loss,train G S Black MAE Loss,train D T White MAE Loss,train G T White MAE Loss,train D T Black MAE Loss,train G T Black MAE Loss,train D X White MAE Loss,train G X White MAE Loss,train D X Black MAE Loss,train G X Black MAE Loss,train D _ White MAE Loss,train G _ White MAE Loss,train D _ Black MAE Loss,train G _ Black MAE Loss,test D BCE Loss,test G BCE Loss,test D BCELogits Loss,test G BCELogits Loss,test D MSE Loss,test G MSE Loss,test D MAE Loss,test G MAE Loss,test D SSIM Loss,test G SSIM Loss,test D N White MAE Loss,test G N White MAE Loss,test D N Black MAE Loss,test G N Black MAE Loss,test D S White MAE Loss,test G S White MAE Loss,test D S Black MAE Loss,test G S Black MAE Loss,test D T White MAE Loss,test G T White MAE Loss,test D T Black MAE Loss,test G T Black MAE Loss,test D X White MAE Loss,test G X White MAE Loss,test D X Black MAE Loss,test G X Black MAE Loss,test D _ White MAE Loss,test G _ White MAE Loss,test D _ Black MAE Loss,test G _ Black MAE Loss
GenerativeAdversarialNetwork,0.0001,8.0,45.0,1.0,0.0,0.00036159434890490016,0.00037880137442257206,0.000787448368946497,0.0005650506267007792,0.0001086244746199194,8.974830818304796e-05,0.00025580469970754537,0.0002222991776916216,0.0,0.0003842400953673492,0.0,0.00015199741705087318,0.0,0.0011144174398437664,0.0,0.00014933335250921325,0.0,0.0010753106878131549,0.0,0.00014721808046343514,0.0,0.0010868282812946247,0.0,0.0001533971722877893,0.0,0.0010489192452392167,0.0,0.00015614922798547461,0.0,0.0,0.0013251712299742788,0.001841833194096883,0.003606128992524537,0.0026780200079552035,0.00035397605326190686,0.0004487871748846282,0.0010006846684329914,0.001070760799653875,0.0,0.0017357488063928302,0.0,0.0006938402382832653,0.0,0.004991495009488279,0.0,0.0006949297099743249,0.0,0.00499761366994126,0.0,0.0006963827137677175,0.0,0.0049324931588562776,0.0,0.000715021161163378,0.0,0.005177498988385471,0.0,0.0007245990465272147,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,1.0,0.0003204236655543757,0.00034199940226470045,0.0007727420876289635,0.0005516697052675438,9.854056563660142e-05,8.177288840562507e-05,0.00022048475045078207,0.0001757952643211961,0.0,0.0006530661664666893,0.0,0.00010276405075489671,0.0,0.0011068831556890852,0.0,9.543751931254754e-05,0.0,0.0010557234126602542,0.0,0.00010288242662370687,0.0,0.001079308135168893,0.0,0.00010377204803764981,0.0,0.001026191158757377,0.0,0.00010458692265649369,0.0,0.0,0.0011184484516299745,0.0016728559005185493,0.0035335181644127805,0.0026149950312368527,0.0003065950465652178,0.0004100741923979993,0.000821612259876803,0.0008531512704285436,0.0,0.002948526731026947,0.0,0.00045684860937250486,0.0,0.00494458240533025,0.0,0.0004385850808155612,0.0,0.004877624271800683,0.0,0.0004783840205684398,0.0,0.004904348520362902,0.0,0.0004986163299038725,0.0,0.005159566237491631,0.0,0.0004869357876057895,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,2.0,0.0003106056278285312,0.0003292160133788528,0.0007721684531702828,0.0005473596950104294,9.544269053762492e-05,7.779494610758162e-05,0.00021726387048346012,0.00016574246301805234,0.0,0.0007823322811404092,0.0,9.488573453497051e-05,0.0,0.0010837319726249922,0.0,8.810554553234995e-05,0.0,0.0010160925896019947,0.0,9.83148993989528e-05,0.0,0.001069915021526203,0.0,9.599150311593418e-05,0.0,0.001009446189731279,0.0,8.887315615810796e-05,0.0,0.0,0.0010873653791235677,0.001614878200135141,0.0035304168485245616,0.0025942153150930345,0.0002988792674721412,0.0003897940165966562,0.0008067660174279843,0.0008055743931224511,0.0,0.003536312346343319,0.0,0.0004186844863231827,0.0,0.004882500981384853,0.0,0.0004015863410331918,0.0,0.004663691205798455,0.0,0.00044470116402368123,0.0,0.0048930228881116184,0.0,0.00046699142680977875,0.0,0.0051084464451052105,0.0,0.0004152634046362631,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,3.0,0.0003442495177698264,0.00032091401818627616,0.0007747085589282917,0.000543255730459311,0.000108417244050702,7.246977416170897e-05,0.00022338218284103105,0.00015970055425584798,0.0,0.0008499419588461285,0.0,9.312609215630997e-05,0.0,0.0010532570495759702,0.0,8.966772744276453e-05,0.0,0.0009563680928993739,0.0,9.889595431458918e-05,0.0,0.0010666987002699202,0.0,9.415174189282235e-05,0.0,0.0009969033481618465,0.0,7.46340523511573e-05,0.0,0.0,0.001178027886264729,0.0015774631650192932,0.003537318991415156,0.0025742546942249035,0.0003341104858701334,0.00036263292503057036,0.0008227314401722555,0.0007770674408606763,0.0,0.003844309675790795,0.0,0.00041236002115333604,0.0,0.0048081882344851706,0.0,0.0004061814749015952,0.0,0.004357885264750547,0.0,0.00043325599446986454,0.0,0.004904774374931863,0.0,0.0004570071333609287,0.0,0.005077349689771545,0.0,0.0003494001550119628,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,4.0,0.00038152884922901573,0.00031810330171790725,0.0007814732844617488,0.0005386264096051857,0.00011984917593773485,6.556887972869e-05,0.00023673016909319116,0.00015103153261855607,0.0,0.0008710856863820726,0.0,9.114652711426151e-05,0.0,0.0010093429660540064,0.0,9.09968226585748e-05,0.0,0.0008817625977601002,0.0,9.682139939053682e-05,0.0,0.0010633430069668917,0.0,9.05118822408815e-05,0.0,0.0009834840291272598,0.0,5.749533721057553e-05,0.0,0.0,0.001300429491876806,0.0015719343656264012,0.003564314272418712,0.002552349050089998,0.0003711122011988418,0.00032895131024924466,0.000874853733950441,0.0007371072124385233,0.0,0.003934699057579001,0.0,0.0004092901007934186,0.0,0.004653242399107735,0.0,0.00040693445213185915,0.0,0.00402889461637293,0.0,0.0004142978749934982,0.0,0.004897374776924182,0.0,0.0004300911846400807,0.0,0.005073762539797609,0.0,0.0002679893008942874,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,5.0,0.0003927889056604185,0.0003709057672325813,0.000784685348243405,0.0005340039971061151,0.00012311703874415785,5.940654166946514e-05,0.00024274545859776417,0.0001396539136566563,0.0,0.0008880807462616801,0.0,8.75605385740491e-05,0.0,0.0009574552751937003,0.0,8.696910104340299e-05,0.0,0.0008177779755502377,0.0,8.998134467158356e-05,0.0,0.0010583836916643332,0.0,8.253549348633244e-05,0.0,0.0009657163022342075,0.0,4.16310077327281e-05,0.0,0.0,0.001346550835003643,0.00185728298043305,0.0035801143766199268,0.002529951573917701,0.0003845011053970025,0.00029812872690974544,0.0009041120233775684,0.0006835742285416561,0.0,0.004003394341634552,0.0,0.00040249282833915086,0.0,0.0043990012234861745,0.0,0.00038248171690125136,0.0,0.003760010191479569,0.0,0.0003859827400378461,0.0,0.004821984647954785,0.0,0.0003781222603605978,0.0,0.005079094718837138,0.0,0.00019130855798721313,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,6.0,0.00039316565200003654,0.0005707707848510331,0.0007817985394572955,0.0005301049536450532,0.00012320909659174897,5.487428922858842e-05,0.0002376199411253402,0.00012911555942178094,0.0,0.0009117787384855579,0.0,8.447174073229581e-05,0.0,0.0009077249190235395,0.0,8.000409848124512e-05,0.0,0.0007721757631738873,0.0,8.179645011367181e-05,0.0,0.0010536639195568157,0.0,7.423690728582141e-05,0.0,0.0009468271725903946,0.0,3.0379526497861447e-05,0.0,0.0,0.0013325276239862982,0.0029012232831439133,0.0035652769436626316,0.002510788305750433,0.0003804566818963057,0.0002747884945674512,0.000877290776690597,0.0006341770197610435,0.0,0.004106780987975004,0.0,0.00039742643353324266,0.0,0.004112918421907245,0.0,0.00034974414691235287,0.0,0.0035735275010642764,0.0,0.00036118896502368853,0.0,0.004720381595803506,0.0,0.0003242877622445424,0.0,0.005080755776579275,0.0,0.00013681268026618837,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,7.0,0.00039235733429376647,0.0006408441580852087,0.0007817925950587599,0.0005268855798597927,0.00012300523987034904,5.150893125733275e-05,0.00023755324738366262,0.000120235120029141,0.0,0.0009374001323045356,0.0,8.147689852753097e-05,0.0,0.0008646477907494393,0.0,7.299881559015927e-05,0.0,0.0007355651765499475,0.0,7.413426097833885e-05,0.0,0.0010481213302303838,0.0,6.725770644743166e-05,0.0,0.0009275929465126798,0.0,2.28877819452003e-05,0.0,0.0,0.0013280133218885218,0.003268965760117057,0.0035642291764793155,0.0024949780800057656,0.0003792706103819721,0.0002570664217262148,0.0008751647839756132,0.0005933882305457157,0.0,0.0042223463875166985,0.0,0.00039108835582463245,0.0,0.0038511157035827637,0.0,0.0003224193300091246,0.0,0.0034211667828589866,0.0,0.0003405312462797705,0.0,0.0046281248518505935,0.0,0.00028018636992142637,0.0,0.0050675876485476706,0.0,0.00010082509907536537,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,8.0,0.00038735263270509214,0.000640797044710329,0.0007804183947108183,0.000524194173093112,0.00012163983562564593,4.8834273235174524e-05,0.00023492720891844551,0.00011295195658894563,0.0,0.0009618541189273366,0.0,7.845329828660764e-05,0.0,0.00082806323095152,0.0,6.756301457187878e-05,0.0,0.0007022871482725735,0.0,6.730886141084275e-05,0.0,0.0010425262052736514,0.0,6.184357436840746e-05,0.0,0.0009093859767656763,0.0,1.7990468627198366e-05,0.0,0.0,0.001309149482715055,0.003252953103503341,0.0035580659062607483,0.0024817975811988304,0.00037415290497383984,0.00024298283289063652,0.0008634939883490029,0.000560116467985717,0.0,0.004331643174606542,0.0,0.00038034103389056225,0.0,0.003635481093664589,0.0,0.0003035781705904307,0.0,0.003275941752787656,0.0,0.0003217052691762552,0.0,0.0045550368117086544,0.0,0.0002469248460523737,0.0,0.005047516627881512,0.0,7.80356708187727e-05,0.0,0.0
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,9.0,0.0003790605582316931,0.0006328048812089905,0.0007789891685115681,0.000521916183178637,0.00011939585530211663,4.6726953830680434e-05,0.000232074560341488,0.00010695689008884995,0.0,0.0009853370979063143,0.0,7.514156039673685e-05,0.0,0.0007977351506122681,0.0,6.319294781537069e-05,0.0,0.0006733619058228568,0.0,6.143207036741982e-05,0.0,0.0010366741055748213,0.0,5.766210670901759e-05,0.0,0.0008931480488687192,0.0,1.4722339728611178e-05,0.0,0.0,0.0012806531205867072,0.003181127257317117,0.003551600489226527,0.0024707189895821816,0.0003665716346329863,0.00023212588433199708,0.0008508679252000724,0.0005325226101485438,0.0,0.004436989787847876,0.0,0.0003654759775542613,0.0,0.0034627370864340344,0.0,0.000289047546919037,0.0,0.0031504139960187036,0.0,0.00030347819691933927,0.0,0.004494892351282468,0.0,0.00022205940020159355,0.0,0.005023773361302022,0.0,6.370531664516941e-05,0.0,0.0
