Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train VAE BCE Loss,train VAE BCELogits Loss,train VAE MSE Loss,train VAE MAE Loss,test VAE BCE Loss,test VAE BCELogits Loss,test VAE MSE Loss,test VAE MAE Loss
VariationalAutoencoder,0.0001,8.0,45.0,1.0,0.0,0.0003276701484407697,0.0005453507292945429,7.790402381246623e-05,0.0001634168677092241,0.0016559583585967058,0.0025912292723385792,0.00039190449898347915,0.0008198906603099415
VariationalAutoencoder,0.0001,8.0,45.0,True,1.0,0.0003209428364697171,0.000541141773812533,7.480752938037934e-05,0.00014836481719646813,0.0015492920043333521,0.0025603671868642173,0.0003687244775535176,0.0007180017682741273
VariationalAutoencoder,0.0001,8.0,45.0,True,2.0,0.0003129451904656752,0.0005402103508257802,7.369989815426644e-05,0.00014733151605508398,0.001476472278810897,0.0025541038258270646,0.0003538408884837193,0.0007208751619986768
VariationalAutoencoder,0.0001,8.0,45.0,True,3.0,0.00027142653889411863,0.0005313722753139198,6.0635199644816214e-05,0.0001359465168010835,0.001304367428305764,0.002498014543041493,0.0002851178108146356,0.0006071570440658234
VariationalAutoencoder,0.0001,8.0,45.0,True,4.0,0.00025329128349566395,0.0005219133314739341,5.1594477377811856e-05,0.0001093008306951857,0.0012501058338573144,0.002474226291824437,0.00025771370848769664,0.0005521776166352087
VariationalAutoencoder,0.0001,8.0,45.0,True,5.0,0.00022791639331858757,0.0005142897608466547,4.28351149404788e-05,9.387952458826358e-05,0.001118850126956244,0.0024363319828825175,0.00021614572443302322,0.0004721128340787108
VariationalAutoencoder,0.0001,8.0,45.0,True,6.0,0.00023944493172303686,0.0005143716569859384,4.299899758996989e-05,9.009167752818598e-05,0.0011441756344441347,0.0024215624017535514,0.00020071114384153353,0.0004240161499137399
VariationalAutoencoder,0.0001,8.0,45.0,True,7.0,0.00022840614347766351,0.00051132977169479,3.915897638328634e-05,8.315647728841581e-05,0.0011096959406474852,0.0024090812266247827,0.00018228039895213624,0.0003910640125754494
VariationalAutoencoder,0.0001,8.0,45.0,True,8.0,0.00024461396781582073,0.0005100183088503115,3.896023817059165e-05,8.100851105069214e-05,0.0011798613851175367,0.002403122823943132,0.00018316166440270981,0.00038213624894244114
VariationalAutoencoder,0.0001,8.0,45.0,True,9.0,0.000252984564580686,0.0005103498295632334,3.988031709611898e-05,8.037616561525915e-05,0.001204733672381947,0.0024040457587572012,0.0001824564130613639,0.0003931363985973334
VariationalAutoencoder,0.0001,8.0,45.0,True,10.0,0.00024973807951832075,0.000508081559543661,3.677333963688493e-05,7.689310955712095e-05,0.0012285814345257837,0.0024014883821115553,0.00018375383326842351,0.0003747352920238327
VariationalAutoencoder,0.0001,8.0,45.0,True,11.0,0.0002512299628913242,0.0005093586011074302,3.772876865539268e-05,7.93726316520146e-05,0.0012233268539860564,0.0024013427443474343,0.0001784239151755219,0.00037908350240509463
VariationalAutoencoder,0.0001,8.0,45.0,True,12.0,0.00025732483905602016,0.0005081904464654845,3.7622951834670936e-05,7.379587207521711e-05,0.0012639841568544976,0.0023968369705871964,0.00017570595274556358,0.0003629094399746109
