Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train D BCE Loss,train G BCE Loss,train D BCELogits Loss,train G BCELogits Loss,train D MSE Loss,train G MSE Loss,train D MAE Loss,train G MAE Loss,test D BCE Loss,test G BCE Loss,test D BCELogits Loss,test G BCELogits Loss,test D MSE Loss,test G MSE Loss,test D MAE Loss,test G MAE Loss
GenerativeAdversarialNetwork,0.0001,8.0,45.0,1.0,0.0,0.00015999246238055577,0.000273940698155817,0.0007357860029225722,0.0005391593570657818,3.016421275158134e-05,6.143219086198472e-05,0.00014086461292122895,0.0001505560108593532,0.000725709651626131,0.0013194327834267286,0.003436524163252153,0.002549419050696511,0.000135424423892543,0.0003000252276846448,0.0006385230043399259,0.0007278639003165863
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,1.0,0.00013247832173928417,0.00022528766380808745,0.0007267658601231331,0.0005251370028986764,2.7000632970480906e-05,4.589382930585959e-05,0.00011173005132983637,0.00011828726514009131,0.0006946952275510104,0.001071225828344717,0.003411210183077638,0.0024765235073161574,0.000148071233862601,0.00021930898791589078,0.000591001514368837,0.0005664366689867944
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,2.0,0.00014778531866896185,0.00020655106020102282,0.000732606151354602,0.0005186458401924195,3.287911595841945e-05,4.031047767224016e-05,0.00012140168815931542,0.00010224327324535648,0.000754016656545723,0.0009893980228675987,0.0034451211023630588,0.002446018299966488,0.00016962463891356247,0.00019429745914051368,0.0006285732928312049,0.0004942825755233285
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,3.0,0.00015603347287345125,0.0001971344501181754,0.0007287479153861897,0.0005149906375658801,3.440490097932096e-05,3.751156716092899e-05,0.0001257664531549675,9.302494701028192e-05,0.0008143541760414651,0.0009477491836127995,0.0034539238461908303,0.0024283781366528207,0.00018168192755126352,0.00018090711402818092,0.0006924190986081489,0.0004514219157350888
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,4.0,0.00017142358092927547,0.0001913877028339314,0.000737890721652707,0.0005126131191407896,3.927927514452819e-05,3.578619042416467e-05,0.00014146536869822808,8.699123187849142e-05,0.0009383396157678568,0.0009202391096630936,0.0035102652303827635,0.002416321691477074,0.00022712687276444345,0.00017158684771765702,0.0007839063709636904,0.0004216491145157964
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,5.0,0.00017518351341514897,0.0001875131599344012,0.0007424552967606208,0.0005109217369331504,3.869898838174311e-05,3.4583340878435224e-05,0.0001484655205290915,8.273113649489102e-05,0.0010410964301547164,0.0009011580321773792,0.003549274783464348,0.0024075210094451904,0.00026405670639104064,0.0001647816912370658,0.0008557563495336089,0.0003999132405287065
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,6.0,0.0001991203812897366,0.00018481649157171945,0.0007496758933979868,0.0005096670671935994,4.816771738452089e-05,3.370099683415215e-05,0.0001630745426503153,7.958881898389029e-05,0.0011023812511432097,0.0008879779082424236,0.003558669075276117,0.002400922137986189,0.0002808427004694189,0.0001598000409280729,0.0009016088157329919,0.0003836264822093196
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,7.0,0.00020516207918645237,0.0001828604229698284,0.0007522251567429288,0.0005086951178681819,4.94372732234451e-05,3.3013517604362614e-05,0.00016877665673947399,7.722111082462609e-05,0.0012309989839229944,0.0008788196920598828,0.003601332505544027,0.0023958763611391654,0.00033789601340983647,0.00015606113809084741,0.000981169395476767,0.0003711756951404068
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,8.0,0.0002593772028977016,0.0001813879793866304,0.000770921655742306,0.0005078831853249645,7.736337976153649e-05,3.2460826607245317e-05,0.00019081533356818227,7.527860288189428e-05,0.00130028394783068,0.0008723928868395727,0.0035977303606909024,0.002391732526275347,0.00036729356777742976,0.00015316543948350463,0.0010214069354459174,0.00036102226414020706
GenerativeAdversarialNetwork,0.0001,8.0,45.0,True,9.0,0.0001964732161108053,0.00018019897918495527,0.0007452453082462527,0.0005071917473466569,4.5317262812766104e-05,3.198335434227298e-05,0.00016155612034939048,7.365750917045253e-05,0.0012843739124214124,0.0008681189713987915,0.0036207347545983656,0.00238829420047736,0.0003567772372713629,0.00015084637598421587,0.0010145110716609834,0.0003527401706332681
