Model Name,Learning Rate,Down Scale Factor,Batch Size,Noise,Epoch,train UNET BCE Loss,train UNET BCELogits Loss,train UNET MSE Loss,train UNET MAE Loss,train UNET N White MAE Loss,train UNET N Black MAE Loss,train UNET S White MAE Loss,train UNET S Black MAE Loss,train UNET T White MAE Loss,train UNET T Black MAE Loss,train UNET X White MAE Loss,train UNET X Black MAE Loss,train UNET _ White MAE Loss,train UNET _ Black MAE Loss,test UNET BCE Loss,test UNET BCELogits Loss,test UNET MSE Loss,test UNET MAE Loss,test UNET N White MAE Loss,test UNET N Black MAE Loss,test UNET S White MAE Loss,test UNET S Black MAE Loss,test UNET T White MAE Loss,test UNET T Black MAE Loss,test UNET X White MAE Loss,test UNET X Black MAE Loss,test UNET _ White MAE Loss,test UNET _ Black MAE Loss
UNeuralNetwork,0.0001,8.0,45.0,1.0,0.0,0.0007323400993552812,0.0006398318832454013,0.00021874229863004866,0.000520856433480255,0.0005577609866777199,0.00015699914644027978,0.0005428137162303667,8.335177387510027e-05,0.0005599751948025028,0.0004532346426637346,0.0005540967469588123,0.00037357648909895245,0.0005292453052541317,0.0,0.003317124063863694,0.0029900270812916307,0.0009856574565359631,0.002384248769508218,0.002572387456893921,0.000628931998456799,0.0025211572647094727,0.00038956754706190815,0.0025843038873852426,0.0020197515592635055,0.002516593948100348,0.0024803273332943705,0.002446254281877722,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,1.0,0.0006818809117268359,0.0006272092742739984,0.00019383719667912815,0.00048615644884238027,0.0005266765619545291,9.43040068580134e-05,0.0005090264779216839,3.978505610134402e-05,0.0005298356884573347,0.00045097982787057717,0.0005201486885708297,0.0002869003505077002,0.0004912424842623687,0.0,0.0030863509987885097,0.0029358968794720728,0.0008767343729546985,0.0022332580209528125,0.0024146163988413303,0.000472735918168002,0.002359342650047638,0.00020006451310601624,0.0024451735259601905,0.0019153210352051934,0.0023791613818714454,0.0024559332889580875,0.002276448333788218,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,2.0,0.0006329544149640435,0.0006175839676047271,0.00017274916172027588,0.0004587044532729609,0.0004931594322955191,0.00011786618684180021,0.00047366770933259206,2.270004137185706e-05,0.0005026520744488245,0.00044298597744532993,0.0004895538332648676,0.00029051484605372753,0.00046819717575597635,0.0,0.0028791669404731606,0.002890146753323153,0.0007835157543608228,0.0021017439335397205,0.0022653710542234985,0.0004124574878680631,0.002175079951496244,0.00011905431513141536,0.00233212263329224,0.0017737511943721172,0.0022541726910093297,0.002399569974755341,0.0021602108418566626,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,3.0,0.0005951681227054236,0.0006099852590226741,0.0001563432443174069,0.00043572425199647476,0.000465805880785631,0.0001417422350847496,0.0004571416789309355,2.9771317629961954e-05,0.0004744718498939452,0.0004618302429461415,0.00046074225735471576,0.00029493151408321454,0.00044222802646719223,0.0,0.0027025165797779395,0.002855898636691975,0.0007078716496251664,0.0019967700325468052,0.002124465861410465,0.00048313969336215805,0.002099264342829866,0.00015252085882912642,0.00219920296339119,0.0017795067913127394,0.0021239588470578943,0.0024638757015924035,0.002047963299841251,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,4.0,0.0005528650916811591,0.000601947267421815,0.00013922395892541686,0.0004121737499442705,0.0004371074091070746,0.0001438314702632935,0.00043059989930484494,2.2854442605271815e-05,0.0004459760500735671,0.0004914248728687872,0.0004355674082378171,0.00030149943182731896,0.00042062379279226626,0.0,0.002533471059499297,0.0028174620754313918,0.0006323545796316375,0.0018824871231175068,0.002002186932653751,0.0004607169601902272,0.001972294453554933,9.090645508196369e-05,0.002080167989310978,0.0018648855716177502,0.001997861847187738,0.002505497362628673,0.0019310724060490447,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,5.0,0.0005209938374491072,0.0005940496921539307,0.00012494933934545903,0.0003883666346336632,0.0004120379124047621,0.00010940548022480988,0.0004048684054629179,1.3357620796745999e-05,0.0004218444830645127,0.0005057617178503073,0.0004111777418707259,0.00030330514329463004,0.0003937629435582945,0.0,0.002397624389180597,0.0027847323777540674,0.0005717192243480082,0.0017808484581281554,0.0018873135998563946,0.00046216883936768056,0.0018471464421014367,8.950119474961323e-05,0.0019894772730533433,0.0017447400392976197,0.0018832042532147101,0.002720098637934751,0.0018110235906996816,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,6.0,0.0004890235366846995,0.0005866028067236641,0.00011173533300826491,0.0003657631796967951,0.0003883998509687233,9.46636831342692e-05,0.00038119997939652187,1.9083520010957177e-05,0.00039622818202663946,0.0005018629555432302,0.0003864984467344464,0.0003162897380214496,0.00037191679696188464,0.0,0.002228923376251317,0.0027497883112925403,0.0005068004881061099,0.0016760889839076397,0.0017869839878202234,0.0003877590474842479,0.0017745472350210515,0.00010833154731201676,0.0018189630043581597,0.0021572838414390134,0.0017609065808590104,0.0027417086955136474,0.0017130955960015831,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,7.0,0.0004607814180883115,0.0005799683759797294,0.00010016057489695897,0.00034503931947795527,0.00036361596655010213,0.00011280672047337432,0.00036081057192501677,2.2314358352008214e-05,0.00037221602513141065,0.0005088987536828794,0.0003637019193397378,0.0003102732636536549,0.00035027962810588333,0.0,0.0021140755347485813,0.002722575604540747,0.0004586363269847894,0.0015875800225719715,0.0016920774612786634,0.0005024807445658078,0.0016598723969369563,7.677494706410282e-05,0.0017115882357711311,0.00217286764450793,0.0016582705689676153,0.0029811021291984703,0.001618074358634229,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,8.0,0.00043281772226657505,0.0005731928862651403,8.92216866871096e-05,0.0003241215433393206,0.00033986885753282,0.00010394871315223509,0.0003390674883464597,1.9488497223012208e-05,0.0003497779690673088,0.0004938306271869218,0.0003413008149422083,0.00030457573839917656,0.0003291237948718418,0.0,0.0019908255001284043,0.0026907729652692687,0.0004101882003388315,0.001489232171256587,0.001578708864607901,0.00044408276583413655,0.0015518099257031328,9.222952473276066e-05,0.0016100982075217384,0.002064194881691123,0.001563112034737689,0.0028699293451489145,0.0015113694862749591,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,9.0,0.00040660212142769537,0.0005665142741807387,7.92830690460385e-05,0.0003035110283412059,0.00031904287817021906,8.931757023713659e-05,0.00032048871253699947,2.5919134003132823e-05,0.0003266855471860366,0.00044833577546790604,0.0003202397506834683,0.00029496181846628937,0.00030770369697452556,0.0,0.0018977940832294008,0.002667639990272762,0.0003745583524494051,0.0014110033242207653,0.0014860253289060773,0.000526082824985936,0.0014661992870786656,9.374619233158399e-05,0.001510596031662803,0.0019099348746005843,0.0014721712788695808,0.003089746026872839,0.00142077792365596,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,10.0,0.00038583070602057115,0.0005612221127250445,7.155630486512763e-05,0.00028621148308011077,0.00029933876345421105,7.443484471172014e-05,0.0002970401488867089,1.953053601949684e-05,0.00031123621605155924,0.00047226772314775984,0.00030143506764722963,0.00031229966091659835,0.0002872549860946573,0.0,0.0017472349997586425,0.002633629542476726,0.0003230360647042592,0.0013102994962308392,0.001379039021408033,0.00038331756426853206,0.0013687046443891225,7.782625210172725e-05,0.0014015380878868342,0.0022628037434703897,0.001376173125123078,0.0028392352023214663,0.001323952333732221,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,11.0,0.00035662145788136195,0.0005550726726048719,6.229293374520428e-05,0.00026724467460678594,0.0002786553693267534,4.8453826708292384e-05,0.0002763195219386941,2.3090564256729785e-05,0.00028975781886725414,0.0004777531980504244,0.0002832040793169541,0.0002826431570348714,0.00026945384204227007,0.0,0.001630631632774881,0.0026071678917363003,0.00028526719729855376,0.0012268308760984888,0.001282490649313297,0.00024876703724921126,0.0012763347828163292,9.339928345860176e-05,0.0013123757246905152,0.0020158165280923903,0.0012922204515469148,0.002856125996547675,0.0012380138695614893,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,12.0,0.0003414736443131439,0.0005503495668143918,5.679541942726248e-05,0.0002513716042523757,0.00026044378062142835,5.8360854690929627e-05,0.00025942377404703925,2.0974260476239606e-05,0.00027302204759294455,0.0004549909714418602,0.0002661313249094467,0.0002607808039194811,0.00025161899967656305,0.0,0.0015516857493598506,0.0025849113674283777,0.00025818182987237125,0.0011526349955384837,0.0011927626042995813,0.00023643260107100386,0.0011998553695918629,0.00012358622449748922,0.0012340776200564403,0.001998604656015552,0.0012113944914355968,0.002887437366089731,0.0011558164403123676,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,13.0,0.00031504569188603817,0.0005441252995694101,4.893564430851178e-05,0.0002325781472931011,0.0002419215569277658,3.892681850095322e-05,0.00024095434705523469,1.8914917991007112e-05,0.0002546235517350169,0.0003876498124670147,0.0002472994904312483,0.00029427319202782973,0.00023416114463960385,0.0,0.0014883592818518104,0.002566904766754534,0.00023805120456143745,0.001088394027835918,0.0011326502891456556,0.0002723557862845607,0.0011170565519692762,9.42093700920261e-05,0.0011575679359196117,0.002050627889873097,0.0011328873956728282,0.0031360329696967166,0.0010843129840287023,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,14.0,0.00029519937350100904,0.0005397969741384296,4.317423685220374e-05,0.00021811163007731064,0.00022612399650069902,4.239339190673314e-05,0.00022625009406287714,1.710211742679385e-05,0.0002368325493085095,0.00042518716295453094,0.00023127736830004462,0.0002979877382275872,0.0002193508363476982,0.0,0.0014559754972937721,0.0025544914434540945,0.0002270211822956613,0.0010374366487347106,0.0010674484308410741,0.0005731951421911612,0.001046424298166479,8.769120739878349e-05,0.0010898805826714954,0.00215997392276548,0.0010755739684374828,0.0031805776949948485,0.0010119865900315578,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,15.0,0.00028089958059819884,0.0005359753685177497,3.9036353081063116e-05,0.000204845901448129,0.00021107490814599707,4.556587824442316e-05,0.00021045271437765775,1.773566780787594e-05,0.00022256940683585934,0.0004402974223833521,0.00021682960807152513,0.0003011437921189876,0.00020456884427854635,0.0,0.0013055691741547496,0.0025216114221129028,0.00018451936871000807,0.0009439948407359094,0.0009708687569360313,0.00019154539507515024,0.0009648662130787687,8.600553111085351e-05,0.001013577921585467,0.002015313449895607,0.000986972413722824,0.0029090018767230917,0.000936606488887619,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,16.0,0.0002670606392413137,0.0005323127755578959,3.5262069190448186e-05,0.00019229319940680122,0.00019678634132015094,5.90958062689902e-05,0.00019734923168012716,2.143163023129949e-05,0.00020736622601506523,0.0004174020091157075,0.00020610599344310091,0.0002707285138795961,0.00019017556767579358,0.0,0.001239351693939113,0.0025047131304470997,0.00016722077234361158,0.0008861699006842367,0.0008971945107358057,0.00023645673345469828,0.0008982363736854409,0.00011903995284869236,0.0009454575912007746,0.002004289589587997,0.0009362063130492684,0.0027960797525801748,0.0008664902463649054,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,17.0,0.0002505318977119466,0.0005285706963500565,3.117275225987653e-05,0.00017969647668442636,0.00018187580163266781,5.831447934525996e-05,0.00018520651239590505,1.7872854635480923e-05,0.00019429921300584735,0.00043791717274812355,0.0001902889932262287,0.00029834558700294185,0.00017747656515023779,0.0,0.0011886377941887334,0.002490356095931815,0.00015476780633131662,0.0008341634423477844,0.0008438741261104368,0.0003004620004000154,0.0008404020618342753,0.00010192140046530549,0.0008785230746059298,0.002113632248632563,0.0008761784378087745,0.002851780480558767,0.0008073789331148255,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,18.0,0.00023469688355762038,0.0005245951790051319,2.6950409329644433e-05,0.00016665892459632895,0.00016947821626123392,3.6294067484349253e-05,0.0001718941322876758,2.181518451383493e-05,0.00017832709611908124,0.0004403344142147794,0.00017716878186660315,0.00028540157886206946,0.00016556290603390923,0.0,0.001140774889562115,0.0024759154649650525,0.0001422877089594895,0.0007827320376282218,0.0007876311458131802,0.0003906705375737364,0.0007818561492476074,0.00011649519298811379,0.0008174305629430328,0.00202994039223629,0.0008192925520662991,0.002719066615374583,0.0007510905464490255,0.0
UNeuralNetwork,0.0001,8.0,45.0,True,19.0,0.000247685414440227,0.0005246447022713098,3.0153064494023746e-05,0.0001625596794156694,0.00015894023355126702,4.9512612450154966e-05,0.0001624100653309064,2.138099239039614e-05,0.00017524888171661254,0.0005120509316657752,0.00017144661547360073,0.0002931179102219019,0.0001532774107314827,0.0,0.0010546199368230951,0.0024549445641115775,0.00012024645488592064,0.0007189298107189203,0.0007147207481306304,0.00017297553753702896,0.0007258312975835501,9.579974103648708e-05,0.0007676321942851229,0.0019315520547470958,0.0007538252844000763,0.002568410814933057,0.0006954486265122516,0.0
