model,material,numSamples,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time,AUC
DecisionTree,copper,120,0.99984375,0.99984375,0.99984375,0.99984375,2.222059392929077,0.1893708178179541,0.379438591003418,0.0161021036996088,0.9993783303730016
DecisionTree,copper,240,1.0,1.0,1.0,1.0,1.0890462875366211,0.0238743444769038,0.4079156398773193,0.0321824999776854,1.0
KNearestNeighbors,copper,120,0.9999330357142856,0.9999330357142856,0.9999330357142856,0.9999330357142856,0.4448973655700683,0.0615992484703562,79.74272327423095,0.2864980417821194,1.0
KNearestNeighbors,copper,240,1.0,1.0,1.0,1.0,0.2693537712097168,0.0185720204556369,33.71578283309937,0.1495846153162403,1.0
NearestCentroid,copper,120,0.6747991071428572,0.6747991071428572,0.6747991071428572,0.6747991071428572,0.183108377456665,0.0275958427797614,0.2995397567749023,0.0556583322701612,
NearestCentroid,copper,240,0.9294419642857144,0.9294419642857144,0.9294419642857144,0.9294419642857144,0.3381246566772461,0.0608780653542828,0.2835194587707519,0.0393005210380909,
RandomForest,copper,120,0.9999776785714284,0.9999776785714284,0.9999776785714284,0.9999776785714284,14.740982913970948,0.2202049713737759,0.6590674877166748,0.0340306422821415,0.999993651573888
RandomForest,copper,240,1.0,1.0,1.0,1.0,4.87946515083313,0.0989256271113739,0.5053508758544922,0.0434019970794264,1.0
StochasticGradientDescent,copper,120,0.9281026785714286,0.9281026785714286,0.9281026785714286,0.9281026785714286,0.9917985439300536,0.092187527868048,0.267989444732666,0.0231881111394629,
StochasticGradientDescent,copper,240,0.9977901785714286,0.9977901785714286,0.9977901785714286,0.9977901785714286,2.0646989822387694,0.1663819607592355,0.2853743076324463,0.015384233624584,
SupportVectorMachine,copper,120,0.9566517857142858,0.9566517857142858,0.9566517857142858,0.9566517857142858,286.6543055057526,10.821986346857534,37.230627870559694,1.739339308127617,
SupportVectorMachine,copper,240,0.9993080357142856,0.9993080357142856,0.9993080357142856,0.9993080357142856,42.81647567749023,1.4524778340824174,3.032907676696777,0.492744451466831,
