model,material,numSamples,epsilon,loss,max_iter,penalty,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time
StochasticGradientDescent,iron,120,0.01,hinge,100,l2,0.7901168014375561,0.7901168014375561,0.7901168014375561,0.7901168014375561,3.936701536178589,0.1423001482631916,0.15115199089050294,0.005217559559861669
StochasticGradientDescent,iron,120,0.01,hinge,100,l1,0.8161725067385446,0.8161725067385446,0.8161725067385446,0.8161725067385446,5.941533470153809,0.23034565823129524,0.17719097137451173,0.01344975046872743
StochasticGradientDescent,iron,120,0.01,hinge,100,elasticnet,0.7982629529799341,0.7982629529799341,0.7982629529799341,0.7982629529799341,5.917412996292114,0.2312252628166524,0.16928300857543946,0.01657457374251045
StochasticGradientDescent,iron,120,0.01,hinge,200,l2,0.8004791853848457,0.8004791853848457,0.8004791853848457,0.8004791853848457,3.9062367916107177,0.23998015731374658,0.16989917755126954,0.015025686856938707
StochasticGradientDescent,iron,120,0.01,hinge,200,l1,0.8257262653489068,0.8257262653489068,0.8257262653489068,0.8257262653489068,5.7597784996032715,0.2796169872025525,0.1547375202178955,0.007827203996556552
StochasticGradientDescent,iron,120,0.01,hinge,200,elasticnet,0.7903264450434262,0.7903264450434262,0.7903264450434262,0.7903264450434262,5.8210883140563965,0.24155310212903208,0.15402069091796874,0.006481550451051937
StochasticGradientDescent,iron,120,0.01,hinge,300,l2,0.7964061096136568,0.7964061096136568,0.7964061096136568,0.7964061096136568,3.7284810543060303,0.15791434001735435,0.1557849407196045,0.009666434881386545
StochasticGradientDescent,iron,120,0.01,hinge,300,l1,0.8177897574123989,0.8177897574123989,0.8177897574123989,0.8177897574123989,5.635571813583374,0.3634308810951542,0.16369209289550782,0.023031765452187856
StochasticGradientDescent,iron,120,0.01,hinge,300,elasticnet,0.8014375561545373,0.8014375561545373,0.8014375561545373,0.8014375561545373,5.699110746383667,0.34867806225361697,0.15614094734191894,0.008668175053827009
StochasticGradientDescent,iron,120,0.01,hinge,400,l2,0.7882899071578316,0.7882899071578316,0.7882899071578316,0.7882899071578316,3.9254422187805176,0.18103187416235583,0.16085367202758788,0.008297398061876777
StochasticGradientDescent,iron,120,0.01,hinge,400,l1,0.8172506738544476,0.8172506738544476,0.8172506738544476,0.8172506738544476,5.809765815734863,0.3888954153586385,0.15935540199279785,0.010183762451194935
StochasticGradientDescent,iron,120,0.01,hinge,400,elasticnet,0.8042228212039533,0.8042228212039533,0.8042228212039533,0.8042228212039533,5.750179100036621,0.2504304760470319,0.16041831970214843,0.016710518271402304
StochasticGradientDescent,iron,120,0.01,hinge,500,l2,0.7932015573525008,0.7932015573525008,0.7932015573525008,0.7932015573525008,3.8360766410827636,0.13980251309415007,0.16056675910949708,0.005445367519241973
StochasticGradientDescent,iron,120,0.01,hinge,500,l1,0.8233003893381252,0.8233003893381252,0.8233003893381252,0.8233003893381252,5.617537784576416,0.419646450152817,0.17155847549438477,0.018675580144514963
StochasticGradientDescent,iron,120,0.01,hinge,500,elasticnet,0.7922431865828091,0.7922431865828091,0.7922431865828091,0.7922431865828091,5.5208752155303955,0.42275282020758287,0.15581998825073243,0.009886391362958004
StochasticGradientDescent,iron,120,0.01,hinge,600,l2,0.7851153039832284,0.7851153039832284,0.7851153039832284,0.7851153039832284,3.9693097114562987,0.31432496057878445,0.15593795776367186,0.01265956094697427
StochasticGradientDescent,iron,120,0.01,hinge,600,l1,0.8208146151542378,0.8208146151542378,0.8208146151542378,0.8208146151542378,5.621106195449829,0.2764050210635106,0.16679697036743163,0.01748839373590359
StochasticGradientDescent,iron,120,0.01,hinge,600,elasticnet,0.794010182689428,0.794010182689428,0.794010182689428,0.794010182689428,5.56852650642395,0.1621861150091159,0.15533461570739746,0.009033249329305014
StochasticGradientDescent,iron,120,0.01,hinge,700,l2,0.7986223420185685,0.7986223420185685,0.7986223420185685,0.7986223420185685,3.896064281463623,0.1140448992330587,0.17722868919372559,0.030260861803421156
