model,material,numSamples,algorithm,metric,n_neighbors,weights,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
KNearestNeighbors,copper,240,auto,minkowski,3,uniform,1.0,1.0,1.0,1.0,1.0,0.2693537712097168,0.01857202045563697,33.71578283309937,0.14958461531624034
KNearestNeighbors,copper,240,auto,minkowski,3,distance,1.0,1.0,1.0,1.0,1.0,0.25739226341247556,0.010597575973856434,33.82329111099243,0.07146306814670718
KNearestNeighbors,copper,240,auto,minkowski,6,uniform,1.0,1.0,1.0,1.0,1.0,0.2563158988952637,0.013234852170740538,33.72284073829651,0.06388362111323587
KNearestNeighbors,copper,240,auto,minkowski,6,distance,1.0,1.0,1.0,1.0,1.0,0.22352967262268067,0.032016224008953875,34.34892177581787,0.2876635739394261
KNearestNeighbors,copper,240,auto,minkowski,9,uniform,1.0,1.0,1.0,1.0,1.0,0.29470233917236327,0.0968681694780185,34.09120726585388,0.16201445487659544
KNearestNeighbors,copper,240,auto,minkowski,9,distance,1.0,1.0,1.0,1.0,1.0,0.3581991195678711,0.09811756022608341,34.452933406829835,0.2147109331221271
KNearestNeighbors,copper,240,auto,minkowski,12,uniform,1.0,1.0,1.0,1.0,1.0,0.398638391494751,0.06219833325851534,34.72057576179505,0.4823221881480101
KNearestNeighbors,copper,240,auto,minkowski,12,distance,1.0,1.0,1.0,1.0,1.0,0.33722457885742185,0.05389984728743008,35.93666825294495,0.5204733093972344
KNearestNeighbors,copper,240,auto,minkowski,15,uniform,1.0,1.0,1.0,1.0,1.0,0.367080545425415,0.07918995652552908,35.894752168655394,0.1548510990420417
KNearestNeighbors,copper,240,auto,minkowski,15,distance,1.0,1.0,1.0,1.0,1.0,0.5131713390350342,0.08592368891344909,35.86917357444763,0.6744731332406386
KNearestNeighbors,copper,240,auto,minkowski,18,uniform,1.0,1.0,1.0,1.0,1.0,0.4015017032623291,0.1394868647806402,35.662998056411745,0.2974516905896967
KNearestNeighbors,copper,240,auto,minkowski,18,distance,1.0,1.0,1.0,1.0,1.0,0.41267004013061526,0.050370456468803414,35.8827187538147,0.23760818782614604
KNearestNeighbors,copper,240,auto,minkowski,21,uniform,0.9998883928571429,0.9998883928571429,0.9998883928571429,0.9998883928571429,1.0,0.4053917407989502,0.09073517231969065,35.824303245544435,0.591016263259276
KNearestNeighbors,copper,240,auto,minkowski,21,distance,1.0,1.0,1.0,1.0,1.0,0.4525760173797607,0.09660568104303618,36.627569389343265,0.20334936502608575
KNearestNeighbors,copper,240,auto,minkowski,24,uniform,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9999992971385376,0.4185356616973877,0.054171925191361665,35.787644720077516,0.17448698906131638
KNearestNeighbors,copper,240,auto,minkowski,24,distance,1.0,1.0,1.0,1.0,1.0,0.5404291152954102,0.07506690992685901,36.4931423664093,0.22707317067346247
KNearestNeighbors,copper,240,auto,minkowski,27,uniform,0.9995089285714286,0.9995089285714286,0.9995089285714286,0.9995089285714286,0.9999979367615136,0.4584821701049805,0.04324333630827501,36.133534574508666,0.42197479981949526
KNearestNeighbors,copper,240,auto,minkowski,27,distance,1.0,1.0,1.0,1.0,1.0,0.4045688629150391,0.11308240021104642,36.43541951179505,0.16396215266003497
KNearestNeighbors,copper,240,auto,minkowski,30,uniform,0.9991964285714285,0.9991964285714285,0.9991964285714285,0.9991964285714285,0.9999970525164482,0.48062658309936523,0.1339563115716046,36.14041209220886,0.254755054372422
KNearestNeighbors,copper,240,auto,minkowski,30,distance,1.0,1.0,1.0,1.0,1.0,0.4348857879638672,0.090753891525801,34.06600704193115,1.2135769131422172
KNearestNeighbors,copper,240,auto,euclidean,3,uniform,1.0,1.0,1.0,1.0,1.0,0.3304585456848145,0.09004289042701506,37.79420490264893,0.34562358061250203
KNearestNeighbors,copper,240,auto,euclidean,3,distance,1.0,1.0,1.0,1.0,1.0,0.45419135093688967,0.0701970343549453,34.16117815971374,0.24828312877855513
KNearestNeighbors,copper,240,auto,euclidean,6,uniform,1.0,1.0,1.0,1.0,1.0,0.5728804588317871,0.06621358232632976,37.88526315689087,0.7552735254517404
KNearestNeighbors,copper,240,auto,euclidean,6,distance,1.0,1.0,1.0,1.0,1.0,0.4726205348968506,0.11587097662568406,33.93363223075867,0.20298906603810826
KNearestNeighbors,copper,240,auto,euclidean,9,uniform,1.0,1.0,1.0,1.0,1.0,0.5043052196502685,0.0673208173226038,37.6239429473877,1.0657110163154602
KNearestNeighbors,copper,240,auto,euclidean,9,distance,1.0,1.0,1.0,1.0,1.0,0.4765442371368408,0.13564733955762273,33.69028224945068,0.2975979244957452
KNearestNeighbors,copper,240,auto,euclidean,12,uniform,1.0,1.0,1.0,1.0,1.0,0.5097180843353272,0.10769698342200046,38.19137744903564,0.8799653586688647
KNearestNeighbors,copper,240,auto,euclidean,12,distance,1.0,1.0,1.0,1.0,1.0,0.5551320552825928,0.04810529686407632,33.75019807815552,0.2546501643116638
KNearestNeighbors,copper,240,auto,euclidean,15,uniform,1.0,1.0,1.0,1.0,1.0,0.5332530975341797,0.07702520749849777,38.476031351089475,0.892422939415425
KNearestNeighbors,copper,240,auto,euclidean,15,distance,1.0,1.0,1.0,1.0,1.0,0.6095012187957763,0.04003013469986105,34.233803510665894,0.3349142478055273
KNearestNeighbors,copper,240,auto,euclidean,18,uniform,1.0,1.0,1.0,1.0,1.0,0.5461503028869629,0.057671926390376514,39.61020312309265,1.046868870668097
KNearestNeighbors,copper,240,auto,euclidean,18,distance,1.0,1.0,1.0,1.0,1.0,0.5022735595703125,0.11652143887894739,34.91286473274231,0.3588184844262082
KNearestNeighbors,copper,240,auto,euclidean,21,uniform,0.9998883928571429,0.9998883928571429,0.9998883928571429,0.9998883928571429,1.0,0.5818475246429443,0.05755155341330471,39.44401164054871,0.21670304167939933
KNearestNeighbors,copper,240,auto,euclidean,21,distance,1.0,1.0,1.0,1.0,1.0,0.5609971523284912,0.08840579535378285,34.39042820930481,0.269944704372816
KNearestNeighbors,copper,240,auto,euclidean,24,uniform,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9995982142857143,0.9999992971385376,0.5027814865112304,0.042983545864990765,38.8830292224884,1.1429018503569246
KNearestNeighbors,copper,240,auto,euclidean,24,distance,1.0,1.0,1.0,1.0,1.0,0.48423056602478026,0.0759753207402557,35.147825050354,0.2668344441047728
KNearestNeighbors,copper,240,auto,euclidean,27,uniform,0.9995089285714286,0.9995089285714286,0.9995089285714286,0.9995089285714286,0.9999979367615136,0.5587678909301758,0.1346297966534037,39.59112257957459,1.0436229303301041
KNearestNeighbors,copper,240,auto,euclidean,27,distance,1.0,1.0,1.0,1.0,1.0,0.5254712104797363,0.10754486276936023,35.04621152877807,0.28670680931962617
KNearestNeighbors,copper,240,auto,euclidean,30,uniform,0.9991964285714285,0.9991964285714285,0.9991964285714285,0.9991964285714285,0.9999970525164482,0.5316778182983398,0.08009550389100652,54.54927167892456,9.14639622629241
KNearestNeighbors,copper,240,auto,euclidean,30,distance,1.0,1.0,1.0,1.0,1.0,0.5971344947814942,0.03833956668168817,59.71223068237305,2.016127101410775
KNearestNeighbors,copper,240,auto,manhattan,3,uniform,,,,,,0.4751417636871338,0.15312437015806205,0.4037943363189697,0.18416322792589873
KNearestNeighbors,copper,240,auto,manhattan,3,distance,1.0,1.0,1.0,1.0,1.0,0.5838582515716553,0.14661538144992003,128.75501432418824,0.8084363652946037
KNearestNeighbors,copper,240,auto,manhattan,6,uniform,,,,,,0.6804088115692138,0.1256799108932649,0.4433938980102539,0.17894548306092511
KNearestNeighbors,copper,240,auto,manhattan,6,distance,1.0,1.0,1.0,1.0,1.0,0.6157763004302979,0.0491839861510911,139.3235870361328,7.342727573858627
KNearestNeighbors,copper,240,auto,manhattan,9,uniform,,,,,,0.7071529865264893,0.22258198328916642,0.5839361190795899,0.388074275191943
