model,material,numSamples,epsilon,loss,max_iter,penalty,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time
StochasticGradientDescent,copper,120,0.01,hinge,100,l2,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.2461024284362794,0.08163377952887478,0.27243967056274415,0.01704984057460709
StochasticGradientDescent,copper,120,0.01,hinge,100,l1,0.9062723214285715,0.9062723214285715,0.9062723214285715,0.9062723214285715,1.5281789302825928,0.1647881173112473,0.28748259544372556,0.01381736350204786
StochasticGradientDescent,copper,120,0.01,hinge,100,elasticnet,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.6584782600402832,0.16208904441421063,0.30078916549682616,0.03162967955994823
StochasticGradientDescent,copper,120,0.01,hinge,200,l2,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.0552457809448241,0.0712731949333122,0.2584923267364502,0.03857395920561713
StochasticGradientDescent,copper,120,0.01,hinge,200,l1,0.9070535714285712,0.9070535714285712,0.9070535714285712,0.9070535714285712,1.6322471618652343,0.11762274539869874,0.2714252948760986,0.02136010255830752
StochasticGradientDescent,copper,120,0.01,hinge,200,elasticnet,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.5961238861083984,0.15459394980902547,0.29344782829284666,0.019551075919488705
StochasticGradientDescent,copper,120,0.01,hinge,300,l2,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.081355333328247,0.08348390073099334,0.2811873912811279,0.03834757529120356
StochasticGradientDescent,copper,120,0.01,hinge,300,l1,0.9060937499999999,0.9060937499999999,0.9060937499999999,0.9060937499999999,1.3954041481018067,0.11125795388833772,0.25038585662841795,0.025727670294717935
StochasticGradientDescent,copper,120,0.01,hinge,300,elasticnet,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.5177255153656006,0.036682867123174256,0.26149873733520507,0.023607014833384905
StochasticGradientDescent,copper,120,0.01,hinge,400,l2,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.9472821235656739,0.06981477903345094,0.2429421901702881,0.024164065725853372
StochasticGradientDescent,copper,120,0.01,hinge,400,l1,0.9075669642857143,0.9075669642857143,0.9075669642857143,0.9075669642857143,1.3945777893066407,0.18989702614925488,0.29391770362854003,0.02791376325994259
StochasticGradientDescent,copper,120,0.01,hinge,400,elasticnet,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.5425161838531494,0.0847458226870558,0.2807333469390869,0.014158672547307124
StochasticGradientDescent,copper,120,0.01,hinge,500,l2,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.1531957626342773,0.08459179220910741,0.2687191963195801,0.016265982635077045
StochasticGradientDescent,copper,120,0.01,hinge,500,l1,0.9008928571428572,0.9008928571428572,0.9008928571428572,0.9008928571428572,1.3302884578704834,0.10855705857529749,0.2623178005218506,0.008907865819898766
StochasticGradientDescent,copper,120,0.01,hinge,500,elasticnet,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.6521755695343017,0.11567049801083804,0.2677786827087402,0.019236704051317402
StochasticGradientDescent,copper,120,0.01,hinge,600,l2,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.0188913345336914,0.07073251501878527,0.24877381324768066,0.00547258890219882
StochasticGradientDescent,copper,120,0.01,hinge,600,l1,0.8994642857142857,0.8994642857142857,0.8994642857142857,0.8994642857142857,1.3062431335449218,0.0563669141311245,0.2797258377075195,0.0068721555078348085
StochasticGradientDescent,copper,120,0.01,hinge,600,elasticnet,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.4994345664978028,0.09948053153105671,0.24592323303222657,0.018829774211931747
StochasticGradientDescent,copper,120,0.01,hinge,700,l2,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.0225353240966797,0.06709701728181901,0.2465290069580078,0.018128836074068636
StochasticGradientDescent,copper,120,0.01,hinge,700,l1,0.8982812500000001,0.8982812500000001,0.8982812500000001,0.8982812500000001,1.4422170162200927,0.06530575469241325,0.24896759986877443,0.015128545405514686
StochasticGradientDescent,copper,120,0.01,hinge,700,elasticnet,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.5078842163085937,0.12711410028499476,0.270341157913208,0.018492099493341154
StochasticGradientDescent,copper,120,0.01,hinge,800,l2,0.8743526785714286,0.8743526785714286,0.8743526785714286,0.8743526785714286,1.0313764095306397,0.10367879425696266,0.2403268814086914,0.016165383710940454
StochasticGradientDescent,copper,120,0.01,hinge,800,l1,0.90703125,0.90703125,0.90703125,0.90703125,1.3660534858703612,0.20795931222281103,0.30129618644714357,0.016047069058281824
StochasticGradientDescent,copper,120,0.01,hinge,800,elasticnet,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.5374495029449462,0.05890735653756424,0.2633509159088135,0.029318686331540555
StochasticGradientDescent,copper,120,0.01,hinge,900,l2,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.1310420989990235,0.0487515369740442,0.306092357635498,0.05751789127789474
StochasticGradientDescent,copper,120,0.01,hinge,900,l1,0.9041964285714286,0.9041964285714286,0.9041964285714286,0.9041964285714286,1.3342485904693604,0.14206934192018741,0.2934603214263916,0.019543248337558276
StochasticGradientDescent,copper,120,0.01,hinge,900,elasticnet,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.5916443347930909,0.19050149038394226,0.27497663497924807,0.01712715714110551
StochasticGradientDescent,copper,120,0.01,hinge,1000,l2,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.9867600440979004,0.08169891760640961,0.2393956661224365,0.021900893243403382
StochasticGradientDescent,copper,120,0.01,hinge,1000,l1,0.9082142857142858,0.9082142857142858,0.9082142857142858,0.9082142857142858,1.5563182830810547,0.2825513074947708,0.30776152610778806,0.027664618738332442
StochasticGradientDescent,copper,120,0.01,hinge,1000,elasticnet,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,1.8770107746124267,0.18611817169511655,0.31000027656555174,0.024934885230671396
StochasticGradientDescent,copper,120,0.01,log,100,l2,,,,,0.05483260154724121,0.004196203046340372,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,100,l1,,,,,0.06851639747619628,0.006434048771393982,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,100,elasticnet,,,,,0.06608667373657226,0.005736510108507772,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,200,l2,,,,,0.08367652893066406,0.012132842946917126,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,200,l1,,,,,0.08235268592834473,0.030616037234344213,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,200,elasticnet,,,,,0.07884869575500489,0.009939474058599308,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,300,l2,,,,,0.08875961303710937,0.017739044529591297,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,300,l1,,,,,0.08303136825561523,0.006316704412996283,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,300,elasticnet,,,,,0.0869706153869629,0.013234463401524435,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,400,l2,,,,,0.08943681716918946,0.013046694651740935,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,400,l1,,,,,0.08706564903259277,0.02007771043546832,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,400,elasticnet,,,,,0.09329419136047364,0.023516354900336732,0.0,0.0
StochasticGradientDescent,copper,120,0.01,log,500,l2,,,,,0.09269137382507324,0.021757103347887906,0.0,0.0
