model,material,numSamples,criterion,max_depth,n_estimators,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
RandomForest,copper,120,gini,1,1,0.8995312500000001,0.8995312500000001,0.8995312500000001,0.8995312500000001,0.8216569074730499,0.19598512649536132,0.007341977895736902,0.3359333038330078,0.0344470925981858
RandomForest,copper,120,gini,1,101,0.8830133928571428,0.8830133928571428,0.8830133928571428,0.8830133928571428,0.9266567578315772,4.049566650390625,0.06527307951569908,0.4236788272857666,0.029890928152306012
RandomForest,copper,120,gini,1,201,0.8938616071428571,0.8938616071428571,0.8938616071428571,0.8938616071428571,0.9263036946479593,7.69133563041687,0.06502703674544506,0.5713413715362549,0.02539302500944089
RandomForest,copper,120,gini,1,301,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.9314595802511345,11.52206211090088,0.21884590569707715,0.6249404907226562,0.032389840679028246
RandomForest,copper,120,gini,1,401,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.9276023785738804,15.147588920593261,0.10830405356755213,0.7401235580444336,0.013843556525246492
RandomForest,copper,120,gini,1,501,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.9293972373463397,18.678227758407594,0.1577704818115524,0.7540520668029785,0.020979733395160342
RandomForest,copper,120,gini,1,601,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.9276906443697849,22.207926177978514,0.16055580248732718,0.9115821361541748,0.026104376599961166
RandomForest,copper,120,gini,1,701,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.9253384051211848,25.902407789230345,0.1932135090723434,0.9823465347290039,0.034429609212499296
RandomForest,copper,120,gini,1,801,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.9297513661586263,29.70725073814392,0.15548994093597504,1.0405323505401611,0.04060593240509385
RandomForest,copper,120,gini,1,901,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.9291637059572271,32.60265679359436,0.3607203530618449,1.0152265071868896,0.029394479566270164
RandomForest,copper,120,gini,101,1,0.9976339285714285,0.9976339285714285,0.9976339285714285,0.9976339285714285,0.9937039937495209,0.32323646545410156,0.018789019481401065,0.3255434036254883,0.027706339452411362
RandomForest,copper,120,gini,101,101,0.9999107142857142,0.9999107142857142,0.9999107142857142,0.9999107142857142,0.9999997505975455,18.856218528747558,0.321736202087787,0.6868040561676025,0.041985542497997325
RandomForest,copper,120,gini,101,201,0.9998883928571429,0.9998883928571429,0.9998883928571429,0.9998883928571429,0.9999984695758481,34.984040927886966,0.5124726215081408,0.994199275970459,0.043793229243636995
