model,activation,Accuracy,AUC,F1,Precision,Recall
NeuralNetwork,relu,0.9188379754417489,0.9895035580119739,0.9188379754417489,0.9188379754417489,0.9188379754417489
NeuralNetwork,tanh,0.9003893381251871,0.9859564344746206,0.9003893381251871,0.9003893381251871,0.9003893381251871
