model,kernel,Precision,Recall,Accuracy,F1,AUC
SupportVectorMachine,linear,0.8184486373165619,0.8184486373165619,0.8184486373165619,0.8184486373165619,
SupportVectorMachine,poly,0.8584905660377359,0.8584905660377359,0.8584905660377359,0.8584905660377359,
SupportVectorMachine,rbf,0.8075471698113208,0.8075471698113208,0.8075471698113208,0.8075471698113208,
SupportVectorMachine,sigmoid,0.3568433662773286,0.3568433662773286,0.3568433662773286,0.3568433662773286,
