model,material,numSamples,cache_size,degree,kernel,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time
SupportVectorMachine,copper,120,200,1,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,333.53908281326295,15.815685595142506,40.36950693130493,2.9877920657233568
SupportVectorMachine,copper,120,200,1,poly,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,327.4928156852722,5.992403860930779,40.90081033706665,0.9829477813580608
SupportVectorMachine,copper,120,200,1,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,307.19880270957947,6.922800663852862,60.06713008880615,2.3163906540061467
SupportVectorMachine,copper,120,200,1,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,295.0706518173218,25.502809432326238,42.04015579223633,2.6130712020213087
SupportVectorMachine,copper,120,200,2,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,340.70734519958495,14.48534511333566,41.51590371131897,2.7323119497148847
SupportVectorMachine,copper,120,200,2,poly,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,303.9606617927551,14.178261526948301,39.24654378890991,2.4717188478550347
SupportVectorMachine,copper,120,200,2,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,303.0722031593323,10.364179315109382,57.17120289802551,1.9498103089164314
SupportVectorMachine,copper,120,200,2,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,296.4362135410309,29.512956298534924,44.394886350631715,3.4214059127675247
SupportVectorMachine,copper,120,200,3,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,329.4966052532196,7.659417734880331,42.18436737060547,2.8576218586251803
SupportVectorMachine,copper,120,200,3,poly,0.87421875,0.87421875,0.87421875,0.87421875,300.9883111000061,6.525863955319653,41.8574077129364,4.577745680130576
SupportVectorMachine,copper,120,200,3,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,308.2812323093414,4.7480766966847465,55.978085899353026,3.4240883130499067
SupportVectorMachine,copper,120,200,3,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,296.7288369178772,25.35991754466666,43.3187819480896,2.2719825575146864
SupportVectorMachine,copper,120,200,4,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,330.5635567188263,13.041884294148382,41.254511165618894,0.760709730056823
SupportVectorMachine,copper,120,200,4,poly,0.9282142857142857,0.9282142857142857,0.9282142857142857,0.9282142857142857,295.22829389572144,12.152833008156598,40.16575865745544,2.3300813384716497
SupportVectorMachine,copper,120,200,4,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,307.7283849239349,3.4976104650387914,54.64178643226624,4.660616961500958
SupportVectorMachine,copper,120,200,4,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,293.17187843322756,24.21251137393237,44.798081159591675,2.3931687386621907
SupportVectorMachine,copper,120,200,5,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,328.0253805160522,9.205929144975416,38.83733820915222,1.6056555094348333
SupportVectorMachine,copper,120,200,5,poly,0.9566517857142858,0.9566517857142858,0.9566517857142858,0.9566517857142858,286.6543055057526,10.821986346857534,37.230627870559694,1.739339308127617
SupportVectorMachine,copper,120,200,5,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,309.3964825153351,3.900077395426999,57.17782030105591,2.3365734864869365
SupportVectorMachine,copper,120,200,5,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,295.03533301353457,21.819653668200097,44.29134821891785,1.677497791920082
SupportVectorMachine,copper,120,400,1,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,332.31477026939393,15.040073602837428,40.10792827606201,2.2334470223868648
SupportVectorMachine,copper,120,400,1,poly,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,323.62264370918274,3.7947080499320216,39.81968092918396,0.7958467549887179
SupportVectorMachine,copper,120,400,1,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,311.4677996635437,10.349971553818715,59.77094602584839,1.2541955584026017
SupportVectorMachine,copper,120,400,1,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,286.62308926582335,22.01998036404633,42.93807787895203,2.646814820673503
SupportVectorMachine,copper,120,400,2,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,334.98129806518557,10.791805881597043,42.67080574035644,2.7227147207385913
SupportVectorMachine,copper,120,400,2,poly,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,303.4303250312805,15.058897526016455,39.40943007469177,1.9405438241579367
SupportVectorMachine,copper,120,400,2,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,306.91577019691465,3.8142884680510734,57.171639919281006,2.316411685269139
SupportVectorMachine,copper,120,400,2,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,292.66320433616636,13.382416827635856,44.22332639694214,0.5941570478863497
SupportVectorMachine,copper,120,400,3,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,328.26695256233216,16.67529421290705,39.62907857894898,1.8147263963459686
SupportVectorMachine,copper,120,400,3,poly,0.87421875,0.87421875,0.87421875,0.87421875,301.5522044658661,8.071721588386342,38.4481418132782,0.6272944240098601
SupportVectorMachine,copper,120,400,3,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,308.6042684078217,5.72670232255118,58.15060987472534,3.1262763361073547
SupportVectorMachine,copper,120,400,3,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,294.14526615142825,21.82484791577275,43.91056261062622,1.7074808871540497
SupportVectorMachine,copper,120,400,4,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,327.94673295021056,12.900074199270959,37.65632362365723,1.3793807316481659
SupportVectorMachine,copper,120,400,4,poly,0.9282142857142857,0.9282142857142857,0.9282142857142857,0.9282142857142857,306.6368152618408,6.426115403288997,39.288488149642944,1.279888540263855
SupportVectorMachine,copper,120,400,4,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,305.2173020839691,7.2123930910652465,59.67189249992371,0.45828683392765135
SupportVectorMachine,copper,120,400,4,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,288.63174428939817,19.847468286572614,42.54623188972473,1.0958596439967228
SupportVectorMachine,copper,120,400,5,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,326.49732556343076,11.996932934077293,38.89292335510254,1.0596660258240314
SupportVectorMachine,copper,120,400,5,poly,0.9566517857142858,0.9566517857142858,0.9566517857142858,0.9566517857142858,288.2999032974243,11.56245530022694,37.03364062309265,1.7257733119469099
SupportVectorMachine,copper,120,400,5,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,306.98570408821104,11.52967793506357,59.13432340621948,2.017822158498141
SupportVectorMachine,copper,120,400,5,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,293.482664680481,25.19275051362476,41.99958009719849,2.2938382891121547
SupportVectorMachine,copper,120,600,1,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,347.037322473526,12.612355690607036,39.77762742042542,2.079187946492099
SupportVectorMachine,copper,120,600,1,poly,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,333.6235347747803,9.915622816085083,40.781564235687256,3.59714683867654
SupportVectorMachine,copper,120,600,1,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,318.4154321670532,6.408830705925629,57.16595296859741,1.7560960772716665
SupportVectorMachine,copper,120,600,1,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,293.6951545715332,22.897758227461363,45.072458028793335,1.842451426225586
SupportVectorMachine,copper,120,600,2,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,349.90376672744753,6.212194409783431,37.73775897026062,0.723645895059546
SupportVectorMachine,copper,120,600,2,poly,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,318.5787175655365,17.882311585592554,38.09022488594055,0.9617163382023243
SupportVectorMachine,copper,120,600,2,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,324.3926914215088,3.9793390633218397,59.474842596054074,2.0625516942405278
SupportVectorMachine,copper,120,600,2,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,298.5732029914856,20.552974094697845,44.740134477615356,1.831317782272382
SupportVectorMachine,copper,120,600,3,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,333.3288673877716,12.713720847639262,40.51861410140991,1.4945787883074615
SupportVectorMachine,copper,120,600,3,poly,0.87421875,0.87421875,0.87421875,0.87421875,317.10131759643554,11.120049469530683,38.58219542503357,1.5791197565020572
SupportVectorMachine,copper,120,600,3,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,323.1884548664093,10.140950497276156,58.695468711853025,2.6665470496863457
SupportVectorMachine,copper,120,600,3,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,289.3666790008545,21.038407161965615,41.62275633811951,2.241706065710965
SupportVectorMachine,copper,120,600,4,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,344.0050987243652,7.515699704770465,39.38876719474793,1.6177393712683512
SupportVectorMachine,copper,120,600,4,poly,0.9282142857142857,0.9282142857142857,0.9282142857142857,0.9282142857142857,318.32644739151,5.141920362205352,40.353381061553954,1.5363107730267835
SupportVectorMachine,copper,120,600,4,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,311.0648072242737,9.549831917091618,57.59998745918274,2.9286260753458864
SupportVectorMachine,copper,120,600,4,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,295.372901391983,20.582215724095214,43.51706733703613,1.165078489713894
SupportVectorMachine,copper,120,600,5,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,339.73953833580015,14.74411276403499,39.93803429603577,1.9679917785861325
SupportVectorMachine,copper,120,600,5,poly,0.9566517857142858,0.9566517857142858,0.9566517857142858,0.9566517857142858,301.5256094455719,7.021846689056582,35.704101991653445,0.8573598583410752
SupportVectorMachine,copper,120,600,5,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,320.9720947742462,13.876977052798493,61.59041576385498,1.8023110900272772
SupportVectorMachine,copper,120,600,5,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,294.9507894515991,16.071260523194674,40.93051419258118,1.5403836882826956
SupportVectorMachine,copper,120,800,1,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,349.77824392318723,8.605091475501514,37.88932180404663,3.030446050795659
SupportVectorMachine,copper,120,800,1,poly,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,330.64239768981935,18.35734075339549,38.84600229263306,1.3696984618029404
SupportVectorMachine,copper,120,800,1,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,326.7018507957458,9.310079394441656,58.448001050949095,3.4633686099250682
SupportVectorMachine,copper,120,800,1,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,290.9042532444,20.89406855138183,42.16493406295776,3.191548514563881
SupportVectorMachine,copper,120,800,2,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,345.95282702445985,14.685768361814022,37.652133750915525,0.5414941334643039
SupportVectorMachine,copper,120,800,2,poly,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,330.79701232910156,18.06240220516785,39.30725893974304,2.460148871568005
SupportVectorMachine,copper,120,800,2,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,325.6653921127319,9.719970289548973,56.35085964202881,1.963121927644164
SupportVectorMachine,copper,120,800,2,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,293.9861472129822,21.717138381619932,42.985758209228514,2.018389014470951
SupportVectorMachine,copper,120,800,3,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,353.19971866607665,3.7512060416746067,41.15291509628296,3.3349797112884194
SupportVectorMachine,copper,120,800,3,poly,0.87421875,0.87421875,0.87421875,0.87421875,320.97079997062684,14.709144450832987,40.403284311294556,2.636590266699835
SupportVectorMachine,copper,120,800,3,rbf,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,318.6581181526184,20.305537632034277,57.43161735534668,2.5244093386199813
SupportVectorMachine,copper,120,800,3,sigmoid,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,296.95371718406676,26.78847317745137,41.74255814552307,2.8611995622340047
SupportVectorMachine,copper,120,800,4,linear,0.8743303571428571,0.8743303571428571,0.8743303571428571,0.8743303571428571,345.2006618976593,7.207283659806706,38.50719013214111,1.991746077229066
