model,material,numSamples,criterion,max_depth,n_estimators,Accuracy,F1,Precision,Recall,AUC,mean_fit_time,std_fit_time,mean_score_time,std_score_time
RandomForest,copper,240,gini,1,1,0.9756473214285715,0.9756473214285715,0.9756473214285715,0.9756473214285715,0.9860735256573909,0.3800808429718018,0.02171109020717498,0.3169260025024414,0.017450620787841566
RandomForest,copper,240,gini,1,101,1.0,1.0,1.0,1.0,1.0,4.87946515083313,0.09892562711137397,0.5053508758544922,0.04340199707942647
RandomForest,copper,240,gini,1,201,1.0,1.0,1.0,1.0,1.0,9.356403684616089,0.0949806787242388,0.5535028457641602,0.03472238385193864
RandomForest,copper,240,gini,1,301,1.0,1.0,1.0,1.0,1.0,13.767160558700562,0.17187413206764965,0.689338493347168,0.040362311233784615
RandomForest,copper,240,gini,1,401,1.0,1.0,1.0,1.0,1.0,18.248293733596803,0.16327225580237878,0.8079347133636474,0.07866519326840263
RandomForest,copper,240,gini,1,501,1.0,1.0,1.0,1.0,1.0,22.598362970352174,0.11041966462944652,0.9109211444854737,0.028144250659603538
RandomForest,copper,240,gini,1,601,1.0,1.0,1.0,1.0,1.0,27.07791519165039,0.15091186111792843,0.9938246726989746,0.022484536861436824
RandomForest,copper,240,gini,1,701,1.0,1.0,1.0,1.0,1.0,32.34857311248779,0.5014650847817924,1.1236685752868651,0.04275630047169449
RandomForest,copper,240,gini,1,801,1.0,1.0,1.0,1.0,1.0,36.90593810081482,0.06167258040242047,1.1423305034637452,0.06873196016885232
RandomForest,copper,240,gini,1,901,1.0,1.0,1.0,1.0,1.0,41.81219696998596,0.5280881648181881,1.3212897300720214,0.054896847099503376
RandomForest,copper,240,gini,101,1,1.0,1.0,1.0,1.0,1.0,0.2720931529998779,0.015196398166709665,0.346342658996582,0.019024995790071882
RandomForest,copper,240,gini,101,101,1.0,1.0,1.0,1.0,1.0,5.26416540145874,0.16865888470857532,0.5171378135681153,0.04523761022029101
RandomForest,copper,240,gini,101,201,1.0,1.0,1.0,1.0,1.0,9.991752099990844,0.15117337609320433,0.6269446849822998,0.02781311146597601
RandomForest,copper,240,gini,101,301,1.0,1.0,1.0,1.0,1.0,15.042796850204468,0.1923288538908701,0.7995134353637695,0.045887237865777704
RandomForest,copper,240,gini,101,401,1.0,1.0,1.0,1.0,1.0,19.434533882141114,0.16996123630227872,0.8608182430267334,0.02066255414910124
RandomForest,copper,240,gini,101,501,1.0,1.0,1.0,1.0,1.0,24.148231935501098,0.11197581038683287,1.1041649341583253,0.09427068225537577
RandomForest,copper,240,gini,101,601,1.0,1.0,1.0,1.0,1.0,28.738765001296997,0.12178141929786179,1.1531103610992433,0.06556183196366437
RandomForest,copper,240,gini,101,701,1.0,1.0,1.0,1.0,1.0,33.96294651031494,0.474264747216254,1.450274896621704,0.04488677690537265
RandomForest,copper,240,gini,101,801,1.0,1.0,1.0,1.0,1.0,39.39231882095337,0.366172203867043,1.4618534564971923,0.09415210579341723
RandomForest,copper,240,gini,101,901,1.0,1.0,1.0,1.0,1.0,43.952227878570554,0.3679335111112415,1.5865679740905763,0.09367307455979496
RandomForest,copper,240,gini,201,1,1.0,1.0,1.0,1.0,1.0,0.27833023071289065,0.02342394367594652,0.3464855194091797,0.024086713296295414
RandomForest,copper,240,gini,201,101,1.0,1.0,1.0,1.0,1.0,5.17401614189148,0.11338283110510883,0.494538688659668,0.025931417053577478
