model,material,numSamples,metric,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time
NearestCentroid,copper,240,minkowski,0.6438839285714286,0.6438839285714286,0.6438839285714286,0.6438839285714286,0.5601442337036133,0.03263801371669495,0.47775802612304685,0.036104397222922725
NearestCentroid,copper,240,euclidean,0.6438839285714286,0.6438839285714286,0.6438839285714286,0.6438839285714286,0.4396507263183594,0.016920377855644844,0.48172745704650877,0.016042401718363266
NearestCentroid,copper,240,manhattan,0.5983035714285714,0.5983035714285714,0.5983035714285714,0.5983035714285714,0.825986385345459,0.08143756049356528,0.40888409614562987,0.005844267359281081
NearestCentroid,copper,240,chebyshev,0.9294419642857144,0.9294419642857144,0.9294419642857144,0.9294419642857144,0.3381246566772461,0.06087806535428286,0.28351945877075196,0.039300521038090994
