model,material,numSamples,metric,Accuracy,F1,Precision,Recall,mean_fit_time,std_fit_time,mean_score_time,std_score_time
NearestCentroid,iron,120,minkowski,0.6447139862234201,0.6447139862234201,0.6447139862234201,0.6447139862234201,0.198372745513916,0.019270304588388285,0.2529277801513672,0.009404923522542977
NearestCentroid,iron,120,euclidean,0.6447139862234201,0.6447139862234201,0.6447139862234201,0.6447139862234201,0.1760861396789551,0.015663563588775745,0.32617969512939454,0.015662939408484806
NearestCentroid,iron,120,manhattan,0.6290206648697214,0.6290206648697214,0.6290206648697214,0.6290206648697214,0.23134779930114746,0.0073761022511366035,0.2420680046081543,0.04047771424651512
NearestCentroid,iron,120,chebyshev,0.6673554956573825,0.6673554956573825,0.6673554956573825,0.6673554956573825,0.1568896770477295,0.011172344233703498,0.18864665031433106,0.05084788148526873
