Model Name,learningRate,downScaleFactor,numEpochs,batchSize,Epoch,D Loss,G Loss,Img ID,Noise
GenerativeAdversarialNetwork,0.0001,32,100,45,34,0.5280358791351318,0.0032277144491672,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,35,0.5777769684791565,0.0026608004700392,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,36,0.526825487613678,0.0023322736378759,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,37,0.5955770611763,0.0033646838273853,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,38,0.6981419920921326,0.0024952199310064,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,39,0.5153704285621643,0.0023753608111292,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,40,0.4906961321830749,0.0026038899086415,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,41,0.5045625567436218,0.0035014173481613,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,42,0.5678051114082336,0.0037680023815482,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,43,0.5355246663093567,0.0026037083007395,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,44,0.5417186617851257,0.00308359391056,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
GenerativeAdversarialNetwork,0.0001,32,100,45,45,0.4684058129787445,0.0037508241366595,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV,False
