model,loss,Precision,Recall,Accuracy,F1,AUC
StochasticGradientDescent,hinge,0.7909853249475891,0.7909853249475891,0.7909853249475891,0.7909853249475891,
StochasticGradientDescent,log,,,,,
StochasticGradientDescent,modified_huber,0.8107517220724768,0.8107517220724768,0.8107517220724768,0.8107517220724768,
StochasticGradientDescent,squared_hinge,0.6407906558849955,0.6407906558849955,0.6407906558849955,0.6407906558849955,
StochasticGradientDescent,perceptron,0.7649296196466008,0.7649296196466008,0.7649296196466008,0.7649296196466008,
