Model Name,Learning Rate,Down Scale Factor,Max Epoch,Batch Size,Noise,Epoch,BCE Loss,BCELogits Loss,CE Loss,MSE Loss,L1 Loss,Img ID
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,2.0,2.693713923670211,0.4013578215110226,0.0,0.0625394309794752,0.1006083977203699,RRLaMWuyiN
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,3.0,2.844598667426679,0.4000051450804344,0.0,0.0614971207841387,0.0980292969154861,RRLaMWuyiN
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,0.0,0.2649225141829665,0.41726737127364055,0.0,0.06427588737891905,0.14833218140422172,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,1.0,0.2478749119448212,0.4119918721277009,0.0,0.05985560240048283,0.13215274640224264,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,2.0,0.23721884200408025,0.40726398671947933,0.0,0.056972453499552586,0.11838210472520792,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,3.0,0.21956563127115838,0.40342110770303496,0.0,0.05149360757859998,0.11095789679378834,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,4.0,0.19894409470213284,0.3976098628913831,0.0,0.04495619495147429,0.09909316100789316,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,5.0,0.1902218718761168,0.3940223712216383,0.0,0.04234806881666933,0.09096626150158216,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,6.0,0.18828385562266944,0.39271525579428523,0.0,0.04163252135867593,0.0866657497373017,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,7.0,0.1867382601372101,0.39179379647632817,0.0,0.04088116259132541,0.08441790811858087,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,8.0,0.1860283853123023,0.3917150527426282,0.0,0.04070730727611098,0.0859656163825179,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,9.0,0.18586511628807717,0.39148778379338345,0.0,0.040637438167940895,0.08521619031451783,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,10.0,0.18401862549706824,0.3908506123899664,0.0,0.03995679824982049,0.08383628332389975,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,11.0,0.18301026757408237,0.39045353711776015,0.0,0.039524516149324444,0.08179896034347187,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,12.0,0.18334040130084417,0.3904459375255513,0.0,0.03954177695390938,0.08182231903825916,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,13.0,0.1823503539059897,0.3901623213815989,0.0,0.039116452934232146,0.0803781934785393,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,14.0,0.1812947853556219,0.3897614119187841,0.0,0.038722176385937994,0.07990758228789335,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,15.0,0.18326312818992063,0.3900813835222016,0.0,0.0393316581634418,0.07985327781746222,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,16.0,0.18280772958536567,0.3900958646393422,0.0,0.039276290099200965,0.08023009416442248,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,17.0,0.1809470825975046,0.389738603582922,0.0,0.03871211694237196,0.08001492744159398,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,18.0,0.17993076192507954,0.38944685871496143,0.0,0.03830550821884623,0.07959235736034201,jVrAyBxsUz
VariationalAutoencoder,0.0001,32.0,100.0,45.0,False,19.0,0.18014380616961784,0.38937441957821634,0.0,0.038512073972690034,0.07965561002492905,jVrAyBxsUz
