Model Name,learningRate,downScaleFactor,numEpochs,batchSize,Epoch,D Loss,G Loss,Img ID
GenerativeAdversarialNetwork,0.0001,32,100,45,35,0.5777769684791565,0.0026608004700392485,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,36,0.526825487613678,0.0023322736378759146,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,37,0.5955770611763,0.0033646838273853064,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,38,0.6981419920921326,0.0024952199310064316,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,39,0.5153704285621643,0.0023753608111292124,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,40,0.49069613218307495,0.0026038899086415768,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,41,0.5045625567436218,0.0035014173481613398,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,42,0.5678051114082336,0.0037680023815482855,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,43,0.5355246663093567,0.0026037083007395267,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,44,0.5417186617851257,0.003083593910560012,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,45,0.4684058129787445,0.003750824136659503,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,46,0.6369072198867798,0.0035348720848560333,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,47,0.5275599956512451,0.0038909651339054108,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,48,0.6029497981071472,0.002088595647364855,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,49,0.5630941390991211,0.002898051403462887,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,50,0.6266623139381409,0.0027491720393300056,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,51,0.5267366170883179,0.003590894863009453,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,52,0.562239408493042,0.0034575469326227903,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
GenerativeAdversarialNetwork,0.0001,32,100,45,53,0.5729379653930664,0.0034952983260154724,images\epochs\GenerativeAdversarialNetwork\gSnrFnyzhV
